case	source_log	evidence
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.36 node=7 relative_error=0.691425 absolute_error_W=0.426566 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.36 node=10 relative_error=0.691408 absolute_error_W=0.426486 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=1 relative_error=0.674842 absolute_error_W=0.474491 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=4 relative_error=0.674831 absolute_error_W=0.474384 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=7 relative_error=0.674842 absolute_error_W=0.474491 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=10 relative_error=0.674831 absolute_error_W=0.474384 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=1 relative_error=0.657032 absolute_error_W=0.520234 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=4 relative_error=0.657026 absolute_error_W=0.520099 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=7 relative_error=0.657032 absolute_error_W=0.520234 relative_tolerance=0.01 absolute_tolerance_W=0.2
b526_current_card_before	/tmp/fuelsim-before-b526_current_card-comparison.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=10 relative_error=0.657026 absolute_error_W=0.520099 relative_tolerance=0.01 absolute_tolerance_W=0.2
