increment	time_s	node	native_heat_W	before_heat_W	current_heat_W	current_minus_before_heat_W	before_absolute_error_W	current_absolute_error_W	before_relative_error_percent	current_relative_error_percent
14	0.2800000011920929	1	-0.2905943557686829	-0.07956329845420179	-0.0795503143649877	1.2984089214088113e-05	0.21103105731448113	0.2110440414036952	72.62049421306199	72.62496232779179
14	0.2800000011920929	4	-0.2906436068498421	-0.07958113560315533	-0.07956806609012275	1.3069513032579194e-05	0.21106247124668676	0.21107554075971935	72.6189966929945	72.62349344183899
14	0.2800000011920929	7	-0.2905943557685911	-0.079563298455828	-0.0795503143649304	1.2984090897602552e-05	0.21103105731276312	0.2110440414036607	72.62049421249372	72.62496232780286
14	0.2800000011920929	10	-0.2906436068497907	-0.07958113560494233	-0.07956806609014967	1.3069514792657388e-05	0.21106247124484834	0.21107554075964102	72.61899669237481	72.62349344182488
15	0.300000011920929	1	-0.3701444083992246	-0.10143397269711801	-0.10141869111657653	1.5281580541481876e-05	0.26871043570210656	0.26872571728264805	72.59610833085584	72.60023687641663
15	0.300000011920929	4	-0.3701578255793053	-0.10144726776631875	-0.10143293087602753	1.4336890291219428e-05	0.2687105578129866	0.26872489470327776	72.59350991497978	72.5973830980656
15	0.300000011920929	7	-0.3701444083990026	-0.10143397269896975	-0.1014186911164473	1.528158252245282e-05	0.26871043570003283	0.2687257172825553	72.59610833033913	72.60023687643512
15	0.300000011920929	10	-0.3701578255790833	-0.10144726776821925	-0.10143293087608302	1.4336892136229684e-05	0.26871055781086406	0.26872489470300026	72.59350991444991	72.59738309803419
16	0.3199999928474426	1	-0.4508007556969901	-0.12701926250596537	-0.12700179870528003	1.7463800685346698e-05	0.32378149319102467	0.32379895699171	71.82363585225607	71.82750980332307
16	0.3199999928474426	4	-0.4507798381916952	-0.12702501870830807	-0.12700970558283844	1.5313125469623712e-05	0.32375481948338714	0.3237701326088568	71.82105144323461	71.82444847304212
16	0.3199999928474426	7	-0.4508007556970583	-0.12701926250792486	-0.12700179870529524	1.746380262962477e-05	0.3237814931891334	0.3237989569917631	71.82363585182567	71.82750980332398
16	0.3199999928474426	10	-0.4507798381916918	-0.12702501871032226	-0.1270097055828494	1.5313127472854626e-05	0.3237548194813695	0.3237701326088424	71.82105144278756	71.82444847303947
17	0.3400000035762787	1	-0.5329457303640022	-0.15658195585972082	-0.15656252742995577	1.9428429765044886e-05	0.3763637745042814	0.37638320293404637	70.61953085677686	70.62317633673067
17	0.3400000035762787	4	-0.5328866671499632	-0.15657635596269834	-0.15656046964120118	1.5886321497154965e-05	0.3763103111872649	0.37632619750876206	70.61732529355344	70.6203064755714
17	0.3400000035762787	7	-0.5329457303638997	-0.15658195586165258	-0.15656252742987167	1.9428431780904587e-05	0.3763637745022471	0.37638320293402805	70.61953085640876	70.6231763367408
17	0.3400000035762787	10	-0.5328866671499041	-0.15657635596460676	-0.15656046964108633	1.5886323520425405e-05	0.37631031118529734	0.37632619750881774	70.61732529319204	70.62030647558967
18	0.3600000143051147	1	-0.616937758750108	-0.1903714389240248	-0.19035037254015896	2.106638386584203e-05	0.42656631982608323	0.42658738620994907	69.14252106894706	69.14593573818509
18	0.3600000143051147	4	-0.6168365340545119	-0.19035052739481068	-0.19033458873422385	1.5938660586828357e-05	0.4264860066597012	0.42650194532028807	69.14084739053592	69.14343132642605
18	0.3600000143051147	7	-0.6169377587501508	-0.1903714389261359	-0.1903503725401334	2.1066386002493998e-05	0.4265663198240149	0.42658738621001735	69.14252106860701	69.14593573819137
18	0.3600000143051147	10	-0.6168365340544933	-0.19035052739694874	-0.19033458873405912	1.59386628896252e-05	0.4264860066575446	0.42650194532043423	69.14084739018837	69.14343132645182
19	0.3799999952316284	1	-0.7031145553196599	-0.22862352308200387	-0.22860125996901665	2.2263112987225275e-05	0.4744910322376561	0.4745132953506433	67.484171483541	67.48733783997876
19	0.3799999952316284	4	-0.702966961877416	-0.22858321503848794	-0.2285678674329375	1.534760555044201e-05	0.4743837468389281	0.47439909444447853	67.483078517942	67.48526177923063
19	0.3799999952316284	7	-0.703114555319594	-0.22862352308422765	-0.22860125996904299	2.2263115184661952e-05	0.4744910322353664	0.474513295350551	67.48417148322167	67.48733783997196
19	0.3799999952316284	10	-0.7029669618772378	-0.22858321504083723	-0.2285678674328756	1.5347607961624377e-05	0.4743837468364006	0.47439909444436223	67.48307851759957	67.48526177923118
20	0.4000000059604645	1	-0.7917937157378266	-0.27156019916365753	-0.27153729945660404	2.289970705349198e-05	0.5202335165741692	0.5202564162812227	65.70316311356346	65.70605524400075
20	0.4000000059604645	4	-0.7915953678012231	-0.27149628957691635	-0.27148230256291156	1.398701400479041e-05	0.5200990782243067	0.5201130652383115	65.70264296378606	65.7044099036361
20	0.4000000059604645	7	-0.7917937157377624	-0.2715601991658837	-0.27153729945643845	2.2899709445245442e-05	0.5202335165718787	0.5202564162813239	65.7031631132795	65.70605524401888
20	0.4000000059604645	10	-0.7915953678012211	-0.27149628957913313	-0.27148230256281325	1.3987016319882972e-05	0.520099078222088	0.5201130652384078	65.70264296350595	65.70440990364844
