case	staged_input	expected_input	byte_equal	input_sha256	mesh_sha256	resolved_mesh
b544_old_density	/tmp/fuelsim-b544-before-initial-mass/comparison/b544_old_density/verification/fuelsim/transient_b544_distorted_bending.fsi	e495bb821fbc039f2a1adff314d8ec0c9106582f:verification/fuelsim/transient_b544_distorted_bending.fsi	True	7491ad0f0f77956146830e8bbc708882f7e8422bfe951b9c3edbd5565049c299	2f8c85a267451ca27f565207f739e8d585c89d76657f0a0ea4a9d77dbfc6e30b	/home/cooper/ai_project/fuelsim/verification/meshes/b544_distorted_bending.e
b544_initial_density_before	/tmp/fuelsim-b544-before-initial-mass/comparison/b544_initial_density/verification/fuelsim/transient_b544_distorted_bending.fsi	/home/cooper/ai_project/fuelsim/verification/fuelsim/transient_b544_distorted_bending.fsi	True	df42da5e7ecac9865b92d95adaf4e3643b9013debc2552b61c9364bf165407ee	2f8c85a267451ca27f565207f739e8d585c89d76657f0a0ea4a9d77dbfc6e30b	/home/cooper/ai_project/fuelsim/verification/meshes/b544_distorted_bending.e
b544_initial_density_current	/home/cooper/ai_project/fuelsim/build/blackbox/b544/verification/fuelsim/transient_b544_distorted_bending.fsi	/home/cooper/ai_project/fuelsim/verification/fuelsim/transient_b544_distorted_bending.fsi	True	df42da5e7ecac9865b92d95adaf4e3643b9013debc2552b61c9364bf165407ee	2f8c85a267451ca27f565207f739e8d585c89d76657f0a0ea4a9d77dbfc6e30b	/home/cooper/ai_project/fuelsim/verification/meshes/b544_distorted_bending.e
b526_current_card_before	/tmp/fuelsim-b544-before-initial-mass/comparison/b526_current_card/verification/fuelsim/transient_b526_friction_reversal.fsi	/home/cooper/ai_project/fuelsim/verification/fuelsim/transient_b526_friction_reversal.fsi	True	9395f1389defe93cbe615a7ea4847cc30774012ccea5e4f9a466ce07a6578bc6	cf2f286eb2e2b4ce1cb69f6ea2efa7d36de4b1209cdab4d50da72f104fc23b5f	/home/cooper/ai_project/fuelsim/verification/meshes/b526_friction_reversal.e
b526_current_card_current	/home/cooper/ai_project/fuelsim/build/blackbox/b526_friction_reversal/verification/fuelsim/transient_b526_friction_reversal.fsi	/home/cooper/ai_project/fuelsim/verification/fuelsim/transient_b526_friction_reversal.fsi	True	9395f1389defe93cbe615a7ea4847cc30774012ccea5e4f9a466ce07a6578bc6	cf2f286eb2e2b4ce1cb69f6ea2efa7d36de4b1209cdab4d50da72f104fc23b5f	/home/cooper/ai_project/fuelsim/verification/meshes/b526_friction_reversal.e
