case	increment	time_s	node	actual_heat_W	reference_heat_W	absolute_error_W	relative_error_percent	relative_tolerance_percent	absolute_tolerance_W
b544_initial_density_current	4	400000.0	16	-1.0173179461284203	-0.9996371138708451	0.01768083225757522	1.7687250715522769	1.0	0.01
b526_current_card_before	14	0.2800000011920929	1	-0.07956329845420179	-0.2905943557686829	0.21103105731448113	72.62049421306199	1.0	0.2
b526_current_card_before	14	0.2800000011920929	4	-0.07958113560315533	-0.2906436068498421	0.21106247124668676	72.6189966929945	1.0	0.2
b526_current_card_before	14	0.2800000011920929	7	-0.079563298455828	-0.2905943557685911	0.21103105731276312	72.62049421249372	1.0	0.2
b526_current_card_before	14	0.2800000011920929	10	-0.07958113560494233	-0.2906436068497907	0.21106247124484834	72.61899669237481	1.0	0.2
b526_current_card_before	15	0.300000011920929	1	-0.10143397269711801	-0.3701444083992246	0.26871043570210656	72.59610833085584	1.0	0.2
b526_current_card_before	15	0.300000011920929	4	-0.10144726776631875	-0.3701578255793053	0.2687105578129866	72.59350991497978	1.0	0.2
b526_current_card_before	15	0.300000011920929	7	-0.10143397269896975	-0.3701444083990026	0.26871043570003283	72.59610833033913	1.0	0.2
b526_current_card_before	15	0.300000011920929	10	-0.10144726776821925	-0.3701578255790833	0.26871055781086406	72.59350991444991	1.0	0.2
b526_current_card_before	16	0.3199999928474426	1	-0.12701926250596537	-0.4508007556969901	0.32378149319102467	71.82363585225607	1.0	0.2
b526_current_card_before	16	0.3199999928474426	4	-0.12702501870830807	-0.4507798381916952	0.32375481948338714	71.82105144323461	1.0	0.2
b526_current_card_before	16	0.3199999928474426	7	-0.12701926250792486	-0.4508007556970583	0.3237814931891334	71.82363585182567	1.0	0.2
b526_current_card_before	16	0.3199999928474426	10	-0.12702501871032226	-0.4507798381916918	0.3237548194813695	71.82105144278756	1.0	0.2
b526_current_card_before	17	0.3400000035762787	1	-0.15658195585972082	-0.5329457303640022	0.3763637745042814	70.61953085677686	1.0	0.2
b526_current_card_before	17	0.3400000035762787	4	-0.15657635596269834	-0.5328866671499632	0.3763103111872649	70.61732529355344	1.0	0.2
b526_current_card_before	17	0.3400000035762787	7	-0.15658195586165258	-0.5329457303638997	0.3763637745022471	70.61953085640876	1.0	0.2
b526_current_card_before	17	0.3400000035762787	10	-0.15657635596460676	-0.5328866671499041	0.37631031118529734	70.61732529319204	1.0	0.2
b526_current_card_before	18	0.3600000143051147	1	-0.1903714389240248	-0.616937758750108	0.42656631982608323	69.14252106894706	1.0	0.2
b526_current_card_before	18	0.3600000143051147	4	-0.19035052739481068	-0.6168365340545119	0.4264860066597012	69.14084739053592	1.0	0.2
b526_current_card_before	18	0.3600000143051147	7	-0.1903714389261359	-0.6169377587501508	0.4265663198240149	69.14252106860701	1.0	0.2
b526_current_card_before	18	0.3600000143051147	10	-0.19035052739694874	-0.6168365340544933	0.4264860066575446	69.14084739018837	1.0	0.2
b526_current_card_before	19	0.3799999952316284	1	-0.22862352308200387	-0.7031145553196599	0.4744910322376561	67.484171483541	1.0	0.2
b526_current_card_before	19	0.3799999952316284	4	-0.22858321503848794	-0.702966961877416	0.4743837468389281	67.483078517942	1.0	0.2
b526_current_card_before	19	0.3799999952316284	7	-0.22862352308422765	-0.703114555319594	0.4744910322353664	67.48417148322167	1.0	0.2
b526_current_card_before	19	0.3799999952316284	10	-0.22858321504083723	-0.7029669618772378	0.4743837468364006	67.48307851759957	1.0	0.2
b526_current_card_before	20	0.4000000059604645	1	-0.27156019916365753	-0.7917937157378266	0.5202335165741692	65.70316311356346	1.0	0.2
b526_current_card_before	20	0.4000000059604645	4	-0.27149628957691635	-0.7915953678012231	0.5200990782243067	65.70264296378606	1.0	0.2
b526_current_card_before	20	0.4000000059604645	7	-0.2715601991658837	-0.7917937157377624	0.5202335165718787	65.7031631132795	1.0	0.2
b526_current_card_before	20	0.4000000059604645	10	-0.27149628957913313	-0.7915953678012211	0.520099078222088	65.70264296350595	1.0	0.2
b526_current_card_current	14	0.2800000011920929	1	-0.0795503143649877	-0.2905943557686829	0.2110440414036952	72.62496232779179	1.0	0.2
b526_current_card_current	14	0.2800000011920929	4	-0.07956806609012275	-0.2906436068498421	0.21107554075971935	72.62349344183899	1.0	0.2
b526_current_card_current	14	0.2800000011920929	7	-0.0795503143649304	-0.2905943557685911	0.2110440414036607	72.62496232780286	1.0	0.2
b526_current_card_current	14	0.2800000011920929	10	-0.07956806609014967	-0.2906436068497907	0.21107554075964102	72.62349344182488	1.0	0.2
b526_current_card_current	15	0.300000011920929	1	-0.10141869111657653	-0.3701444083992246	0.26872571728264805	72.60023687641663	1.0	0.2
b526_current_card_current	15	0.300000011920929	4	-0.10143293087602753	-0.3701578255793053	0.26872489470327776	72.5973830980656	1.0	0.2
b526_current_card_current	15	0.300000011920929	7	-0.1014186911164473	-0.3701444083990026	0.2687257172825553	72.60023687643512	1.0	0.2
b526_current_card_current	15	0.300000011920929	10	-0.10143293087608302	-0.3701578255790833	0.26872489470300026	72.59738309803419	1.0	0.2
b526_current_card_current	16	0.3199999928474426	1	-0.12700179870528003	-0.4508007556969901	0.32379895699171	71.82750980332307	1.0	0.2
b526_current_card_current	16	0.3199999928474426	4	-0.12700970558283844	-0.4507798381916952	0.3237701326088568	71.82444847304212	1.0	0.2
b526_current_card_current	16	0.3199999928474426	7	-0.12700179870529524	-0.4508007556970583	0.3237989569917631	71.82750980332398	1.0	0.2
b526_current_card_current	16	0.3199999928474426	10	-0.1270097055828494	-0.4507798381916918	0.3237701326088424	71.82444847303947	1.0	0.2
b526_current_card_current	17	0.3400000035762787	1	-0.15656252742995577	-0.5329457303640022	0.37638320293404637	70.62317633673067	1.0	0.2
b526_current_card_current	17	0.3400000035762787	4	-0.15656046964120118	-0.5328866671499632	0.37632619750876206	70.6203064755714	1.0	0.2
b526_current_card_current	17	0.3400000035762787	7	-0.15656252742987167	-0.5329457303638997	0.37638320293402805	70.6231763367408	1.0	0.2
b526_current_card_current	17	0.3400000035762787	10	-0.15656046964108633	-0.5328866671499041	0.37632619750881774	70.62030647558967	1.0	0.2
b526_current_card_current	18	0.3600000143051147	1	-0.19035037254015896	-0.616937758750108	0.42658738620994907	69.14593573818509	1.0	0.2
b526_current_card_current	18	0.3600000143051147	4	-0.19033458873422385	-0.6168365340545119	0.42650194532028807	69.14343132642605	1.0	0.2
b526_current_card_current	18	0.3600000143051147	7	-0.1903503725401334	-0.6169377587501508	0.42658738621001735	69.14593573819137	1.0	0.2
b526_current_card_current	18	0.3600000143051147	10	-0.19033458873405912	-0.6168365340544933	0.42650194532043423	69.14343132645182	1.0	0.2
b526_current_card_current	19	0.3799999952316284	1	-0.22860125996901665	-0.7031145553196599	0.4745132953506433	67.48733783997876	1.0	0.2
b526_current_card_current	19	0.3799999952316284	4	-0.2285678674329375	-0.702966961877416	0.47439909444447853	67.48526177923063	1.0	0.2
b526_current_card_current	19	0.3799999952316284	7	-0.22860125996904299	-0.703114555319594	0.474513295350551	67.48733783997196	1.0	0.2
b526_current_card_current	19	0.3799999952316284	10	-0.2285678674328756	-0.7029669618772378	0.47439909444436223	67.48526177923118	1.0	0.2
b526_current_card_current	20	0.4000000059604645	1	-0.27153729945660404	-0.7917937157378266	0.5202564162812227	65.70605524400075	1.0	0.2
b526_current_card_current	20	0.4000000059604645	4	-0.27148230256291156	-0.7915953678012231	0.5201130652383115	65.7044099036361	1.0	0.2
b526_current_card_current	20	0.4000000059604645	7	-0.27153729945643845	-0.7917937157377624	0.5202564162813239	65.70605524401888	1.0	0.2
b526_current_card_current	20	0.4000000059604645	10	-0.27148230256281325	-0.7915953678012211	0.5201130652384078	65.70440990364844	1.0	0.2
