increment	time_s	before_max_temperature_error_K	current_max_temperature_error_K	max_temperature_change_K	current_max_temperature_error_node	native_T_at_current_max_K	before_T_at_current_max_K	current_T_at_current_max_K	before_displacement_max_relative_percent	before_displacement_max_relative_node	current_displacement_max_relative_percent	current_displacement_max_relative_node
1	100000.0	0.0055611876493344425	0.003843746032089257	0.004095923179477268	7	297.0241020070945	297.01854081944515	297.0202582610624	0.6480315164157889	2	0.6479890039138042	2
2	200000.0	0.007954780171644416	0.01923120022576086	0.011276420054116443	4	335.1872429039977	335.19519768416933	335.20647410422345	0.698828577151812	2	0.6987656962539396	2
3	300000.0	0.0044559022106795965	0.024362723224101046	0.020906331813876022	4	358.7933104647366	358.7967668561468	358.8176731879607	0.640159140802163	2	0.6400592437418428	2
4	400000.0	0.004232546360924516	0.03367947826870932	0.0323259561115492	4	383.9933572238626	383.99471074601973	384.0270367021313	0.6416710362035416	2	0.6414909070498881	2
5	500000.0	0.004223802003878063	0.04530484667361634	0.0451045680906077	4	410.1964806886223	410.1966809672053	410.2417855352959	0.6432727973359466	2	0.6429842870050422	2
6	600000.0	0.0043881578542368516	0.058517512342007194	0.059009050968768406	4	437.1147681620723	437.11427662344556	437.17328567441433	0.6449422719360868	2	0.6445204566737996	2
7	700000.0	0.016762167559136287	0.057157542323409416	0.0739197098825457	4	464.6096215244068	464.59285935684767	464.6667790667302	0.6468088026940213	2	0.6462282464056575	2
8	800000.0	0.020821536776793437	0.06895016560559952	0.08977170238239296	4	492.5609498895087	492.5401283527319	492.6299000551143	0.6486910768457336	2	0.6479280806335315	2
9	900000.0	0.02149358317160477	0.08503026990479157	0.10652385307639634	4	520.9162336322478	520.8947400490762	521.0012639021526	0.6505756556863147	2	0.6496061832998244	2
10	1000000.0	0.02163550923182811	0.10324700612920878	0.12414406087998486	4	549.6328113413285	549.6119142865778	549.7360583474577	0.6524832789545404	2	0.6512826938318339	2
