case	field	metric	relative_fraction	percent	comparison_status	source_log
b544_initial_density_before	reaction_heat_flux	relative_l2	5.52786112552e-05	0.00552786112552	PASS_fixed_checker	/tmp/fuelsim-before-b544_initial_density-comparison.log
b544_initial_density_before	reaction_heat_flux	relative_absolute_peak	4.167958945344e-05	0.004167958945344	PASS_fixed_checker	/tmp/fuelsim-before-b544_initial_density-comparison.log
b544_initial_density_before	reaction_heat_flux	maximum_pointwise_relative	0.01195829811307	1.195829811307	PASS_fixed_checker	/tmp/fuelsim-before-b544_initial_density-comparison.log
b544_initial_density_current	temperature	relative_l2	7.23030365303e-05	0.00723030365303	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	temperature	relative_absolute_peak	0.0	0.0	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	temperature	maximum_pointwise_relative	0.0001887325196875	0.01887325196875	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	displacement_vector	relative_l2	0.0008199733399962	0.08199733399962	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	displacement_vector	relative_absolute_peak	0.0008181053977789	0.08181053977788999	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	displacement_vector	maximum_pointwise_relative	0.006987656962539	0.6987656962539	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	stress_tensor	relative_l2	0.0005307362022066	0.05307362022065999	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	stress_tensor	relative_absolute_peak	0.0007127951040689	0.07127951040689	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	stress_tensor	maximum_pointwise_relative	0.001126077585721	0.1126077585721	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	reaction_heat_flux	relative_l2	0.001023448821839	0.1023448821839	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	reaction_heat_flux	relative_absolute_peak	0.0009759196512943	0.09759196512943	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b544_initial_density_current	reaction_heat_flux	maximum_pointwise_relative	0.02184266553427	2.1842665534270003	FAIL_per_sample_heat_recheck	/tmp/fuelsim-b544-initial-density-comparison.log
b526_current_card_before	temperature	relative_l2	0.0007985594219361	0.07985594219361	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	temperature	relative_absolute_peak	2.84217094304e-16	2.84217094304e-14	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	temperature	maximum_pointwise_relative	0.002405462865014	0.24054628650139998	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	displacement_vector	relative_l2	0.0003823090847802	0.03823090847802	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	displacement_vector	relative_absolute_peak	0.0003447280647596	0.03447280647596	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	displacement_vector	maximum_pointwise_relative	0.006912660073698	0.6912660073698	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	stress_tensor	relative_l2	0.001660079820832	0.1660079820832	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	stress_tensor	relative_absolute_peak	0.002346324853985	0.23463248539849998	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	stress_tensor	maximum_pointwise_relative	0.003251129277824	0.32511292778240003	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	reaction_heat_flux	relative_l2	0.0002564051001885	0.02564051001885	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	reaction_heat_flux	relative_absolute_peak	0.0003558938169071	0.03558938169071	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_before	reaction_heat_flux	maximum_pointwise_relative	0.7591416869739	75.91416869739001	FAIL_fixed_checker	/tmp/fuelsim-before-b526_current_card-comparison.log
b526_current_card_current	temperature	relative_l2	0.0007981301774002	0.07981301774002	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	temperature	relative_absolute_peak	2.84217094304e-16	2.84217094304e-14	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	temperature	maximum_pointwise_relative	0.002404653047231	0.24046530472310002	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	displacement_vector	relative_l2	0.0003796118860067	0.03796118860067	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	displacement_vector	relative_absolute_peak	0.0003423033790257	0.03423033790257	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	displacement_vector	maximum_pointwise_relative	0.006893182525708	0.6893182525708	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	stress_tensor	relative_l2	0.001649385718634	0.1649385718634	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	stress_tensor	relative_absolute_peak	0.002335784188672	0.2335784188672	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	stress_tensor	maximum_pointwise_relative	0.003234143904623	0.32341439046229997	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	reaction_heat_flux	relative_l2	0.0005066466201793	0.05066466201793	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	reaction_heat_flux	relative_absolute_peak	0.0007287472337117	0.07287472337117	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
b526_current_card_current	reaction_heat_flux	maximum_pointwise_relative	0.7591996886313	75.91996886313001	FAIL_fixed_checker	/tmp/fuelsim-b544-initial-density-ctest.log
