increment	time_s	node	native_temperature_K	before_temperature_K	current_temperature_K	before_relative_displacement_error_percent	current_relative_displacement_error_percent	current_minus_before_displacement_norm_m	native_ux_m	before_ux_m	current_ux_m	native_uy_m	before_uy_m	current_uy_m	native_uz_m	before_uz_m	current_uz_m
1	100000.0	2	300.4745582348224	300.47416445728214	300.47514259847605	0.6480315164157889	0.6479890039138042	1.255603187247813e-08	0.004940190842347435	0.004948366894616076	0.0049483697032938955	0.006612250307203468	0.006582756551278043	0.006582748889308097	-0.003413367901978219	-0.00336424027056863	-0.0033642498130778305
2	200000.0	2	302.6450552528871	302.6462126193862	302.6488393830225	0.698828577151812	0.6987656962539396	1.816949260515771e-08	0.004946752078255134	0.004955095421982248	0.004955098484793825	0.006608687236152554	0.006578826052826881	0.006578814233656325	-0.003433857705519558	-0.0033796130061776795	-0.003379626461914528
3	300000.0	2	306.2454564237385	306.246593645539	306.2518711530784	0.640159140802163	0.6400592437418428	3.438040095136649e-08	0.004958358476389319	0.004965311934033877	0.004965317792281771	0.00659641102230309	0.006566341447435254	0.0065663190562590115	-0.003452903846448148	-0.0034046675521944244	-0.0034046929751786648
4	400000.0	2	310.8770936294956	310.8779197509394	310.8868682330163	0.6416710362035416	0.6414909070498881	6.088288406635579e-08	0.004970662863832941	0.004977575417343861	0.004977586529181672	0.006578767220468042	0.006548543062234167	0.006548503890372232	-0.003484649545312179	-0.0034362964504860787	-0.0034363417143553924
5	500000.0	2	316.2533087238807	316.25378112257954	316.2673307499694	0.6432727973359466	0.6429842870050422	9.611531404778203e-08	0.004984386986853511	0.004991248304872664	0.0049912666887055035	0.006557425083424167	0.006527032744496022	0.006526971536809093	-0.003521094740077215	-0.0034726216235569517	-0.003472693413579556
6	600000.0	2	322.2034978320407	322.2036653761186	322.222682730199	0.6449422719360868	0.6445204566737996	1.3914904494055168e-07	0.004999190648580501	0.005005993018775584	0.00500602042061631	0.006533233673815982	0.006502661015922962	0.006502573098291329	-0.003561219865490531	-0.0035126245154564004	-0.0035127288326931394
7	700000.0	2	328.6389973246223	328.63329123963285	328.65862337523663	0.6468088026940213	0.6462282464056575	1.8965390320068432e-07	0.005014899858361071	0.005021628156206588	0.005021666202580206	0.006506609162440537	0.006475878234830208	0.0064757591587426295	-0.003604532933114036	-0.0035557761474314968	-0.003555918772681087
8	800000.0	2	335.5008567725911	335.49148879529446	335.52399270532914	0.6486910768457336	0.6479280806335315	2.476644692436036e-07	0.005031405576073946	0.005038055774672326	0.005038106063376868	0.006477840362984615	0.0064469233148299054	0.0064467686409111005	-0.003650714716757585	-0.0036018089123862336	-0.0036019956868876056
9	900000.0	2	342.7610927236345	342.74981595091623	342.79037272578535	0.6505756556863147	0.6496061832998244	3.1339982399357905e-07	0.005048650866275286	0.00505522103874851	0.005055285182411457	0.006447050041800192	0.006415926590310181	0.006415731780407519	-0.003699635900041607	-0.003650589999339869	-0.003650826967991821
10	1000000.0	2	350.4034617289327	350.3913150103129	350.44083400105364	0.6524832789545404	0.6512826938318339	3.871534985014394e-07	0.005066603373980873	0.005073090480095228	0.005073170120758182	0.006414311154585366	0.006382964245874344	0.0063827246215870095	-0.003751236305509646	-0.00370205431113609	-0.003702347782424508
