time,node,r,z,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.10000000149011612,1,0.004,0.0,605.0,7.9999999999999155e-08,1.361356816555569e-36,0.0,-1.3613568165555745,3.4033920413889716
0.10000000149011612,2,0.005,0.0,605.0,9.9999999999999228e-08,1.4660765716752331e-36,0.0,-1.4660765716752353,3.6651914291880585
0.10000000149011612,3,0.005,0.01,605.0,9.9999999999999228e-08,1.5e-06,0.0,0.0,3.6651914291880616
0.10000000149011612,4,0.004,0.01,605.0,7.9999999999999155e-08,1.5e-06,0.0,0.0,3.4033920413889676
0.20000000298023224,1,0.004,0.0,610.0,1.5999999999999977e-07,3.675051476376769e-51,0.0,-2.7227136331111526,3.4033920413889267
0.20000000298023224,2,0.005,0.0,610.0,1.9999999999999967e-07,4.0091470651382935e-51,0.0,-2.9321531433504742,3.665191429188103
0.20000000298023224,3,0.005,0.01,610.0,1.9999999999999967e-07,3.0000000000000018e-06,0.0,0.0,3.665191429188098
0.20000000298023224,4,0.004,0.01,610.0,1.5999999999999977e-07,3.0000000000000018e-06,0.0,0.0,3.4033920413889307
0.30000001192092896,1,0.004,0.0,615.0,2.3999999999999961e-07,-1.3363823550460978e-51,0.0,-4.0840704496667293,3.403392041388965
0.30000001192092896,2,0.005,0.0,615.0,2.9999999999999946e-07,-1.3363823550460978e-51,0.0,-4.3982297150257121,3.6651914291880647
0.30000001192092896,3,0.005,0.01,615.0,2.9999999999999946e-07,4.5000000000000027e-06,0.0,0.0,3.665191429188052
0.30000001192092896,4,0.004,0.01,615.0,2.3999999999999961e-07,4.5000000000000027e-06,0.0,0.0,3.4033920413889773
0.4000000059604645,1,0.004,0.0,620.0,3.1999999999999958e-07,-8.5528292267419152e-52,0.0,-5.4454272662223051,3.4033920413889205
0.4000000059604645,2,0.005,0.0,620.0,3.9999999999999935e-07,-9.2107391672605469e-52,0.0,-5.8643062867009483,3.665191429188109
0.4000000059604645,3,0.005,0.01,620.0,3.9999999999999935e-07,6.0000000000000035e-06,0.0,0.0,3.665191429188088
0.4000000059604645,4,0.004,0.01,620.0,3.1999999999999958e-07,6.0000000000000035e-06,0.0,0.0,3.403392041388941
0.5,1,0.004,0.0,625.0,3.9999999999999935e-07,8.552829226741936e-52,0.0,-6.8067840827778818,3.4033920413889582
0.5,2,0.005,0.0,625.0,4.9999999999999913e-07,9.2107391672605587e-52,0.0,-7.3303828583761863,3.665191429188072
0.5,3,0.005,0.01,625.0,4.9999999999999913e-07,7.5000000000000044e-06,0.0,0.0,3.6651914291881025
0.5,4,0.004,0.01,625.0,3.9999999999999935e-07,7.5000000000000044e-06,0.0,0.0,3.4033920413889267
0.6000000238418579,1,0.004,0.0,630.0,4.7999999999999943e-07,-8.5528292267419508e-52,0.0,-8.1681408993334585,3.4033920413889307
0.6000000238418579,2,0.005,0.0,630.0,5.9999999999999913e-07,-9.2107391672605587e-52,0.0,-8.7964594300514243,3.665191429188099
0.6000000238418579,3,0.005,0.01,630.0,5.9999999999999913e-07,9.0000000000000053e-06,0.0,0.0,3.665191429188073
0.6000000238418579,4,0.004,0.01,630.0,4.7999999999999943e-07,9.0000000000000053e-06,0.0,0.0,3.403392041388956
0.699999988079071,1,0.004,0.0,635.0,5.599999999999994e-07,-8.5528292267418944e-52,0.0,-9.5294977158890344,3.403392041388951
0.699999988079071,2,0.005,0.0,635.0,6.9999999999999912e-07,-9.210739167260538e-52,0.0,-10.262536001726662,3.6651914291880785
0.699999988079071,3,0.005,0.01,635.0,6.9999999999999912e-07,1.0500000000000006e-05,0.0,0.0,3.6651914291880923
0.699999988079071,4,0.004,0.01,635.0,5.599999999999994e-07,1.0500000000000006e-05,0.0,0.0,3.4033920413889365
0.800000011920929,1,0.004,0.0,640.0,6.3999999999999938e-07,-8.9020947616498113e-67,0.0,-10.89085453244461,3.4033920413889893
0.800000011920929,2,0.005,0.0,640.0,7.9999999999999901e-07,-1.4836824602749686e-67,0.0,-11.728612573401898,3.66519142918804
0.800000011920929,3,0.005,0.01,640.0,7.9999999999999901e-07,1.2000000000000007e-05,0.0,0.0,3.665191429188046
0.800000011920929,4,0.004,0.01,640.0,6.3999999999999938e-07,1.2000000000000007e-05,0.0,0.0,3.403392041388983
0.8999999761581421,1,0.004,0.0,645.0,7.1999999999999925e-07,1.038577722192478e-66,0.0,-12.252211349000188,3.403392041388946
0.8999999761581421,2,0.005,0.0,645.0,8.999999999999989e-07,5.9347298410998742e-67,0.0,-13.194689145077136,3.6651914291880843
0.8999999761581421,3,0.005,0.01,645.0,8.999999999999989e-07,1.3500000000000008e-05,0.0,0.0,3.6651914291880816
0.8999999761581421,4,0.004,0.01,645.0,7.1999999999999925e-07,1.3500000000000008e-05,0.0,0.0,3.403392041388947
1.0,1,0.004,0.0,650.0,7.9999999999999891e-07,1.7105658453483824e-51,0.0,-13.613568165555762,3.4033920413889662
1.0,2,0.005,0.0,650.0,9.9999999999999847e-07,1.8421478334521094e-51,0.0,-14.660765716752369,3.665191429188064
1.0,3,0.005,0.01,650.0,9.9999999999999847e-07,1.5000000000000009e-05,0.0,0.0,3.6651914291881007
1.0,4,0.004,0.01,650.0,7.9999999999999891e-07,1.5000000000000009e-05,0.0,0.0,3.403392041388928
