time,layer,reference_height,secondary_reference_area,maximum_elastic_slip,pressure,gap,signed_internal_traction,accumulated_slip,secondary_normal_force_r,secondary_tangential_force_z,heat_rate_secondary_to_primary
1.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000412,-1.0000000000000412e-05,-7.857126418259168e-39,-1.783803167515805e-52,-3141.59265358992,3.255583248830428e-42,104.36166684911112
1.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000192,-1.0000000000000409e-05,9.810194438481321e-37,6.348024662116076e-50,-6283.185307179564,-6.344981618294684e-40,208.72333369822186
2.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000415,-1.0000000000000412e-05,300000.0000000124,1e-08,-3141.5926535899207,-94.2477796076976,104.36166684911056
2.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000196,-1.0000000000000409e-05,150000.0000000029,9.999999999999999e-09,-6283.185307179566,-94.24777960769347,208.72333369822113
3.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000412,-1.0000000000000412e-05,3000000.000000124,2.0000000000000003e-06,-3141.59265358992,-942.4777960769759,104.36166684911075
3.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000194,-1.0000000000000409e-05,3000000.0000000577,2e-06,-6283.185307179564,-1884.955592153869,208.72333369822186
4.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000414,-1.0000000000000412e-05,2970000.00000012,1.9990000000000003e-06,-3141.59265358992,-933.0530181162053,104.36166684911075
4.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000194,-1.0000000000000409e-05,2985000.0000000563,1.999e-06,-6283.185307179565,-1875.530814193099,208.7233336982226
5.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000412,-1.0000000000000412e-05,-3000000.000000124,-2.0000000000000008e-06,-3141.59265358992,942.4777960769759,104.36166684911093
5.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000194,-1.0000000000000409e-05,-3000000.0000000577,-2.0000000000000003e-06,-6283.185307179565,1884.9555921538692,208.7233336982215
6.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,0.0,9.999999999999593e-06,0.0,-2.0000000000000008e-06,0.0,0.0,104.3616668491106
6.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,0.0,9.999999999999593e-06,0.0,-2.0000000000000003e-06,0.0,0.0,208.7233336982215
7.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,0.0,9.999999999999593e-06,0.0,-2.0000000000000008e-06,0.0,0.0,104.36166684911113
7.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,0.0,9.999999999999593e-06,0.0,-2.0000000000000003e-06,0.0,0.0,208.72333369822186
8.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000412,-1.0000000000000412e-05,-3.5687779672753327e-38,-2.0000000000000008e-06,-3141.59265358992,-2.0635823254731978e-42,104.36166684911093
8.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000192,-1.0000000000000409e-05,1.0427455746868631e-36,-2.0000000000000003e-06,-6283.185307179564,-6.417741032221674e-40,208.72333369822186
9.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000415,-1.0000000000000412e-05,299999.9999999587,-1.9900000000000025e-06,-3141.5926535899207,-94.24777960768073,104.36166684911093
9.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000196,-1.0000000000000409e-05,149999.99999997602,-1.990000000000002e-06,-6283.185307179566,-94.24777960767659,208.7233336982215
10.0,ONE,0.01,0.00031415926535897936,1.0000000000000001e-07,10000000.000000412,-1.0000000000000412e-05,3000000.000000124,1.999999999999999e-06,-3141.59265358992,-942.4777960769759,104.36166684911075
10.0,TWO,0.02,0.0006283185307179587,2.0000000000000002e-07,10000000.000000194,-1.0000000000000409e-05,3000000.0000000577,1.9999999999999986e-06,-6283.185307179564,-1884.955592153869,208.7233336982215
