time,element,point,r,z,volume,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,heat_flux_r,heat_flux_z
1.0,1,1,0.0042113248654051857,0.0021132486540518503,6.615133629518472e-08,525482.42933438532,525482.42933438532,3944285.8481378038,-5.8144336945371247e-25,-0.00081544805390727174,-0.00081544805390727174,0.0036289963905371736,-7.558763802898263e-34,369103.89218545682,-1.4779288903810084e-11
1.0,1,2,0.0047886751345948145,0.0021132486540518503,7.522033311635584e-08,525482.42933438532,525482.42933438532,3944285.8481378038,2.0850041778566809e-11,-0.00081544805390727174,-0.00081544805390727174,0.0036289963905371736,2.7105054312136856e-20,369103.89218545682,1.2875034371973015e-10
1.0,1,3,0.0042113248654051857,0.0078867513459481495,6.615133629518469e-08,525482.42933438532,525482.42933438532,3944285.8481378038,8.3400167114267393e-11,-0.00081544805390727174,-0.00081544805390727174,0.0036289963905371736,1.0842021724854763e-19,369103.89218545787,7.73070496506989e-11
1.0,1,4,0.0047886751345948154,0.0078867513459481495,7.522033311635582e-08,525482.42933438532,525482.42933438532,3944285.8481378038,2.0850041778565223e-11,-0.00081544805390727174,-0.00081544805390727174,0.0036289963905371736,2.7105054312134791e-20,369103.89218545787,7.0485839387401938e-11
1.0,2,1,0.0052192116167511324,0.0021132486540518503,8.116335251994344e-08,-373378.25605953945,-373378.25605953945,-373378.25605953945,9.2843358974727417e-23,-0.00014935130242381579,-0.00014935130242381579,-0.00014935130242381579,1.2069636666714565e-31,301719.80287639494,-1.24005381219056e-10
1.0,2,2,0.0057907883832488674,0.0021132486540518503,9.00518763043733e-08,-373378.25605953945,-373378.25605953945,-373378.25605953945,2.8817489589241752e-23,-0.00014935130242381579,-0.00014935130242381579,-0.00014935130242381579,3.7462736466014279e-32,301719.80287639494,-5.8253439776914327e-11
1.0,2,3,0.0052192116167511333,0.0078867513459481495,8.11633525199435e-08,-373378.25605953945,-373378.25605953945,-373378.25605953945,9.275740244767292e-23,-0.00014935130242381579,-0.00014935130242381579,-0.00014935130242381579,1.2058462318197481e-31,301719.80287639546,-6.7996176547141602e-11
1.0,2,4,0.0057907883832488665,0.0078867513459481495,9.005187630437335e-08,-373378.25605953945,-373378.25605953945,-373378.25605953945,2.8731533062187284e-23,-0.00014935130242381579,-0.00014935130242381579,-0.00014935130242381579,3.7350992980843469e-32,301719.80287639546,-9.1754182716754046e-11
1.0,3,1,0.0042113248654051857,0.0142264973081037,1.323026725903694e-07,525482.42933438555,525482.42933438555,3944285.8481378043,-4.1700083557134782e-11,-0.00081544805390727153,-0.00081544805390727153,0.0036289963905371736,-5.4210108624275222e-20,369103.89218545787,2.2737367544323206e-12
1.0,3,2,0.0047886751345948145,0.0142264973081037,1.5044066623271166e-07,525482.42933438555,525482.42933438555,3944285.8481378043,-4.1700083557134782e-11,-0.00081544805390727153,-0.00081544805390727153,0.0036289963905371736,-5.4210108624275222e-20,369103.89218545787,-9.6918029157677665e-11
1.0,3,3,0.0042113248654051857,0.025773502691896301,1.3230267259036936e-07,525482.42933438555,525482.42933438555,3944285.8481378043,-1.6214946672863344e-39,-0.00081544805390727153,-0.00081544805390727153,0.0036289963905371736,-2.1079430674722349e-48,369103.89218545728,-1.1084466677857563e-11
1.0,3,4,0.0047886751345948154,0.025773502691896297,1.5044066623271163e-07,525482.42933438555,525482.42933438555,3944285.8481378043,2.0850041778567391e-11,-0.00081544805390727153,-0.00081544805390727153,0.0036289963905371736,2.7105054312137611e-20,369103.89218545728,-6.8141048359393608e-11
1.0,4,1,0.0052192116167511324,0.0142264973081037,1.6232670503988684e-07,-373378.25605954009,-373378.25605954009,-373378.25605954009,-2.273082933753633e-23,-0.00014935130242381604,-0.00014935130242381604,-0.00014935130242381604,-2.955007813879723e-32,301719.80287639605,-5.9934859376135966e-12
1.0,4,2,0.0057907883832488674,0.0142264973081037,1.8010375260874657e-07,-373378.25605954009,-373378.25605954009,-373378.25605954009,-8.158273147026621e-24,-0.00014935130242381604,-0.00014935130242381604,-0.00014935130242381604,-1.0605755091134609e-32,301719.80287639605,9.7167888124002023e-13
1.0,4,3,0.0052192116167511333,0.025773502691896301,1.6232670503988698e-07,-373378.25605954009,-373378.25605954009,-373378.25605954009,-2.2644872810481836e-23,-0.00014935130242381604,-0.00014935130242381604,-0.00014935130242381604,-2.9438334653626387e-32,301719.80287639605,-5.9934859376135966e-12
1.0,4,4,0.0057907883832488665,0.025773502691896297,1.8010375260874665e-07,-373378.25605954009,-373378.25605954009,-373378.25605954009,-8.0723166199721253e-24,-0.00014935130242381604,-0.00014935130242381604,-0.00014935130242381604,-1.0494011605963765e-32,301719.80287639605,-2.0686046738929153e-11
2.0,1,1,0.0042113248654051857,0.0021132486540518503,6.615133629518472e-08,525482.42933438416,525482.42933438416,3944285.8481378034,-5.8144336945371247e-25,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,-7.558763802898263e-34,369103.89218545647,-1.4779288903810084e-11
2.0,1,2,0.0047886751345948145,0.0021132486540518503,7.522033311635584e-08,525482.42933438416,525482.42933438416,3944285.8481378034,2.0850041778566809e-11,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,2.7105054312136856e-20,369103.89218545647,3.780087354243733e-11
2.0,1,3,0.0042113248654051857,0.0078867513459481495,6.615133629518469e-08,525482.42933438416,525482.42933438416,3944285.8481378034,8.3400167114267393e-11,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,1.0842021724854763e-19,369103.8921854567,7.73070496506989e-11
2.0,1,4,0.0047886751345948154,0.0078867513459481495,7.522033311635582e-08,525482.42933438416,525482.42933438416,3944285.8481378034,2.0850041778565223e-11,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,2.7105054312134791e-20,369103.8921854567,-2.0463630789890885e-11
2.0,2,1,0.0052192116167511324,0.0021132486540518503,8.116335251994344e-08,-373378.25605953991,-373378.25605953991,-373378.25605953985,4.8453080410168168e-23,-0.00014935130242381596,-0.00014935130242381596,-0.00014935130242381596,6.2989004533218626e-32,301719.80287639593,1.1117575310636692e-10
2.0,2,2,0.0057907883832488674,0.0021132486540518503,9.00518763043733e-08,-373378.25605953991,-373378.25605953991,-373378.25605953985,-1.5281305367377163e-23,-0.00014935130242381596,-0.00014935130242381596,-0.00014935130242381596,-1.9865696977590316e-32,301719.80287639593,-3.4228584097052698e-11
2.0,2,3,0.0052192116167511333,0.0078867513459481495,8.11633525199435e-08,-373378.25605953991,-373378.25605953991,-373378.25605953985,2.7059820474449136e-23,-0.00014935130242381596,-0.00014935130242381596,-0.00014935130242381596,3.5177766616783879e-32,301719.80287639512,9.4425381636447077e-11
2.0,2,4,0.0057907883832488665,0.0078867513459481495,9.005187630437335e-08,-373378.25605953991,-373378.25605953991,-373378.25605953985,-3.6674565303096177e-23,-0.00014935130242381596,-0.00014935130242381596,-0.00014935130242381596,-4.7676934894025036e-32,301719.80287639512,5.0302491049418801e-12
2.0,3,1,0.0042113248654051857,0.0142264973081037,1.323026725903694e-07,525482.42933438416,525482.42933438416,3944285.8481378034,-4.1700083557134782e-11,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,-5.4210108624275222e-20,369103.8921854567,2.2737367544323206e-12
2.0,3,2,0.0047886751345948145,0.0142264973081037,1.5044066623271166e-07,525482.42933438416,525482.42933438416,3944285.8481378034,-4.1700083557134782e-11,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,-5.4210108624275222e-20,369103.8921854567,-6.9633188104489818e-11
2.0,3,3,0.0042113248654051857,0.025773502691896301,1.3230267259036936e-07,525482.42933438416,525482.42933438416,3944285.8481378034,-1.6214946672863344e-39,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,-2.1079430674722349e-48,369103.89218545612,-4.7464254748774692e-11
2.0,3,4,0.0047886751345948154,0.025773502691896297,1.5044066623271163e-07,525482.42933438416,525482.42933438416,3944285.8481378034,2.0850041778567391e-11,-0.00081544805390727207,-0.00081544805390727207,0.0036289963905371731,2.7105054312137611e-20,369103.89218545612,-4.0856207306205761e-11
2.0,4,1,0.0052192116167511324,0.0142264973081037,1.6232670503988684e-07,-373378.25605953939,-373378.25605953939,-373378.25605953939,-8.7734233675105861e-23,-0.00014935130242381577,-0.00014935130242381577,-0.00014935130242381577,-1.1405450377763764e-31,301719.80287639488,-4.2373274008530728e-11
2.0,4,2,0.0057907883832488674,0.0142264973081037,1.8010375260874657e-07,-373378.25605953939,-373378.25605953939,-373378.25605953939,-7.467002917651014e-23,-0.00014935130242381577,-0.00014935130242381577,-0.00014935130242381577,-9.7071037929463195e-32,301719.80287639488,-3.5408109189677107e-11
2.0,4,3,0.0052192116167511333,0.025773502691896301,1.6232670503988698e-07,-373378.25605953939,-373378.25605953939,-373378.25605953939,-6.6503962042578273e-23,-0.00014935130242381577,-0.00014935130242381577,-0.00014935130242381577,-8.645515065535177e-32,301719.80287639546,-4.2373274008530728e-11
2.0,4,4,0.0057907883832488665,0.025773502691896297,1.8010375260874665e-07,-373378.25605953939,-373378.25605953939,-373378.25605953939,-5.3439757543982564e-23,-0.00014935130242381577,-0.00014935130242381577,-0.00014935130242381577,-6.9471684807177341e-32,301719.80287639546,-2.0686046738929153e-11
3.0,1,1,0.0042113248654051857,0.0021132486540518503,6.615133629518472e-08,525482.42933438462,525482.42933438462,3944285.8481378038,-5.8144336945371247e-25,-0.00081544805390727185,-0.00081544805390727185,0.0036289963905371731,-7.558763802898263e-34,369103.89218545647,-1.4779288903810084e-11
3.0,1,2,0.0047886751345948145,0.0021132486540518503,7.522033311635584e-08,525482.42933438462,525482.42933438462,3944285.8481378038,2.0850041778566809e-11,-0.00081544805390727185,-0.00081544805390727185,0.0036289963905371731,2.7105054312136856e-20,369103.89218545647,3.780087354243733e-11
3.0,1,3,0.0042113248654051857,0.0078867513459481495,6.615133629518469e-08,525482.42933438462,525482.42933438462,3944285.8481378038,8.3400167114267393e-11,-0.00081544805390727185,-0.00081544805390727185,0.0036289963905371731,1.0842021724854763e-19,369103.8921854567,7.73070496506989e-11
3.0,1,4,0.0047886751345948154,0.0078867513459481495,7.522033311635582e-08,525482.42933438462,525482.42933438462,3944285.8481378038,2.0850041778565223e-11,-0.00081544805390727185,-0.00081544805390727185,0.0036289963905371731,2.7105054312134791e-20,369103.8921854567,-2.0463630789890885e-11
3.0,2,1,0.0052192116167511324,0.0021132486540518503,8.116335251994344e-08,-373378.25605954044,-373378.25605954044,-373378.25605954044,-4.3416011894553239e-21,-0.00014935130242381617,-0.00014935130242381617,-0.00014935130242381617,-5.644081546291922e-30,301719.8028763961,2.151377106461252e-11
3.0,2,2,0.0057907883832488674,0.0021132486540518503,9.00518763043733e-08,-373378.25605954044,-373378.25605954044,-373378.25605954044,-4.4062549124669614e-21,-0.00014935130242381617,-0.00014935130242381617,-0.00014935130242381617,-5.7281313862070502e-30,301719.8028763961,-5.8253439776914327e-11
3.0,2,3,0.0052192116167511333,0.0078867513459481495,8.11633525199435e-08,-373378.25605954044,-373378.25605954044,-373378.25605954044,-6.4556724189826834e-21,-0.00014935130242381617,-0.00014935130242381617,-0.00014935130242381617,-8.3923741446774892e-30,301719.80287639605,4.7633995946926632e-12
3.0,2,4,0.0057907883832488665,0.0078867513459481495,9.005187630437335e-08,-373378.25605954044,-373378.25605954044,-373378.25605954044,-6.5203261419943202e-21,-0.00014935130242381617,-0.00014935130242381617,-0.00014935130242381617,-8.4764239845926174e-30,301719.80287639605,-1.8994606574919781e-11
3.0,3,1,0.0042113248654051857,0.0142264973081037,1.323026725903694e-07,525482.42933438555,525482.42933438555,3944285.8481378043,-4.1700083557134782e-11,-0.00081544805390727153,-0.00081544805390727153,0.0036289963905371736,-5.4210108624275222e-20,369103.89218545699,2.2737367544323206e-12
