# source_internal_id_zero_based x_m y_m z_m
0 -0.0028284271247461901 -0.0028284271247461901 0
1 0 -0.0040000000000000001 0
2 0.0028284271247461901 -0.0028284271247461901 0
3 -0.0040000000000000001 0 0
4 0 0 0
5 0.0040000000000000001 0 0
6 -0.0028284271247461901 0.0028284271247461901 0
7 0 0.0040000000000000001 0
8 0.0028284271247461901 0.0028284271247461901 0
9 -0.0028284271247461901 -0.0028284271247461901 0.0040000000000000001
10 0 -0.0040000000000000001 0.0040000000000000001
11 0.0028284271247461901 -0.0028284271247461901 0.0040000000000000001
12 -0.0040000000000000001 0 0.0040000000000000001
14 0.0040000000000000001 0 0.0040000000000000001
15 -0.0028284271247461901 0.0028284271247461901 0.0040000000000000001
16 0 0.0040000000000000001 0.0040000000000000001
17 0.0028284271247461901 0.0028284271247461901 0.0040000000000000001
18 -0.0028284271247461901 -0.0028284271247461901 0.0080000000000000002
19 0 -0.0040000000000000001 0.0080000000000000002
20 0.0028284271247461901 -0.0028284271247461901 0.0080000000000000002
21 -0.0040000000000000001 0 0.0080000000000000002
22 0 0 0.0080000000000000002
23 0.0040000000000000001 0 0.0080000000000000002
24 -0.0028284271247461901 0.0028284271247461901 0.0080000000000000002
25 0 0.0040000000000000001 0.0080000000000000002
26 0.0028284271247461901 0.0028284271247461901 0.0080000000000000002
