family,name,squared_error_share,error_over_global_reference,relative_L2,absolute_weighted_error
region,root_0_6mm,0.0001513807243976675,2.5405154681723435e-05,2.816078175312298e-05,0.011969531468212294
region,tip_194_200mm,0.0011240298391104507,6.922699403394902e-05,0.4271824786204187,0.03261600623652986
region,transition_6_30mm,0.226953814591345,0.0009836832973747632,0.003275513484317571,0.4634582363378596
region,interior_30_170mm,0.7717707748451471,0.0018139725815502915,0.00585631700522523,0.854645530379726
component,xx,0.08884674981519472,0.0006154706201901611,0.0021927903824230156,0.2899763866199186
component,yy,0.1138774512834709,0.0006967956378720007,0.0030416694958157065,0.32829232566814587
component,zz,0.025506238413868364,0.00032976894993658515,0.00040058052711149534,0.15536924978240327
component,xy,0.00208103260055401,9.419459774138029e-05,0.0006420756263195539,0.04437938740881404
component,yz,0.01340617065200944,0.00023907762099936467,0.00085699467478391,0.11264041269372421
component,xz,0.7562823572349026,0.0017956783169639071,0.00593020627971609,0.8460262647858794
