family,name,squared_error_share,error_over_global_reference,relative_L2,absolute_weighted_error
region,root_0_6mm,0.00013644004031752654,2.5382196493136552e-05,2.8135902454962943e-05,0.011971770582486595
region,tip_194_200mm,0.0013709159833842582,8.04569754011948e-05,0.28762949157196044,0.03794834901401571
region,transition_6_30mm,0.21915045008647135,0.0010172541394050595,0.0033882500700753732,0.4797982390663188
region,interior_30_170mm,0.7793421938898268,0.0019183258415395846,0.006190523357667631,0.9047978524465947
component,xx,0.13577485393499475,0.0008006965447867664,0.002854477513875002,0.37765665169950513
component,yy,0.1285372660339431,0.0007790634171228728,0.003387737154584833,0.3674531674800125
component,zz,0.034896408165469635,0.00040592766096781086,0.0004936035323958218,0.19145990109666455
component,xy,0.007087621465491719,0.00018293994310226872,0.0012360631672583304,0.08628548084030978
component,yz,0.012250619937869184,0.00024051231335190529,0.0008573394769536133,0.11344007357640336
component,xz,0.6814532304622318,0.0017938094583643022,0.00592928577830223,0.8460684365925113
