metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,0
algebraic_relative_residual,2.7799609127575071e-12
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,5.7059449915948e-05
equilibrium_relative_residual,2.8639697406868844e-12
constraint_maximum_error,3.7412202884825637e-24
external_work,0.00011411889983244272
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,3.0593194189999999
assembly_seconds,1.2595383940000002
condensation_seconds,1.6323288519999997
solve_and_refinement_seconds,0.36226891299999942
field_recovery_seconds,0.43501390100000048
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,0
last_refinement_relative_residual,2.8639697406868844e-12
width_enrichment_modes,0
solid_displacement_dofs,0
solid_elements,0
modal_elements,72
solid_lower_interface,0
solid_upper_interface,0.20000000000000001
