family,name,squared_error_share,error_over_global_reference,relative_L2,absolute_weighted_error
region,root_0_6mm,0.0010181366489562503,1.590384367707533e-05,2.403865088613625e-05,0.0005118956529887113
region,tip_194_200mm,5.3377316302487426e-06,1.1515357629048368e-06,8.65204892821795e-06,3.70643828788203e-05
region,transition_6_30mm,0.8440900499883427,0.0004579240503196968,0.0012268804993671673,0.014739162149558041
region,interior_30_170mm,0.1548864756310708,0.00019615790377904065,0.00030813031199116017,0.006313717632210426
component,xx,0.3836342639334866,0.00030871501824543645,0.0015042383187150114,0.009936583825956647
component,yy,0.4100439472429975,0.00031916426927252613,0.0019026660501389656,0.010272912972945516
component,zz,0.1043624693397343,0.00016101681662743518,0.00017708384579639985,0.0051826344727265335
component,xy,0.00908109376755815,4.749721472416586e-05,0.0004381385652139881,0.0015287887783642451
component,yz,0.06802842043411284,0.00013000027066285865,0.0006337670607142489,0.004184307566830345
component,xz,0.024849805282110515,7.85706883522904e-05,0.00035442344758288176,0.002528948010086614
