metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,1
algebraic_relative_residual,1.4935790813018827e-10
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,4.2735992319945913e-09
equilibrium_relative_residual,5.2264976854363641e-11
constraint_maximum_error,2.0669922199298161e-33
external_work,8.5471984639892139e-09
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.7067898129999999
assembly_seconds,1.2661968990000001
condensation_seconds,1.6296198830000002
solve_and_refinement_seconds,0.68165408599999999
field_recovery_seconds,0.4322899790000001
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,1
last_refinement_relative_residual,5.2264976854363641e-11
width_enrichment_modes,0
solid_displacement_dofs,0
solid_elements,0
modal_elements,72
solid_lower_interface,0
solid_upper_interface,0.20000000000000001
