metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,6
algebraic_relative_residual,1.0851186586935887e-08
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,3.387184511859566e-07
equilibrium_relative_residual,2.8589689774845327e-09
constraint_maximum_error,4.0397961386820625e-26
external_work,6.7743690237191406e-07
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.7040886899999999
assembly_seconds,1.2818604380000003
condensation_seconds,1.6262893760000003
solve_and_refinement_seconds,2.2894118519999997
field_recovery_seconds,0.42918166100000033
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,6
last_refinement_relative_residual,2.8589689774845327e-09
width_enrichment_modes,0
solid_displacement_dofs,0
solid_elements,0
modal_elements,72
solid_lower_interface,0
solid_upper_interface,0.20000000000000001
