case,version,repeat,wall_seconds,total_seconds,accepted_steps,rejected_steps,total_cutbacks,nonlinear_iterations_total,linear_iterations_total,residual_evaluations_total,jacobian_evaluations_total
finite_coupled,after,-1,1.699086794993491,9.785985340000e-01,10,0,0,50,50,60,50
finite_coupled,before,-1,1.8260568580008112,9.656245030000e-01,10,0,0,50,50,60,50
finite_coupled,before,0,1.6530046530097025,9.602751560000e-01,10,0,0,50,50,60,50
finite_coupled,after,0,1.682207917998312,9.680335850000e-01,10,0,0,50,50,60,50
finite_coupled,after,1,1.704262123996159,9.681514980000e-01,10,0,0,50,50,60,50
finite_coupled,before,1,1.7333359929907601,9.840820870000e-01,10,0,0,50,50,60,50
finite_coupled,before,2,1.6379662489925977,9.596969450000e-01,10,0,0,50,50,60,50
finite_coupled,after,2,1.8513538609986426,9.742879040000e-01,10,0,0,50,50,60,50
finite_coupled,after,3,1.6656912499893224,9.503624080000e-01,10,0,0,50,50,60,50
finite_coupled,before,3,1.6905166500073392,9.625999150000e-01,10,0,0,50,50,60,50
finite_coupled,before,4,1.6455695150070824,9.597201050000e-01,10,0,0,50,50,60,50
finite_coupled,after,4,1.6625210759957554,9.607895600000e-01,10,0,0,50,50,60,50
small_coupled,after,-1,1.6542142349935602,9.531849990000e-01,10,0,0,50,50,60,50
small_coupled,before,-1,1.6966599690058501,9.657554510000e-01,10,0,0,50,50,60,50
small_coupled,before,0,1.6814159079949604,9.664436290000e-01,10,0,0,50,50,60,50
small_coupled,after,0,1.6566086980019463,9.476603660000e-01,10,0,0,50,50,60,50
small_coupled,after,1,1.910768237998127,9.659434010000e-01,10,0,0,50,50,60,50
small_coupled,before,1,1.6378936999972211,9.461002490000e-01,10,0,0,50,50,60,50
small_coupled,before,2,1.6536125920101767,9.459739430000e-01,10,0,0,50,50,60,50
small_coupled,after,2,1.696238407996134,9.425387500000e-01,10,0,0,50,50,60,50
small_coupled,after,3,1.6885432739945827,9.617480760000e-01,10,0,0,50,50,60,50
small_coupled,before,3,1.6904792849963997,9.805362710000e-01,10,0,0,50,50,60,50
small_coupled,before,4,1.6537247340020258,9.583198590000e-01,10,0,0,50,50,60,50
small_coupled,after,4,1.6500510680052685,9.519517890000e-01,10,0,0,50,50,60,50
finite_contact_first_increment,after,-1,3.5471934780071024,2.522715242000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,-1,4.202819874000852,3.199429901000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,0,4.237221755000064,3.246039659000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,0,3.613856408992433,2.551440106000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,1,3.5258461500052363,2.535473664000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,1,4.190781839002739,3.205276923000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,2,4.188829271006398,3.204569470000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,2,3.5766707170114387,2.590698874000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,3,3.5881855570041807,2.572996731000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,3,4.250005759007763,3.260751079000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,4,4.288519542009453,3.289463254000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,4,3.556023475000984,2.554181845000e+00,1,0,0,14,14,22,14
