time,element,point,x,y,z,qx,qy,qz
10.0,1,6,0.018872984,0.005,0.0,32143.316,3.9506176e-11,0.0
10.0,1,7,0.0111270165,0.008872983,0.0,54539.605,-9.094947e-12,0.0
10.0,1,8,0.015,0.008872983,0.0,43341.46,3.6379788e-11,0.0
10.0,1,9,0.018872984,0.008872983,0.0,32143.316,1.1027623e-10,0.0
10.0,2,1,0.021127017,0.0011270166,0.0,29299.992,4.092726e-11,0.0
10.0,2,2,0.025,0.0011270166,0.0,25366.33,3.6379788e-11,0.0
10.0,2,3,0.028872984,0.0011270166,0.0,21432.668,2.2737368e-11,0.0
10.0,2,4,0.021127017,0.005,0.0,29299.992,2.2737368e-11,0.0
10.0,2,5,0.025,0.005,0.0,25366.33,5.684342e-11,0.0
10.0,2,6,0.028872984,0.005,0.0,21432.668,2.3305802e-11,0.0
10.0,2,7,0.021127017,0.008872983,0.0,29299.992,2.2737368e-11,0.0
10.0,2,8,0.025,0.008872983,0.0,25366.33,6.366463e-11,0.0
10.0,2,9,0.028872984,0.008872983,0.0,21432.668,2.842171e-11,0.0
12.0,1,1,0.0111270165,0.0011270166,0.0,54522.79,-5.4569682e-11,0.0
12.0,1,2,0.015,0.0011270166,0.0,43332.973,-1.364242e-10,0.0
12.0,1,3,0.018872984,0.0011270166,0.0,32143.154,-1.4210855e-10,0.0
12.0,1,4,0.0111270165,0.005,0.0,54522.79,-2.2737368e-11,0.0
12.0,1,5,0.015,0.005,0.0,43332.973,-5.684342e-11,0.0
12.0,1,6,0.018872984,0.005,0.0,32143.154,-2.3021585e-11,0.0
12.0,1,7,0.0111270165,0.008872983,0.0,54522.79,-1.8189894e-11,0.0
12.0,1,8,0.015,0.008872983,0.0,43332.973,1.8189894e-11,0.0
12.0,1,9,0.018872984,0.008872983,0.0,32143.154,1.330136e-10,0.0
12.0,2,1,0.021127017,0.0011270166,0.0,29304.16,2.1373125e-10,0.0
12.0,2,2,0.025,0.0011270166,0.0,25372.729,1.09139364e-10,0.0
12.0,2,3,0.028872984,0.0011270166,0.0,21441.297,3.524292e-11,0.0
12.0,2,4,0.021127017,0.005,0.0,29304.16,-3.9790393e-11,0.0
12.0,2,5,0.025,0.005,0.0,25372.729,-0.0,0.0
12.0,2,6,0.028872984,0.005,0.0,21441.297,5.1159077e-12,0.0
12.0,2,7,0.021127017,0.008872983,0.0,29304.16,-2.728484e-10,0.0
12.0,2,8,0.025,0.008872983,0.0,25372.729,-1.2505552e-10,0.0
12.0,2,9,0.028872984,0.008872983,0.0,21441.297,-1.9895197e-11,0.0
14.0,1,1,0.0111270165,0.0011270166,0.0,54519.848,9.094947e-12,0.0
14.0,1,2,0.015,0.0011270166,0.0,43331.48,1.8189894e-11,0.0
14.0,1,3,0.018872984,0.0011270166,0.0,32143.115,-5.2295945e-11,0.0
14.0,1,4,0.0111270165,0.005,0.0,54519.848,2.7284841e-11,0.0
14.0,1,5,0.015,0.005,0.0,43331.48,5.684342e-11,0.0
14.0,1,6,0.018872984,0.005,0.0,32143.115,-1.5916157e-11,0.0
14.0,1,7,0.0111270165,0.008872983,0.0,54519.848,1.8189894e-11,0.0
14.0,1,8,0.015,0.008872983,0.0,43331.48,9.094947e-11,0.0
14.0,1,9,0.018872984,0.008872983,0.0,32143.115,6.252776e-11,0.0
14.0,2,1,0.021127017,0.0011270166,0.0,29304.89,1.36424205e-11,0.0
14.0,2,2,0.025,0.0011270166,0.0,25373.863,-2.046363e-11,0.0
14.0,2,3,0.028872984,0.0011270166,0.0,21442.834,-5.684342e-13,0.0
14.0,2,4,0.021127017,0.005,0.0,29304.89,-0.0,0.0
14.0,2,5,0.025,0.005,0.0,25373.863,-0.0,0.0
14.0,2,6,0.028872984,0.005,0.0,21442.834,-4.2632564e-13,0.0
14.0,2,7,0.021127017,0.008872983,0.0,29304.89,-0.0,0.0
14.0,2,8,0.025,0.008872983,0.0,25373.863,9.094947e-12,0.0
14.0,2,9,0.028872984,0.008872983,0.0,21442.834,-2.842171e-12,0.0
16.0,1,1,0.0111270165,0.0011270166,0.0,54519.332,-3.6379788e-11,0.0
16.0,1,2,0.015,0.0011270166,0.0,43331.22,-9.5496944e-11,0.0
16.0,1,3,0.018872984,0.0011270166,0.0,32143.107,-1.08002496e-10,0.0
16.0,1,4,0.0111270165,0.005,0.0,54519.332,-1.8189894e-11,0.0
16.0,1,5,0.015,0.005,0.0,43331.22,-5.684342e-11,0.0
