time,node,temperature,reaction
2.0,1,400.0,9.664485931396484
2.0,2,345.1092224121094,0.0
2.0,3,345.1092224121094,0.0
2.0,4,400.0,9.664485931396484
2.0,5,364.38519287109375,0.0
2.0,6,345.1092224121094,0.0
2.0,7,364.38519287109375,0.0
2.0,8,400.0,38.65794372558594
2.0,9,318.8200988769531,0.0
2.0,10,300.0,-4.481459617614746
2.0,11,300.0,-4.481459617614746
2.0,12,318.8200988769531,0.0
2.0,13,307.97613525390625,0.0
2.0,14,300.0,-17.925838470458984
2.0,15,307.97613525390625,0.0
2.0,16,318.8200988769531,0.0
4.0,1,400.0,7.036762714385986
4.0,2,354.69927978515625,0.0
4.0,3,354.69927978515625,0.0
4.0,4,400.0,7.036762714385986
4.0,5,373.0608825683594,0.0
4.0,6,354.69927978515625,0.0
4.0,7,373.0608825683594,0.0
4.0,8,400.0,28.147050857543945
4.0,9,324.0693054199219,0.0
4.0,10,300.0,-6.088404655456543
4.0,11,300.0,-6.088404655456543
4.0,12,324.0693054199219,0.0
4.0,13,310.67022705078125,0.0
4.0,14,300.0,-24.353618621826172
4.0,15,310.67022705078125,0.0
4.0,16,324.0693054199219,0.0
6.0,1,400.0,6.634984970092773
6.0,2,356.330322265625,0.0
6.0,3,356.330322265625,0.0
6.0,4,400.0,6.634984970092773
6.0,5,374.44329833984375,0.0
6.0,6,356.330322265625,0.0
6.0,7,374.44329833984375,0.0
6.0,8,400.0,26.539939880371094
6.0,9,325.13214111328125,0.0
6.0,10,300.0,-6.4629011154174805
6.0,11,300.0,-6.4629011154174805
6.0,12,325.13214111328125,0.0
6.0,13,311.2739562988281,0.0
6.0,14,300.0,-25.851604461669922
6.0,15,311.2739562988281,0.0
6.0,16,325.13214111328125,0.0
8.0,1,400.0,6.568193435668945
8.0,2,356.6099853515625,0.0
8.0,3,356.6099853515625,0.0
8.0,4,400.0,6.568193435668945
8.0,5,374.67523193359375,0.0
8.0,6,356.6099853515625,0.0
8.0,7,374.67523193359375,0.0
8.0,8,400.0,26.27277374267578
8.0,9,325.3304443359375,0.0
8.0,10,300.0,-6.537422180175781
8.0,11,300.0,-6.537422180175781
8.0,12,325.3304443359375,0.0
8.0,13,311.3918151855469,0.0
8.0,14,300.0,-26.149688720703125
8.0,15,311.3918151855469,0.0
8.0,16,325.3304443359375,0.0
10.0,1,400.0,6.556758880615234
10.0,2,356.6585388183594,0.0
10.0,3,356.6585388183594,0.0
10.0,4,400.0,6.556758880615234
10.0,5,374.715087890625,0.0
10.0,6,356.6585388183594,0.0
10.0,7,374.715087890625,0.0
10.0,8,400.0,26.227035522460938
10.0,9,325.3663330078125,0.0
10.0,10,300.0,-6.551300048828125
10.0,11,300.0,-6.551300048828125
10.0,12,325.3663330078125,0.0
10.0,13,311.41357421875,0.0
10.0,14,300.0,-26.2052001953125
10.0,15,311.41357421875,0.0
10.0,16,325.3663330078125,0.0
12.0,1,400.0,6.554773807525635
12.0,2,356.6670227050781,0.0
12.0,3,356.6670227050781,0.0
12.0,4,400.0,6.554773807525635
12.0,5,374.7220153808594,0.0
12.0,6,356.6670227050781,0.0
12.0,7,374.7220153808594,0.0
12.0,8,400.0,26.21909523010254
12.0,9,325.37274169921875,0.0
12.0,10,300.0,-6.55380916595459
12.0,11,300.0,-6.55380916595459
12.0,12,325.37274169921875,0.0
12.0,13,311.4175109863281,0.0
12.0,14,300.0,-26.21523666381836
12.0,15,311.4175109863281,0.0
12.0,16,325.37274169921875,0.0
14.0,1,400.0,6.554426670074463
14.0,2,356.66851806640625,0.0
14.0,3,356.66851806640625,0.0
14.0,4,400.0,6.554426670074463
14.0,5,374.7232360839844,0.0
14.0,6,356.66851806640625,0.0
14.0,7,374.7232360839844,0.0
14.0,8,400.0,26.21770668029785
14.0,9,325.3738708496094,0.0
14.0,10,300.0,-6.554256439208984
14.0,11,300.0,-6.554256439208984
14.0,12,325.3738708496094,0.0
14.0,13,311.4181823730469,0.0
14.0,14,300.0,-26.217025756835938
14.0,15,311.4181823730469,0.0
14.0,16,325.3738708496094,0.0
16.0,1,400.0,6.554366111755371
16.0,2,356.6687927246094,0.0
16.0,3,356.6687927246094,0.0
16.0,4,400.0,6.554366111755371
16.0,5,374.72344970703125,0.0
16.0,6,356.6687927246094,0.0
16.0,7,374.72344970703125,0.0
16.0,8,400.0,26.217464447021484
16.0,9,325.3740539550781,0.0
16.0,10,300.0,-6.554336071014404
16.0,11,300.0,-6.554336071014404
16.0,12,325.3740539550781,0.0
16.0,13,311.4183349609375,0.0
16.0,14,300.0,-26.217344284057617
16.0,15,311.4183349609375,0.0
16.0,16,325.3740539550781,0.0
18.0,1,400.0,6.554355144500732
18.0,2,356.6688232421875,0.0
18.0,3,356.6688232421875,0.0
18.0,4,400.0,6.554355144500732
18.0,5,374.7234802246094,0.0
18.0,6,356.6688232421875,0.0
18.0,7,374.7234802246094,0.0
18.0,8,400.0,26.21742057800293
18.0,9,325.37408447265625,0.0
18.0,10,300.0,-6.554349899291992
18.0,11,300.0,-6.554349899291992
18.0,12,325.37408447265625,0.0
18.0,13,311.4183349609375,0.0
18.0,14,300.0,-26.21739959716797
18.0,15,311.4183349609375,0.0
18.0,16,325.37408447265625,0.0
20.0,1,400.0,6.5543532371521
20.0,2,356.6688232421875,0.0
20.0,3,356.6688232421875,0.0
20.0,4,400.0,6.5543532371521
20.0,5,374.7234802246094,0.0
20.0,6,356.6688232421875,0.0
20.0,7,374.7234802246094,0.0
20.0,8,400.0,26.2174129486084
20.0,9,325.3741149902344,0.0
20.0,10,300.0,-6.554352283477783
20.0,11,300.0,-6.554352283477783
20.0,12,325.3741149902344,0.0
20.0,13,311.4183349609375,0.0
20.0,14,300.0,-26.217409133911133
20.0,15,311.4183349609375,0.0
20.0,16,325.3741149902344,0.0
