time,node,temperature,reaction
1.0,1,400.0,-0.8913558125495911
1.0,2,393.8482971191406,0.0
1.0,3,398.2012939453125,0.0
1.0,4,450.0,-0.34147122502326965
1.0,5,450.0,-0.33902305364608765
1.0,6,397.9289855957031,0.0
1.0,7,402.2820129394531,0.0
1.0,8,500.0,0.21086150407791138
1.0,9,415.5113525390625,0.0
1.0,10,397.50506591796875,0.0
1.0,11,424.12823486328125,0.0
1.0,12,425.0,0.5701080560684204
1.0,13,425.0,0.572392463684082
1.0,14,396.76361083984375,0.0
1.0,15,401.5248718261719,0.0
1.0,16,475.0,2.650909662246704
1.0,17,424.0183410644531,0.0
1.0,18,402.23687744140625,0.0
1.0,19,432.63519287109375,0.0
1.0,20,475.0,2.5752480030059814
1.0,21,347.74615478515625,0.0
1.0,22,300.0,0.2575368881225586
1.0,23,300.0,0.4867652654647827
1.0,24,349.55633544921875,0.0
1.0,25,348.3778381347656,0.0
1.0,26,300.0,0.25723597407341003
1.0,27,300.0,0.4865107238292694
1.0,28,350.1508483886719,0.0
1.0,29,323.7768859863281,0.0
1.0,30,300.0,-0.8888311386108398
1.0,31,325.1186218261719,0.0
1.0,32,348.9161376953125,0.0
1.0,33,349.17608642578125,0.0
1.0,34,300.0,-0.8302776217460632
1.0,35,300.0,-1.787248134613037
1.0,36,350.88128662109375,0.0
1.0,37,323.8681640625,0.0
1.0,38,300.0,-0.890261173248291
1.0,39,325.2240295410156,0.0
1.0,40,349.5289611816406,0.0
1.0,41,300.0,0.2569049894809723
1.0,42,348.3527526855469,0.0
1.0,43,300.0,0.25660407543182373
1.0,44,348.9844055175781,0.0
1.0,45,300.0,-0.8885798454284668
1.0,46,323.8757019042969,0.0
1.0,47,349.2993469238281,0.0
1.0,48,300.0,-0.8340197801589966
1.0,49,349.76373291015625,0.0
1.0,50,300.0,-0.890009880065918
1.0,51,323.96697998046875,0.0
1.0,52,349.9122009277344,0.0
