time,node,temperature,reaction
2.0,1,400.0,1.327051043510437
2.0,2,373.458984375,0.0
2.0,3,373.458984375,0.0
2.0,4,400.0,1.327051043510437
2.0,5,400.0,1.327051043510437
2.0,6,373.458984375,0.0
2.0,7,373.458984375,0.0
2.0,8,400.0,1.327051043510437
2.0,9,356.100341796875,0.0
2.0,10,356.100341796875,0.0
2.0,11,356.100341796875,0.0
2.0,12,356.100341796875,0.0
2.0,13,345.75421142578125,0.0
2.0,14,345.75421142578125,0.0
2.0,15,345.75421142578125,0.0
2.0,16,345.75421142578125,0.0
2.0,17,341.12738037109375,0.0
2.0,18,341.12738037109375,0.0
2.0,19,341.12738037109375,0.0
2.0,20,341.12738037109375,0.0
4.0,1,400.0,0.60938560962677
4.0,2,387.8122863769531,0.0
4.0,3,387.8122863769531,0.0
4.0,4,400.0,0.60938560962677
4.0,5,400.0,0.60938560962677
4.0,6,387.8122863769531,0.0
4.0,7,387.8122863769531,0.0
4.0,8,400.0,0.60938560962677
4.0,9,377.4187316894531,0.0
4.0,10,377.4187316894531,0.0
4.0,11,377.4187316894531,0.0
4.0,12,377.4187316894531,0.0
4.0,13,369.69000244140625,0.0
4.0,14,369.69000244140625,0.0
4.0,15,369.69000244140625,0.0
4.0,16,369.69000244140625,0.0
4.0,17,364.9532165527344,0.0
4.0,18,364.9532165527344,0.0
4.0,19,364.9532165527344,0.0
4.0,20,364.9532165527344,0.0
6.0,1,400.0,0.3696694076061249
6.0,2,392.6065979003906,0.0
6.0,3,392.6065979003906,0.0
6.0,4,400.0,0.3696694076061249
6.0,5,400.0,0.3696694076061249
6.0,6,392.6065979003906,0.0
6.0,7,392.6065979003906,0.0
6.0,8,400.0,0.3696694076061249
6.0,9,385.8125,0.0
6.0,10,385.8125,0.0
6.0,11,385.8125,0.0
6.0,12,385.8125,0.0
6.0,13,380.067626953125,0.0
6.0,14,380.067626953125,0.0
6.0,15,380.067626953125,0.0
6.0,16,380.067626953125,0.0
6.0,17,375.6199645996094,0.0
6.0,18,375.6199645996094,0.0
6.0,19,375.6199645996094,0.0
6.0,20,375.6199645996094,0.0
8.0,1,400.0,0.2748413681983948
8.0,2,394.503173828125,0.0
8.0,3,394.503173828125,0.0
8.0,4,400.0,0.2748413681983948
8.0,5,400.0,0.2748413681983948
8.0,6,394.503173828125,0.0
8.0,7,394.503173828125,0.0
8.0,8,400.0,0.2748413681983948
8.0,9,389.243408203125,0.0
8.0,10,389.243408203125,0.0
8.0,11,389.243408203125,0.0
8.0,12,389.243408203125,0.0
8.0,13,384.4125061035156,0.0
8.0,14,384.4125061035156,0.0
8.0,15,384.4125061035156,0.0
8.0,16,384.4125061035156,0.0
8.0,17,380.1247253417969,0.0
8.0,18,380.1247253417969,0.0
8.0,19,380.1247253417969,0.0
8.0,20,380.1247253417969,0.0
10.0,1,400.0,0.23588979244232178
10.0,2,395.2821960449219,0.0
10.0,3,395.2821960449219,0.0
10.0,4,400.0,0.23588979244232178
10.0,5,400.0,0.23588979244232178
10.0,6,395.2821960449219,0.0
10.0,7,395.2821960449219,0.0
10.0,8,400.0,0.23588979244232178
10.0,9,390.6617736816406,0.0
10.0,10,390.6617736816406,0.0
10.0,11,390.6617736816406,0.0
10.0,12,390.6617736816406,0.0
10.0,13,386.2186584472656,0.0
10.0,14,386.2186584472656,0.0
10.0,15,386.2186584472656,0.0
