time,node,temperature,reaction
1.0,1,400.0,-0.2896471321582794
1.0,2,366.7853698730469,0.0
1.0,3,364.8458557128906,0.0
1.0,4,400.0,-0.28236016631126404
1.0,5,400.0,-0.2857460677623749
1.0,6,365.6677551269531,0.0
1.0,7,363.4204406738281,0.0
1.0,8,400.0,-0.27306607365608215
1.0,9,383.5513916015625,0.0
1.0,10,366.0000915527344,0.0
1.0,11,382.0575866699219,0.0
1.0,12,400.0,1.1421263217926025
1.0,13,400.0,1.1388481855392456
1.0,14,366.348876953125,0.0
1.0,15,364.25506591796875,0.0
1.0,16,400.0,1.178123950958252
1.0,17,382.7012634277344,0.0
1.0,18,364.7280578613281,0.0
1.0,19,380.8698425292969,0.0
1.0,20,400.0,1.1677180528640747
1.0,21,333.4783020019531,0.0
1.0,22,300.0,0.29180434346199036
1.0,23,300.0,0.2995578646659851
1.0,24,331.6115417480469,0.0
1.0,25,332.4090576171875,0.0
1.0,26,300.0,0.29596707224845886
1.0,27,300.0,0.3086555600166321
1.0,28,330.21588134765625,0.0
1.0,29,316.8999938964844,0.0
1.0,30,300.0,-1.188131332397461
1.0,31,315.4384765625,0.0
1.0,32,332.72760009765625,0.0
1.0,33,333.06488037109375,0.0
1.0,34,300.0,-1.1923956871032715
1.0,35,300.0,-1.1507591009140015
1.0,36,331.033203125,0.0
1.0,37,316.06268310546875,0.0
1.0,38,300.0,-1.1606957912445068
1.0,39,314.3038635253906,0.0
1.0,40,331.4926452636719,0.0
