increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w,allae_j
1,100000,377.0623779296875,343.6747741699219,0,0,0,378.0273742675781,676.8313365135083,33.38761520385742
2,200000,379.4140014648438,345.9432373046875,0,0,0,381.8272399902344,1045.995803869214,33.47078323364258
3,300000,381.5435180664062,347.9031066894531,0,0,0,385.6275024414062,1395.580104363353,33.64038848876953
4,400000,384.4163208007812,350.6189880371094,0,0,0,390.4700927734375,1741.210623164595,33.79734420776367
5,500000,387.5832824707031,353.6102294921875,0,0,0,395.8576049804688,2089.738548409047,33.97304534912109
6,600000,391.0105285644531,356.8435974121094,0,0,0,401.7274169921875,2444.266079155771,34.16695022583008
7,700000,394.6878356933594,360.3091430664062,0,0,0,408.0614318847656,2805.927826039459,34.37867736816406
8,800000,398.6134033203125,364.0052490234375,0,0,0,414.8552551269531,3175.601246568274,34.6081428527832
9,900000,402.7943420410156,367.9391479492188,0,0,0,422.1244506835938,3553.306436177011,34.85520553588867
10,1000000,407.2429809570312,372.1231079101562,0,0,0,429.8936157226562,3938.921920405486,35.11985778808594
