file	original_sha256	selected_sha256	original_bytes	selected_bytes	original_rows	selected_rows	original_frames	selected_frames
b13_integrated_cax4t_nodes.csv	21a8c39fcdb0bf0d949120205fa29acf5a426f6f2d6bf91541f35bff1958c8af	bd836deef818edccb85bb680e856a6ecb16618869679549aac37e9f427e7e96e	1273731	277468	14400	3150	96	21
b13_integrated_cax4t_points.csv	ffb0f68ed412312faeca625029c47bd11bf1c3c6c1799156f21b9f9fed24602e	c8ec65685fda42b74af6cf884f816bb116ae0a04512e9d25a49893820b171e0d	15394437	3364266	39936	8736	96	21
b13_integrated_cax4t_contact.csv	28823b58a49c5207bc512284f89ab6c5191e8cbb5e913ad8e0ece7f0496e62a9	9df72cbaf3a6b31628641240878ca803db98d26b76e0b8bf76c08452ff265080	168437	35186	864	189	96	21
b13_integrated_cax4rt_nodes.csv	e64c57f5834730ec80da0e9c3f796210d53152bc50e75ca7467fd00aae141b28	f6db4c05436454af899e09901736ae4a28b453035efdac864cef342c868f74ce	1273973	277471	14400	3150	96	21
b13_integrated_cax4rt_points.csv	9e820a99d97a16fd4295ed9dd0a9865b1a026daa27d517d2dd065c2d249db153	f0abf8ef4630b0ab2ee40ee005e8095d45911342c13305c10a60fe2e674520ce	3849830	841415	9984	2184	96	21
b13_integrated_cax4rt_contact.csv	08f84cdb5b6fe1c453e5794d925f9f8eb94674b12c98e58ea4dda8e4d9fa447c	65e11d11120895d1cd97f7f03c9604fb368b987885c22a09fe952ad5d37fbbba	168240	35124	864	189	96	21
b13_integrated_cax8t_nodes.csv	51f084532e33851fb0684cc6dd482d97fe34dbd3b36489947ca758feb15cd9c1	52abe8b51c9f8caaa805fb02b91fe26ebce86fc9cafa3adf72a80154ba5d0641	3356138	730541	38592	8442	96	21
b13_integrated_cax8t_points.csv	99a5485858a20c06401bcdbb561c8d3bf557c30fc2c7077cd6ed1f21a3868147	bc889ee734dd4d7ca36ef12e9e9cef9b18a890018786917f055d28d21c574e09	34663970	7574698	89856	19656	96	21
b13_integrated_cax8t_contact.csv	5faa37b5cbafb5d451ffe20929eb2d97b86ec64059a0d01aefa8406c2bb4468b	55d611988dd742b28bd8c2db9b49097dbab119d6decbd7f018c6a6752baa8309	308165	64187	1632	357	96	21
b13_integrated_cax8rt_nodes.csv	04fe39dccf9985481f5ee5fcc1eaa6f3faa31e080fced571b2af4004a1d6912a	d1a140bf40bc09e6448189944d0ed7764f361e358798573d0ff338358dc284a8	3356321	730560	38592	8442	96	21
b13_integrated_cax8rt_points.csv	501bba72cb7a63428316d4390c985e350402d4affae75f03b5d99c520823a92a	3b7ca5b98779eed39440ceff3b839611b042a2a01f8c447ac3efc7a4ae01ff1b	15392571	3363957	39936	8736	96	21
b13_integrated_cax8rt_contact.csv	cfad942721db549e16685225f1fc8c84bf0dcbd76f704c091e3389d0b2e01f5d	6083e01fa90c9eb654ec5e4201a4163a3b527673466cbf3fdf4ccc31c17dd349	308175	64179	1632	357	96	21
