time,element,point,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,plastic_rr,plastic_zz,plastic_hoop,plastic_rz,creep_rr,creep_zz,creep_hoop,creep_rz,equiv_plastic,equiv_creep,r,z,volume
0.5,1,1,-160882.83570890516,-328917.13877955277,-160455.63465753628,24.864863923840883,-3.1205196513924975e-08,-1.1368709107187864e-06,-2.8394213595917842e-08,1.63610804618873e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738847689375852e-05,0.00028175416344815003,6.440760354845602e-11
0.5,1,2,-159328.69712035076,-324324.8742837805,-157433.42321321214,-67.86665932185616,-3.546537555650551e-08,-1.121140221291873e-06,-2.2994473247533305e-08,-4.465626183378135e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003433333333333333,0.00028175416344815003,4.5719007492365415e-10
0.5,1,3,-157749.45115144955,-319678.26343307935,-154386.10438854122,-162.340831400259,-3.972555459908731e-08,-1.1052171394122112e-06,-1.759473289915046e-08,-1.0682026706137041e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006092781897729081,0.00028175416344815003,5.070799901061156e-10
0.5,1,4,-161950.18562595744,-325862.0063657471,-161521.13833258714,8.852863333251138,-3.968555950641902e-08,-1.1182253399742351e-06,-3.686242831604249e-08,5.825184073279249e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738847689375854e-05,0.0012499999999999998,1.0305216567752896e-10
0.5,1,5,-160438.16485035693,-321425.69960638916,-158534.70010595213,-236.4169626642455,-4.385339270628533e-08,-1.1031513714009775e-06,-3.132859468810181e-08,-1.5556236143307353e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333333333333335,0.00125,7.315041198778417e-10
0.5,1,6,-158901.03669440732,-316935.0464921003,-155523.15449896822,-483.4294374943675,-4.802122590614825e-08,-1.0878850103749682e-06,-2.5794761060159013e-08,-3.180965698712938e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006092781897729081,0.0012499999999999998,8.11327984169779e-10
0.5,1,7,-167088.9645102577,-325380.01705924235,-166658.07097488566,-237.4912622395525,-5.8024643457366286e-08,-1.099579769229685e-06,-5.5189363994618246e-08,-1.5626925055362554e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738847689375852e-05,0.0022182458365518493,6.440760354845602e-11
0.5,1,8,-165619.06154760884,-321099.6680362969,-163707.40596593783,-635.2993909883821,-6.210013081451329e-08,-1.0851625215100808e-06,-4.9521437087118034e-08,-4.180269992703554e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003433333333333333,0.0022182458365518497,4.5719007492365415e-10
0.5,1,9,-164124.05120461158,-316764.97265842115,-160731.63357664165,-1034.8501685699819,-6.61756181716586e-08,-1.0705528813377256e-06,-4.385351017961655e-08,-6.80931410919048e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000609278189772908,0.0022182458365518497,5.070799901061155e-10
0.5,2,1,-157202.28610982734,-315027.8447577396,-150863.8872975582,-130.7014005944893,-4.990249390176629e-08,-1.0883946698050287e-06,-8.195829717035192e-09,-8.600152159117395e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007640551435604252,0.00028175416344815003,6.358951972030281e-10
0.5,2,2,-153581.27286663753,-302491.49094260164,-141397.93805249926,-210.4382957995436,-6.656106652092816e-08,-1.046390301460772e-06,1.3605276556101525e-08,-1.3846839863609967e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103,0.00028175416344815003,1.3715702247709631e-09
0.5,2,3,-150457.6142902412,-290395.66552450333,-133065.36758379856,-296.83544555159546,-8.321963914008918e-08,-1.0040120162615337e-06,3.122134418830362e-08,-1.953177231729498e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001295944856439575,0.00028175416344815003,1.0785675837606872e-09
0.5,2,4,-158177.8205379321,-312330.21385454177,-151909.66478997693,-468.9427334210855,-5.7390094431320966e-08,-1.0717128424546124e-06,-1.6145629609776023e-08,-3.0856431859107425e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007640551435604253,0.0012499999999999998,1.0174323155248376e-09
0.5,2,5,-154624.2938796915,-300133.0408693981,-142450.82938518384,-634.4769992684983,-7.383895439621797e-08,-1.0312865095884874e-06,6.2624419776423225e-09,-4.174858655186718e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103,0.00125,2.1945123596335258e-09
0.5,2,6,-151580.8531988246,-288389.1275918742,-134152.93040370327,-806.6715196632305,-9.028781436111032e-08,-9.904862598673773e-07,2.43879176307878e-08,-5.307898599384056e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012959448564395747,0.0012499999999999998,1.7257081340170868e-09
0.5,2,7,-162990.7178369893,-312091.960991834,-156900.92131172842,-1390.0564767621827,-7.394483514531777e-08,-1.055031015104196e-06,-3.387397400910141e-08,-9.146571617095161e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007640551435604251,0.0022182458365518493,6.358951972030278e-10
0.5,2,8,-159480.70686920956,-300209.99794219824,-147397.31338065682,-1641.388113252147,-9.018398245593679e-08,-1.0161827177162023e-06,-1.0675253301259628e-08,-1.0800333785199126e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103,0.0022182458365518497,1.371570224770963e-09
0.5,2,9,-156503.35147233613,-288803.8641937142,-139103.49504370708,-1899.3800042894468,-1.0642312976655496e-07,-9.76960503473223e-07,8.067925533824286e-09,-1.2497920428224559e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012959448564395747,0.0022182458365518497,1.0785675837606872e-09
0.5,3,1,-148611.4426300688,-279860.6196150166,-125067.94923079587,-215.68301451108684,-1.0327007437396039e-07,-9.668896589349168e-07,5.1646112193255696e-08,-1.4191942354829513e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014507218102270919,0.00028175416344815003,1.2073827908575982e-09
0.5,3,2,-142281.20413221486,-254631.9378891686,-105608.14898730515,-295.3482093439708,-1.4222668339624583e-07,-8.814945115170014e-07,9.908201945726028e-08,-1.9433912174833277e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017166666666666665,0.00028175416344815003,2.285950374618271e-09
0.5,3,3,-136791.12550873024,-230138.85182766436,-88071.48685912252,-391.7285162512058,-1.811832924185279e-07,-7.954113315971144e-07,1.393919298958908e-07,-2.577573636932934e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019826115231062415,0.00028175416344815003,1.6500551774152639e-09
0.5,3,4,-149560.85531148282,-277997.35885491833,-126038.17412571718,-604.0744684889565,-1.0942813444801007e-07,-9.545403277638156e-07,4.5351107754327955e-08,-3.974810002657334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014507218102270919,0.0012499999999999998,1.931812465372146e-09
0.5,3,5,-143235.87071789673,-253228.4449349819,-106468.11936063708,-653.4486869248557,-1.4785878200240566e-07,-8.71609920350826e-07,9.407302192836288e-08,-4.29969235996555e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017166666666666667,0.00125,3.657520599389209e-09
0.5,3,6,-137763.63620211376,-229207.7168828224,-88848.45492336043,-719.538017435299,-1.8628942955679997e-07,-7.879914804358627e-07,1.3557246325739698e-07,-4.734560154724267e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019826115231062415,0.0012499999999999998,2.6400882838643962e-09
0.5,3,7,-153898.93338336365,-278357.3035825406,-130655.19403435063,-2041.4208061437782,-1.2325492068213014e-07,-9.421909965927143e-07,2.9688884234375523e-08,-1.343254890442606e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014507218102270917,0.0022182458365518493,1.2073827908575963e-09
0.5,3,8,-147544.86408238698,-254013.81885685475,-110900.55686674097,-2060.5040481828532,-1.6115960676865365e-07,-8.617253291846515e-07,7.995993471029706e-08,-1.3558116637043175e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017166666666666665,0.0022182458365518497,2.2859503746182723e-09
