increment	time_s	native_allfd_J	native_friction_rate_W	native_IVOL_storage_rate_W	native_boundary_heat_W	native_IVOL_storage_minus_boundary_minus_friction_W	before_storage_minus_boundary_W	current_storage_minus_boundary_W	native_primary_interface_mean_T_K	current_primary_interface_mean_T_K	native_secondary_interface_mean_T_K	current_secondary_interface_mean_T_K	native_nodal_HFL_mean_W_m2	current_contact_rate_W	native_primary_outer_mean_heat_W	current_primary_outer_mean_heat_W
1	0.02	0.0	0.0	25904.80521088151	25904.805210706203	1.7530692275613546e-07	3.657623892650008e-08	3.0850060284137726e-08	300.0001144770945	300.0001144761686	300.002390467592	300.00239055937016	0.14648147724106558	0.14648991314072413	-1.0065455710039108e-05	-1.0064790438428541e-05
2	0.04	0.0	0.0	26814.68013033921	26814.680130320823	1.8386344891041517e-08	-2.000888343900442e-10	5.820766091346741e-11	300.0006471108719	300.00064709039077	300.0093438371782	300.0093443436982	0.6848554951693352	0.684921423996729	-6.67510949936665e-05	-6.674206175722885e-05
3	0.06	0.0	0.0	27729.614820287625	27729.614820224513	6.311165634542704e-08	-4.547473508864641e-10	2.1464074961841106e-10	300.0021348955828	300.0021347851747	300.0227691077559	300.0227707484364	1.9224193097349003	1.9226910162977906	-0.0002530567203953958	-0.00025300570471782966
4	0.08	0.0	0.0	28649.599063479858	28649.599063329602	1.5025580069050193e-07	-1.1350493878126144e-09	4.0381564758718014e-10	300.0053613089085	300.005360943769	300.0442973172999	300.04430138307583	4.189987669980969	4.190796736330782	-0.0007191180237867147	-0.0007189276371322235
5	0.1	0.0	0.0	29574.622323718635	29574.622323423035	2.9560032999143004e-07	-2.066371962428093e-09	7.203198038041592e-10	300.0113423604983	300.0113414447959	300.0752942892012	300.0753028089102	7.807516184415943	7.80948129364952	-0.0017012300436761167	-0.0017006776571975458
6	0.12	0.0	0.0	2037.313700268356	2037.3136990324767	1.2358791536826175e-06	-8.606775736552663e-09	-1.9863591660396196e-08	300.02017225321725	300.02017244603434	300.115249587681	300.11526358864705	11.631119584814009	11.630990776844076	-0.0034378293718535687	-0.003436800045995873
7	0.14	0.0	0.0	2021.7455734233033	2021.7455734438286	-2.0525249055936e-08	-7.695916792727076e-09	-1.9626668290584348e-08	300.0322583493423	300.0322642575581	300.1633558318547	300.16337349620954	16.0683376366976	16.059344574386884	-0.0061981029919646775	-0.006196810211858599
8	0.16	5.224912643432617	261.24563217163086	2267.603024068678	2006.357385427656	6.469391337304842e-06	2.85126589005813e-10	-1.1853975138365058e-05	300.15004987767975	300.0479246915674	300.32168617743434	300.2189333875313	-109.8603893580501	20.974565888285362	-0.019268137094475175	-0.010270914380757206
9	0.18	13.86730480194092	432.1196079254151	2423.2305153901107	1991.1109176725554	-1.0207859816091513e-05	2.8044269129168242e-09	-1.998075049414183e-06	300.3361665638786	300.0673782369027	300.55233287093625	300.28133649593656	-190.31799740607275	26.278099331275588	-0.048426423535002226	-0.01596229733215273
10	0.2	22.53208541870117	433.2390308380124	2409.2415407588273	1976.0025355744124	-2.565359744721718e-05	-4.8228037030639825e-06	-2.594833858893253e-08	300.5230415272774	300.0907788064756	300.78687334295114	300.3500559523135	-185.3135496944946	31.885182720486654	-0.09336550487676192	-0.023580604081866848
11	0.22	22.53208541870117	0.0	1961.1207977160914	1961.1207976412402	7.485118658223655e-08	2.4442670110147446e-10	-8.276401786133647e-11	300.5413045364156	300.11827433854234	300.85401137238824	300.42458046128286	38.67956694206931	37.79162233409368	-0.13886010273639504	-0.03344138417824714
12	0.24	22.53208541870117	0.0	1946.453653006672	1946.453653020793	-1.4120814739726484e-08	4.773028194904327e-09	-3.5586026569944806e-08	300.56418759038036	300.14990867657934	300.9265568608849	300.5045120719054	44.90355331941104	43.86743268613316	-0.1853040709787474	-0.04585651545354637
13	0.26	22.53208541870117	0.0	1931.9953307130095	1931.9953307262206	-1.3211092664278112e-08	1.074795363820158e-09	-3.9616907088202424e-08	300.5916395480728	300.1856839322579	301.0041992656907	300.589504302521	51.194086959908425	50.059364012949075	-0.23307766374172498	-0.0611308236917593
14	0.28	27.22096061706543	234.44375991821306	2152.1381306933304	1917.694313296864	5.7478253268072876e-05	2.5011104298755527e-10	-1.0966873560391832e-05	300.71519171314856	300.2255680832973	301.17880596446685	300.67925456488524	-59.598969758565026	56.322672077482245	-0.2906189813092267	-0.07955919022754764
15	0.3	39.02032089233398	589.9680137634274	2493.4456327195658	1903.4776162170156	2.739122805905936e-06	2.4283508537337184e-10	-1.0095391189679503e-10	300.97998667079	300.26951734882357	301.4961112883998	300.77348173287675	-230.94670057005206	62.64027539225344	-0.3701511169891539	-0.1014258109962836
16	0.32	39.02032089233398	0.0	1889.4609419210713	1889.4609420647525	-1.4368129086506087e-07	-2.9194779926910996e-10	3.115019353572279e-11	301.0137061435943	300.3175018163827	301.5820676389083	300.8719002641654	70.88880673728859	69.02759542867871	-0.45079029694435885	-0.1270057521440658
17	0.34	39.02032089233398	0.0	1875.6398280653698	1875.6398280768576	-1.1487827578093857e-08	-9.495399353909306e-06	2.4583659978816286e-06	301.0520243037146	300.3694532150873	301.6721115266845	300.9742721314496	77.47095348189835	75.43362940614992	-0.5329161987569423	-0.15656149853552875
18	0.36	39.02032089233398	0.0	1862.0090494171855	1862.0090494279732	-1.0787744031404145e-08	-9.101800742428168e-06	2.3666361812502146e-06	301.09480049713864	300.4252919187214	301.7660598809566	301.0803797901986	84.00434492411993	81.84084662855336	-0.616887146402316	-0.19034248063714382
19	0.38	39.02032089233398	0.0	1848.5635510203313	1848.5635510303214	-9.990117177949287e-09	-8.725381576368818e-06	2.279510681546526e-06	301.141894610612	300.4849296543714	301.863739229622	301.19002328899944	90.48415644810339	88.23489160204872	-0.7030407585984769	-0.2285845637009682
20	0.4	39.02032089233398	0.0	1835.298442419062	1835.2984424284082	-9.346194929094054e-09	-8.365509756913525e-06	2.196637069573626e-06	301.19316772162426	300.54827171693734	301.96498475859033	301.30301785855266	96.90648714490962	94.60403389384821	-0.7916945417695084	-0.2715098010096918
