step,frame,time,node,r,z,temperature,ur,uz
PRELOAD,0,0.0,1,0.004,0.0,600.0,0.0,0.0
PRELOAD,0,0.0,2,0.005,0.0,650.0,0.0,0.0
PRELOAD,0,0.0,3,0.005,0.01,700.0,0.0,0.0
PRELOAD,0,0.0,4,0.004,0.01,750.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,0.004,0.0,600.0,7.2498292005918219e-34,1.8325957145940396e-34
PRELOAD,1,0.10000000149011612,2,0.005,0.0,650.0,-9.0622865007397785e-34,1.9735646157166615e-34
PRELOAD,1,0.10000000149011612,3,0.005,0.01,700.0,-9.0622865007397785e-34,0.0001
PRELOAD,1,0.10000000149011612,4,0.004,0.01,750.0,7.2498292005918211e-34,0.0001
RELAX_FAST,0,0.10000000149011612,1,0.004,0.0,600.0,7.2498292005918219e-34,1.8325957145940396e-34
RELAX_FAST,0,0.10000000149011612,2,0.005,0.0,650.0,-9.0622865007397785e-34,1.9735646157166615e-34
RELAX_FAST,0,0.10000000149011612,3,0.005,0.01,700.0,-9.0622865007397785e-34,0.0001
RELAX_FAST,0,0.10000000149011612,4,0.004,0.01,750.0,7.2498292005918211e-34,0.0001
RELAX_FAST,1,0.15000000223517418,1,0.004,0.0,600.0,0.0,-2.1382117680737565e-50
RELAX_FAST,1,0.15000000223517418,2,0.005,0.0,650.0,0.0,0.0
RELAX_FAST,1,0.15000000223517418,3,0.005,0.01,700.0,0.0,0.0001
RELAX_FAST,1,0.15000000223517418,4,0.004,0.01,750.0,8.5528470722950261e-50,0.0001
RELAX_FAST,2,0.20000000298023224,1,0.004,0.0,600.0,0.0,0.0
RELAX_FAST,2,0.20000000298023224,2,0.005,0.0,650.0,0.0,0.0
RELAX_FAST,2,0.20000000298023224,3,0.005,0.01,700.0,0.0,0.0001
RELAX_FAST,2,0.20000000298023224,4,0.004,0.01,750.0,0.0,0.0001
RELAX_FAST,3,0.2500000074505806,1,0.004,0.0,600.0,-6.528786729355537e-78,0.0
RELAX_FAST,3,0.2500000074505806,2,0.005,0.0,650.0,7.2453083701448677e-78,-1.3021243412910755e-78
RELAX_FAST,3,0.2500000074505806,3,0.005,0.01,700.0,8.6439034959163249e-78,0.0001
RELAX_FAST,3,0.2500000074505806,4,0.004,0.01,750.0,0.0,0.0001
RELAX_FAST,4,0.30000000447034836,1,0.004,0.0,600.0,0.0,-1.3414786901325234e-106
RELAX_FAST,4,0.30000000447034836,2,0.005,0.0,650.0,0.0,2.3970182936024055e-94
RELAX_FAST,4,0.30000000447034836,3,0.005,0.01,700.0,1.9176146348819244e-93,0.0001
RELAX_FAST,4,0.30000000447034836,4,0.004,0.01,750.0,-4.0446491392090945e-105,0.0001
RELAX_SLOW,0,0.30000000447034836,1,0.004,0.0,600.0,0.0,-1.3414786901325234e-106
RELAX_SLOW,0,0.30000000447034836,2,0.005,0.0,650.0,0.0,2.3970182936024055e-94
RELAX_SLOW,0,0.30000000447034836,3,0.005,0.01,700.0,1.9176146348819244e-93,0.0001
RELAX_SLOW,0,0.30000000447034836,4,0.004,0.01,750.0,-4.0446491392090945e-105,0.0001
RELAX_SLOW,1,0.5000000074505806,1,0.004,0.0,600.0,-1.6291206264498328e-121,-2.4203699467808239e-122
RELAX_SLOW,1,0.5000000074505806,2,0.005,0.0,650.0,1.8218552220250391e-121,0.0
RELAX_SLOW,1,0.5000000074505806,3,0.005,0.01,700.0,0.0,0.0001
RELAX_SLOW,1,0.5000000074505806,4,0.004,0.01,750.0,0.0,0.0001
RELAX_SLOW,2,0.7000000104308128,1,0.004,0.0,600.0,1.6291206264498332e-121,2.4203699467808239e-122
RELAX_SLOW,2,0.7000000104308128,2,0.005,0.0,650.0,-1.8218552220250387e-121,0.0
RELAX_SLOW,2,0.7000000104308128,3,0.005,0.01,700.0,0.0,0.0001
RELAX_SLOW,2,0.7000000104308128,4,0.004,0.01,750.0,0.0,0.0001
RELAX_SLOW,3,0.9000000283122063,1,0.004,0.0,600.0,-2.1497203544214684e-137,0.0
RELAX_SLOW,3,0.9000000283122063,2,0.005,0.0,650.0,-4.2994407088429368e-137,1.7524873396504764e-150
RELAX_SLOW,3,0.9000000283122063,3,0.005,0.01,700.0,-9.4688704010362701e-149,0.0001
RELAX_SLOW,3,0.9000000283122063,4,0.004,0.01,750.0,8.463964379232849e-149,0.0001
RELAX_SLOW,4,1.1000000163912773,1,0.004,0.0,600.0,0.0,-2.6871504430268355e-138
RELAX_SLOW,4,1.1000000163912773,2,0.005,0.0,650.0,0.0,-6.9909580202907683e-151
RELAX_SLOW,4,1.1000000163912773,3,0.005,0.01,700.0,3.151736940461161e-149,0.0001
RELAX_SLOW,4,1.1000000163912773,4,0.004,0.01,750.0,-2.8209416766979478e-149,0.0001
