case,step,frame,time,point,paired_node,inferred_young_modulus,inferred_poisson_ratio,corner_temperature,gauss_interpolated_temperature,element_average_temperature
elastic_moduli,FIRST,1,0.25,1,1,999999999.9999999,0.19999999999999996,600.0,637.7991532071853,675.0
elastic_moduli,FIRST,1,0.25,2,2,899999999.9999996,0.25000000000000006,650.0,654.465819873852,675.0
elastic_moduli,FIRST,1,0.25,3,4,699999999.9999998,0.35,750.0,712.2008467928146,675.0
elastic_moduli,FIRST,1,0.25,4,3,800000000.0000006,0.2999999999999999,700.0,695.5341801261479,675.0
elastic_moduli,FIRST,2,0.5,1,1,999999999.9999999,0.19999999999999996,600.0,637.7991532071853,675.0
elastic_moduli,FIRST,2,0.5,2,2,899999999.9999996,0.25000000000000006,650.0,654.465819873852,675.0
elastic_moduli,FIRST,2,0.5,3,4,699999999.9999998,0.35,750.0,712.2008467928146,675.0
elastic_moduli,FIRST,2,0.5,4,3,800000000.0000006,0.2999999999999999,700.0,695.5341801261479,675.0
elastic_moduli,FIRST,3,0.75,1,1,999999999.9999999,0.2,600.0,637.7991532071853,675.0
elastic_moduli,FIRST,3,0.75,2,2,899999999.9999999,0.25,650.0,654.465819873852,675.0
elastic_moduli,FIRST,3,0.75,3,4,700000000.0000002,0.35,750.0,712.2008467928146,675.0
elastic_moduli,FIRST,3,0.75,4,3,800000000.0000004,0.2999999999999999,700.0,695.5341801261479,675.0
elastic_moduli,FIRST,4,1.0,1,1,1000000000.0000002,0.19999999999999993,600.0,637.7991532071853,675.0
elastic_moduli,FIRST,4,1.0,2,2,900000000.0000001,0.25,650.0,654.465819873852,675.0
elastic_moduli,FIRST,4,1.0,3,4,699999999.9999993,0.3500000000000001,750.0,712.2008467928146,675.0
elastic_moduli,FIRST,4,1.0,4,3,800000000.0000002,0.29999999999999993,700.0,695.5341801261479,675.0
elastic_moduli,SWAP,1,1.25,1,1,700000000.0000004,0.34999999999999987,750.0,712.2008467928146,675.0
elastic_moduli,SWAP,1,1.25,2,2,799999999.9999998,0.3000000000000001,700.0,695.5341801261479,675.0
elastic_moduli,SWAP,1,1.25,3,4,999999999.9999999,0.19999999999999996,600.0,637.7991532071853,675.0
elastic_moduli,SWAP,1,1.25,4,3,900000000.0000001,0.25,650.0,654.465819873852,675.0
elastic_moduli,SWAP,2,1.5,1,1,699999999.9999994,0.3500000000000001,750.0,712.2008467928146,675.0
elastic_moduli,SWAP,2,1.5,2,2,800000000.0000002,0.29999999999999993,700.0,695.5341801261479,675.0
elastic_moduli,SWAP,2,1.5,3,4,1000000000.0000004,0.19999999999999998,600.0,637.7991532071853,675.0
elastic_moduli,SWAP,2,1.5,4,3,899999999.9999993,0.2500000000000002,650.0,654.465819873852,675.0
elastic_moduli,SWAP,3,1.75,1,1,700000000.0000007,0.3499999999999998,750.0,712.2008467928146,675.0
elastic_moduli,SWAP,3,1.75,2,2,799999999.9999993,0.30000000000000016,700.0,695.5341801261479,675.0
