case,parameter,rule,samples,max_absolute_error,max_relative_error,pass,max_flow_stress_relative_error,minimum_peeq_increment,quantity,integration,inferred_parameter,max_parameter_relative_error,max_parameter_absolute_error,max_relative_error_by_point,relative_tolerance,expected_to_match,rule_matches,accepted
elastic_moduli,young_modulus,corner,32,7.152557373046875e-07,1.0217939104352679e-15,True,,,,,,,,,,,,
elastic_moduli,young_modulus,gauss_interpolated,32,75598306.41437161,0.09747095344220941,False,,,,,,,,,,,,
elastic_moduli,young_modulus,element_average,32,150000000.00000072,0.17647058823529496,False,,,,,,,,,,,,
elastic_moduli,poisson_ratio,corner,32,2.220446049250313e-16,8.881784197001252e-16,True,,,,,,,,,,,,
elastic_moduli,poisson_ratio,gauss_interpolated,32,0.03779915320718552,0.15895411189396647,False,,,,,,,,,,,,
elastic_moduli,poisson_ratio,element_average,32,0.0750000000000001,0.27272727272727304,False,,,,,,,,,,,,
elastic_moduli_finite,young_modulus,corner,32,1.0728836059570312e-06,1.341104507446289e-15,True,,,,,,,,,,,,
elastic_moduli_finite,young_modulus,gauss_interpolated,32,75598306.41437161,0.09747095344220941,False,,,,,,,,,,,,
elastic_moduli_finite,young_modulus,element_average,32,150000000.00000072,0.17647058823529496,False,,,,,,,,,,,,
elastic_moduli_finite,poisson_ratio,corner,32,2.7755575615628914e-16,9.25185853854297e-16,True,,,,,,,,,,,,
elastic_moduli_finite,poisson_ratio,gauss_interpolated,32,0.03779915320718552,0.15895411189396633,False,,,,,,,,,,,,
elastic_moduli_finite,poisson_ratio,element_average,32,0.07500000000000007,0.27272727272727293,False,,,,,,,,,,,,
plastic_yield,yield_stress,corner,40,1.4901161193847656e-08,1.4901161193847656e-14,True,1.4901161193847656e-14,0.0018666666666668878,,,,,,,,,,
plastic_yield,yield_stress,gauss_interpolated,40,755983.0641437238,0.430518425593343,False,0.430518425593343,0.0018666666666668878,,,,,,,,,,
plastic_yield,yield_stress,element_average,40,1500000.000000015,0.600000000000006,False,0.600000000000006,0.0018666666666668878,,,,,,,,,,
plastic_hardening,hardening_modulus,corner,40,6.92903995513916e-07,2.849847078323364e-14,True,7.105991244316087e-15,0.003366583541147338,,,,,,,,,,
plastic_hardening,hardening_modulus,gauss_interpolated,40,15119661.2828747,0.43051842559334996,False,0.20280913193271943,0.003366583541147338,,,,,,,,,,
plastic_hardening,hardening_modulus,element_average,40,30000000.00000057,0.6000000000000114,False,0.3354521814504536,0.003366583541147338,,,,,,,,,,
plastic_yield_finite,yield_stress,corner,40,1.4901161193847656e-08,7.450580596923828e-15,True,7.450580596923828e-15,0.0018454183266934504,,,,,,,,,,
plastic_yield_finite,yield_stress,gauss_interpolated,40,755983.0641437164,0.43051842559333875,False,0.43051842559333875,0.0018454183266934504,,,,,,,,,,
plastic_yield_finite,yield_stress,element_average,40,1500000.0000000075,0.600000000000003,False,0.600000000000003,0.0018454183266934504,,,,,,,,,,
plastic_hardening_finite,hardening_modulus,corner,40,5.066394805908203e-07,1.8067657947540284e-14,True,4.504932292322566e-15,0.003346712899027543,,,,,,,,,,
plastic_hardening_finite,hardening_modulus,gauss_interpolated,40,15119661.282874491,0.430518425593344,False,0.19851748756308674,0.003346712899027543,,,,,,,,,,
plastic_hardening_finite,hardening_modulus,element_average,40,30000000.00000036,0.6000000000000072,False,0.3295138752882697,0.003346712899027543,,,,,,,,,,
creep_coefficient,equivalent_creep_increment,corner,32,4.055555251434445e-11,8.940696825265165e-08,True,,,equivalent_creep_increment,forward_euler,A,8.940696016579386e-08,8.046626359454666e-24,"{'1': 8.940696825265165e-08, '2': 8.940696800164289e-08, '3': 8.940696750525072e-08, '4': 8.940696799409965e-08}",0.001,True,True,True
creep_coefficient,equivalent_creep_increment,gauss_interpolated,32,0.00023028918015548865,2.015955107363929,False,,,equivalent_creep_increment,forward_euler,A,0.6684300779019081,2.0159553741583924e-17,"{'1': 2.015955107363929, '2': 0.06495747519791162, '3': 0.2239950282220098, '4': 0.03760696156395901}",0.001,False,False,True
creep_coefficient,equivalent_creep_increment,element_average,32,0.0004569332110078813,4.000000447034841,False,,,equivalent_creep_increment,forward_euler,A,0.8000001072883672,4.0000005364418365e-17,"{'1': 4.000000447034841, '2': 0.3636364855549565, '3': 0.444444477558136, '4': 0.21052636284577297}",0.001,False,False,True
creep_coefficient,equivalent_creep_increment,corner_wrong_time_level,32,0.00019996623398613395,0.2552589815896087,False,,,equivalent_creep_increment,forward_euler,A,0.3427486539340145,3.0847378854061306e-17,"{'1': 0.03457684106879826, '2': 0.11837456499013957, '3': 0.2552589815896087, '4': 0.19140620036029682}",0.001,False,False,True
creep_coefficient_finite,equivalent_creep_increment,corner,32,3.764344787488341e-11,8.94259407536555e-08,True,,,equivalent_creep_increment,backward_euler,A,8.942593273278762e-08,8.046626593647747e-24,"{'1': 8.94259407536555e-08, '2': 8.941976449147014e-08, '3': 8.940697014383919e-08, '4': 8.94069672376697e-08}",0.001,True,True,True
creep_coefficient_finite,equivalent_creep_increment,gauss_interpolated,32,0.000220521338595789,2.0159551074211493,False,,,equivalent_creep_increment,backward_euler,A,0.668430077908199,2.0159553741583875e-17,"{'1': 2.0159551074211493, '2': 0.06495747521153936, '3': 0.2239950282220095, '4': 0.03760696156395732}",0.001,False,False,True
creep_coefficient_finite,equivalent_creep_increment,element_average,32,0.0004375521388878255,4.000000447129705,False,,,equivalent_creep_increment,backward_euler,A,0.8000001072883662,4.0000005364418315e-17,"{'1': 4.000000447129705, '2': 0.3636364855724063, '3': 0.44444447755813576, '4': 0.21052636284577148}",0.001,False,False,True
creep_coefficient_finite,equivalent_creep_increment,corner_wrong_time_level,32,0.0001638593561679361,0.2605833933641793,False,,,equivalent_creep_increment,backward_euler,A,0.20671650502133607,1.8604485451920247e-17,"{'1': 0.034424548273842455, '2': 0.11845063725154192, '3': 0.2605833933641793, '4': 0.19321422884344908}",0.001,False,False,True
creep_exponent,equivalent_creep_increment,corner,32,2.00381444564416e-11,8.940696998438745e-08,True,,,equivalent_creep_increment,forward_euler,n,2.5651264950516343e-09,5.685428572377305e-09,"{'1': 8.940696998438745e-08, '2': 8.940696143995285e-08, '3': 8.940696969474767e-08, '4': 8.940696633337743e-08}",0.001,True,True,True
creep_exponent,equivalent_creep_increment,gauss_interpolated,32,0.00012319289508186623,0.8209042799129335,False,,,equivalent_creep_increment,forward_euler,n,0.01689122046377143,0.03779915885046359,"{'1': 0.8209042799129335, '2': 0.0733760360552104, '3': 0.45082229701270116, '4': 0.06836001903169248}",0.001,False,False,True
creep_exponent,equivalent_creep_increment,element_average,32,0.0001901748926587441,2.2843864749851823,False,,,equivalent_creep_increment,forward_euler,n,0.032967035447594925,0.07500000564327847,"{'1': 2.2843864749851823, '2': 0.48645382424087635, '3': 0.6955291231958795, '4': 0.3272579252079928}",0.001,False,False,True
creep_exponent,equivalent_creep_increment,corner_wrong_time_level,32,2.684637618514897e-05,0.09804074822259633,False,,,equivalent_creep_increment,forward_euler,n,0.002784868015750744,0.006544439837014249,"{'1': 0.0092377854194622, '2': 0.020670863639637424, '3': 0.09804074822259633, '4': 0.0456562484065908}",0.001,False,False,True
creep_exponent_finite,equivalent_creep_increment,corner,32,1.8592176761903292e-11,8.953388472174678e-08,True,,,equivalent_creep_increment,backward_euler,n,2.566575235169404e-09,5.696974891833406e-09,"{'1': 8.940698097503181e-08, '2': 8.940827582158983e-08, '3': 8.941316110891802e-08, '4': 8.953388472174678e-08}",0.001,True,True,True
creep_exponent_finite,equivalent_creep_increment,gauss_interpolated,32,0.00011104941460487626,0.8204888010987389,False,,,equivalent_creep_increment,backward_euler,n,0.0168912204651957,0.037799158853650816,"{'1': 0.8204888010987389, '2': 0.07334104024273921, '3': 0.4504881770429154, '4': 0.06831811529934546}",0.001,False,False,True
creep_exponent_finite,equivalent_creep_increment,element_average,32,0.00017152709149124556,2.282899695879655,False,,,equivalent_creep_increment,backward_euler,n,0.0329670354489959,0.0750000056464657,"{'1': 2.282899695879655, '2': 0.48618254168930464, '3': 0.6951614648011569, '4': 0.32708851604568934}",0.001,False,False,True
creep_exponent_finite,equivalent_creep_increment,corner_wrong_time_level,32,2.419823491388301e-05,0.09783700458635781,False,,,equivalent_creep_increment,backward_euler,n,0.002512762478493061,0.005904991824458694,"{'1': 0.00918342343881054, '2': 0.020548240776503433, '3': 0.09783700458635781, '4': 0.04541214272473696}",0.001,False,False,True
