ctest	comparison_exit_code
fuelsim_gps_uniform_finite_abaqus	0
fuelsim_gps_nonuniform_finite_abaqus	1
fuelsim_gps_material_temperature_finite_abaqus	1
fuelsim_gps_thermal_small_abaqus	0
fuelsim_gps_thermal_finite_abaqus	1
fuelsim_b61_fuel_plate_c3d8rt_finite_inelastic_abaqus_tests	0
fuelsim_c3d20rt_thermal_probe_abaqus_tests	0
fuelsim_c3d20rt_nonaffine_probe_abaqus_tests	0
fuelsim_b526_hex8_c3d8t_friction_reversal_abaqus_tests	1
fuelsim_b544_hex8_c3d8rt_distorted_bending_abaqus_tests	0
fuelsim_b54_hex8_c3d8t_finite_thermal_load_abaqus_tests	0
fuelsim_b57_hex8_c3d8t_temperature_capacity_abaqus_tests	0
fuelsim_b534_hex8_c3d8rt_finite_transient_abaqus_tests	0
fuelsim_b77_rz_finite_thermal_abaqus_tests	0
fuelsim_b150_cax4t_finite_thermal_operator_abaqus_tests	1
fuelsim_b91_cax4rt_finite_probe_abaqus_tests	1
fuelsim_b910_cax4rt_finite_thermal_abaqus_tests	0
fuelsim_b101_cax8t_finite_probe_abaqus_tests	0
fuelsim_b111_cax8t_finite_thermal_abaqus_tests	0
fuelsim_b121_cax8rt_finite_probe_abaqus_tests	0
fuelsim_b1211_cax8rt_finite_thermal_abaqus_tests	0
fuelsim_b917_cax4rt_finite_thermal_operators_abaqus_tests	1
fuelsim_b13_finite_cax4t_abaqus_tests	1
fuelsim_b13_finite_cax4rt_abaqus_tests	0
fuelsim_b13_finite_cax8t_abaqus_tests	0
fuelsim_b13_finite_cax8rt_abaqus_tests	0
fuelsim_b13_integrated_cax4t_abaqus_tests	0
fuelsim_b13_integrated_cax4rt_abaqus_tests	0
fuelsim_b13_integrated_cax8t_abaqus_tests	0
fuelsim_b13_integrated_cax8rt_abaqus_tests	0
