time,node,temperature,reaction
2.0,1,400.0,32.606719970703125
2.0,2,358.48382568359375,0.0
2.0,3,358.48382568359375,0.0
2.0,4,400.0,32.606719970703125
2.0,5,338.71240234375,0.0
2.0,6,338.71240234375,0.0
2.0,7,329.2562561035156,0.0
2.0,8,329.2562561035156,0.0
2.0,9,325.7798767089844,0.0
2.0,10,325.7798767089844,0.0
4.0,1,400.0,20.630090713500977
4.0,2,373.7329406738281,0.0
4.0,3,373.7329406738281,0.0
4.0,4,400.0,20.630090713500977
4.0,5,357.7931823730469,0.0
4.0,6,357.7931823730469,0.0
4.0,7,348.7155456542969,0.0
4.0,8,348.7155456542969,0.0
4.0,9,344.55133056640625,0.0
4.0,10,344.55133056640625,0.0
6.0,1,400.0,15.193300247192383
6.0,2,380.6553039550781,0.0
6.0,3,380.6553039550781,0.0
6.0,4,400.0,15.193300247192383
6.0,5,368.17608642578125,0.0
6.0,6,368.17608642578125,0.0
6.0,7,360.4065856933594,0.0
6.0,8,360.4065856933594,0.0
6.0,9,356.1760559082031,0.0
6.0,10,356.1760559082031,0.0
8.0,1,400.0,12.125631332397461
8.0,2,384.5611572265625,0.0
8.0,3,384.5611572265625,0.0
8.0,4,400.0,12.125631332397461
8.0,5,374.3055419921875,0.0
8.0,6,374.3055419921875,0.0
8.0,7,367.5154113769531,0.0
8.0,8,367.5154113769531,0.0
8.0,9,363.3121337890625,0.0
8.0,10,363.3121337890625,0.0
10.0,1,400.0,10.267057418823242
10.0,2,386.9275817871094,0.0
10.0,3,386.9275817871094,0.0
10.0,4,400.0,10.267057418823242
10.0,5,378.06402587890625,0.0
10.0,6,378.06402587890625,0.0
10.0,7,371.9136047363281,0.0
10.0,8,371.9136047363281,0.0
10.0,9,367.740478515625,0.0
10.0,10,367.740478515625,0.0
12.0,1,400.0,9.116166114807129
12.0,2,388.3929443359375,0.0
12.0,3,388.3929443359375,0.0
12.0,4,400.0,9.116166114807129
12.0,5,380.3993835449219,0.0
12.0,6,380.3993835449219,0.0
12.0,7,374.6539611816406,0.0
12.0,8,374.6539611816406,0.0
12.0,9,370.502197265625,0.0
12.0,10,370.502197265625,0.0
14.0,1,400.0,8.387750625610352
14.0,2,389.32037353515625,0.0
14.0,3,389.32037353515625,0.0
14.0,4,400.0,8.387750625610352
14.0,5,381.8807373046875,0.0
14.0,6,381.8807373046875,0.0
14.0,7,376.3951416015625,0.0
14.0,8,376.3951416015625,0.0
14.0,9,372.2579040527344,0.0
14.0,10,372.2579040527344,0.0
16.0,1,400.0,7.924247741699219
16.0,2,389.9105224609375,0.0
16.0,3,389.9105224609375,0.0
16.0,4,400.0,7.924247741699219
16.0,5,382.8240661621094,0.0
16.0,6,382.8240661621094,0.0
16.0,7,377.5045471191406,0.0
16.0,8,377.5045471191406,0.0
16.0,9,373.3768005371094,0.0
16.0,10,373.3768005371094,0.0
18.0,1,400.0,7.6284613609313965
18.0,2,390.2871398925781,0.0
18.0,3,390.2871398925781,0.0
18.0,4,400.0,7.6284613609313965
18.0,5,383.4262390136719,0.0
18.0,6,383.4262390136719,0.0
18.0,7,378.21295166015625,0.0
18.0,8,378.21295166015625,0.0
18.0,9,374.0913391113281,0.0
18.0,10,374.0913391113281,0.0
20.0,1,400.0,7.439384460449219
20.0,2,390.52789306640625,0.0
20.0,3,390.52789306640625,0.0
20.0,4,400.0,7.439384460449219
20.0,5,383.8112487792969,0.0
20.0,6,383.8112487792969,0.0
20.0,7,378.66595458984375,0.0
20.0,8,378.66595458984375,0.0
20.0,9,374.5482482910156,0.0
20.0,10,374.5482482910156,0.0
