step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
LOAD_FIXED_T,0,0.0,1,1,0.004211324865405186,0.0021132486540518503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
LOAD_FIXED_T,0,0.0,1,2,0.0047886751345948145,0.0021132486540518503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
LOAD_FIXED_T,0,0.0,1,3,0.004211324865405186,0.00788675134594815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
LOAD_FIXED_T,0,0.0,1,4,0.004788675134594815,0.00788675134594815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
LOAD_FIXED_T,1,0.20000000298023224,1,1,0.004211324865405186,0.0021301546432842653,5306772.908366535,9306772.908366535,5306772.908366535,1.2010293256901144e-38,0.000922709163346614,0.0061227091633466145,0.000922709163346614,1.5613381233971489e-47,-0.000922709163346614,0.0018454183266932282,-0.000922709163346614,8.311505731967052e-48,0.0018454183266934504,nan,nan,nan,nan,nan
LOAD_FIXED_T,1,0.20000000298023224,1,2,0.0047886751345948145,0.0021301546432842653,5640106.241699868,8640106.241699867,5640106.241699868,9.161278196089867e-39,0.0013560424966799472,0.005256042496679948,0.0013560424966799472,1.190966165491683e-47,-0.0013560424966799472,0.002712084993359895,-0.0013560424966799472,1.242308255780527e-47,0.0027120849933601173,nan,nan,nan,nan,nan
LOAD_FIXED_T,1,0.20000000298023224,1,3,0.004211324865405186,0.007949845356715736,6306772.908366535,7306772.908366534,6306772.908366535,3.002573314225286e-39,0.002222709163346614,0.0035227091633466137,0.002222709163346614,3.903345308492871e-48,-0.002222709163346614,0.0044454183266932285,-0.002222709163346614,2.0021541657445675e-47,0.0044454183266934575,nan,nan,nan,nan,nan
LOAD_FIXED_T,1,0.20000000298023224,1,4,0.004788675134594815,0.007949845356715736,5973439.575033202,7973439.575033201,5973439.575033202,6.107518797393245e-39,0.001789375830013281,0.0043893758300132795,0.001789375830013281,7.939774436611219e-48,-0.001789375830013281,0.0035787516600265623,-0.001789375830013281,1.6392969776110885e-47,0.0035787516600267865,nan,nan,nan,nan,nan
LOAD_FIXED_T,2,0.4000000059604645,1,1,0.004211324865405186,0.00214706063251668,11894388.191633994,15894388.191633992,11894388.191633996,-5.109806258887033e-39,0.0035577552766535986,0.008757755276653598,0.0035577552766535973,-6.64274813655314e-48,-0.0035577552766535986,0.007115510553307197,-0.0035577552766535973,-1.8760238478044335e-48,0.0071155105533074175,nan,nan,nan,nan,nan
LOAD_FIXED_T,2,0.4000000059604645,1,2,0.0047886751345948145,0.00214706063251668,12227721.524967326,15227721.524967324,12227721.524967326,-5.557702513032292e-39,0.00399108860998693,0.007891088609986933,0.00399108860998693,-7.225013266941983e-48,-0.00399108860998693,0.007982177219973862,-0.00399108860998693,-2.358605215460297e-48,0.007982177219974088,nan,nan,nan,nan,nan
