step,frame,time,node,r,z,temperature,ur,uz
LOAD_AND_HOLD,0,0.0,1,0.004,0.0,600.0,0.0,0.0
LOAD_AND_HOLD,0,0.0,2,0.005,0.0,600.0,0.0,0.0
LOAD_AND_HOLD,0,0.0,3,0.005,0.01,600.0,0.0,0.0
LOAD_AND_HOLD,0,0.0,4,0.004,0.01,600.0,0.0,0.0
LOAD_AND_HOLD,1,0.10000000149011612,1,0.004,0.0,600.0,7.249829200591823e-34,1.832595714594039e-34
LOAD_AND_HOLD,1,0.10000000149011612,2,0.005,0.0,650.0,-9.062286500739778e-34,1.9735646157166653e-34
LOAD_AND_HOLD,1,0.10000000149011612,3,0.005,0.01,700.0,-9.062286500739777e-34,0.0001
LOAD_AND_HOLD,1,0.10000000149011612,4,0.004,0.01,750.0,7.249829200591821e-34,0.0001
LOAD_AND_HOLD,2,0.20000000298023224,1,0.004,0.0,600.0,-7.393623236171136e-34,-1.8142925597953983e-34
LOAD_AND_HOLD,2,0.20000000298023224,2,0.005,0.0,650.0,9.242122650872347e-34,-1.9538677878677883e-34
LOAD_AND_HOLD,2,0.20000000298023224,3,0.005,0.01,700.0,9.242871496139757e-34,0.0001
LOAD_AND_HOLD,2,0.20000000298023224,4,0.004,0.01,750.0,-7.394372081438545e-34,0.0001
LOAD_AND_HOLD,3,0.30000001192092896,1,0.004,0.0,600.0,0.0,2.1382117680737565e-50
LOAD_AND_HOLD,3,0.30000001192092896,2,0.005,0.0,650.0,0.0,1.282927060844254e-49
LOAD_AND_HOLD,3,0.30000001192092896,3,0.005,0.01,700.0,-1.7105694144590052e-49,9.999999999999999e-05
LOAD_AND_HOLD,3,0.30000001192092896,4,0.004,0.01,750.0,1.7105694144590052e-49,9.999999999999999e-05
LOAD_AND_HOLD,4,0.4000000059604645,1,0.004,0.0,600.0,1.7105694144590052e-49,6.41463530422127e-50
LOAD_AND_HOLD,4,0.4000000059604645,2,0.005,0.0,650.0,-1.7105694144590052e-49,4.276423536147513e-50
LOAD_AND_HOLD,4,0.4000000059604645,3,0.005,0.01,700.0,-1.7105694144590052e-49,0.0001
LOAD_AND_HOLD,4,0.4000000059604645,4,0.004,0.01,750.0,1.7105694144590052e-49,0.0001
LOAD_AND_HOLD,5,0.5,1,0.004,0.0,600.0,-9.923878913248349e-50,-2.458953348678403e-50
LOAD_AND_HOLD,5,0.5,2,0.005,0.0,650.0,1.2405139599710089e-49,-2.6481184800457276e-50
LOAD_AND_HOLD,5,0.5,3,0.005,0.01,700.0,1.2407467264907301e-49,0.0001
LOAD_AND_HOLD,5,0.5,4,0.004,0.01,750.0,-9.926206578445561e-50,0.0001
LOAD_AND_HOLD,6,0.6000000238418579,1,0.004,0.0,600.0,0.0,0.0
LOAD_AND_HOLD,6,0.6000000238418579,2,0.005,0.0,650.0,0.0,0.0
LOAD_AND_HOLD,6,0.6000000238418579,3,0.005,0.01,700.0,0.0,0.0001
LOAD_AND_HOLD,6,0.6000000238418579,4,0.004,0.01,750.0,0.0,0.0001
LOAD_AND_HOLD,7,0.699999988079071,1,0.004,0.0,600.0,0.0,0.0
LOAD_AND_HOLD,7,0.699999988079071,2,0.005,0.0,650.0,0.0,0.0
LOAD_AND_HOLD,7,0.699999988079071,3,0.005,0.01,700.0,0.0,0.0001
LOAD_AND_HOLD,7,0.699999988079071,4,0.004,0.01,750.0,0.0,0.0001
LOAD_AND_HOLD,8,0.800000011920929,1,0.004,0.0,600.0,1.4369538389396116e-107,4.9073560265348006e-108
LOAD_AND_HOLD,8,0.800000011920929,2,0.005,0.0,650.0,-1.7502826379892406e-107,2.3854962715809816e-108
LOAD_AND_HOLD,8,0.800000011920929,3,0.005,0.01,700.0,-1.7933219200705343e-107,0.0001
LOAD_AND_HOLD,8,0.800000011920929,4,0.004,0.01,750.0,1.3979451847534873e-107,0.0001
LOAD_AND_HOLD,9,0.8999999761581421,1,0.004,0.0,600.0,0.0,4.538193650214045e-123
LOAD_AND_HOLD,9,0.8999999761581421,2,0.005,0.0,650.0,0.0,-4.538193650214045e-123
LOAD_AND_HOLD,9,0.8999999761581421,3,0.005,0.01,700.0,0.0,0.0001
LOAD_AND_HOLD,9,0.8999999761581421,4,0.004,0.01,750.0000000000001,0.0,0.0001
LOAD_AND_HOLD,10,1.0,1,0.004,0.0,600.0000000000001,0.0,0.0
LOAD_AND_HOLD,10,1.0,2,0.005,0.0,650.0,0.0,0.0
LOAD_AND_HOLD,10,1.0,3,0.005,0.01,700.0,0.0,0.0001
LOAD_AND_HOLD,10,1.0,4,0.004,0.01,750.0,0.0,0.0001
