time	node	native_reaction_w	fuelsim_reaction_w	total_difference_w	native_reconstruction_error_w	fuelsim_reconstruction_error_w	capacity_rule_difference_w	state_history_difference_w
0.06	1	-0.0001344791472817791	-0.00013446516491090382	1.3982370875281064e-08	1.0132042774224637e-13	-3.295147900199413e-14	0.0	1.398223660337432e-08
0.06	4	-0.0001346802843899312	-0.00013471449469806485	-3.421030813363993e-08	-6.916396708828154e-15	-1.7498166544199778e-13	0.0	-3.421047619890866e-08
0.06	7	-0.0001345798977334558	-0.0001345897968634334	-9.899129977590602e-09	2.604687299179176e-15	-9.973535127112687e-14	0.0	-9.899232317629172e-09
0.06	10	-0.0001347811426550507	-0.00013483926228614334	-5.811963109264855e-08	-1.893214317955083e-13	-1.0541307410294465e-13	0.0	-5.8119547184290856e-08
0.06	15	3369.183642655481	3368.714543924194	-0.46909873128697654	-1.8189894035458565e-12	-1.3642420526593924e-12	-0.4693899655085261	0.0002912342222316511
0.06	18	3369.332096561639	3368.717541188931	-0.614555372707855	-1.8189894035458565e-12	-9.094947017729282e-13	-0.6148213627056975	0.0002659899988941561
0.06	21	3369.258491435602	3368.716048903635	-0.5424425319670263	-3.183231456205249e-12	-1.3642420526593924e-12	-0.5427210824977919	0.00027855053272674013
0.06	24	3369.40446185999	3368.719020723709	-0.6854411362810424	0.0	-1.3642420526593924e-12	-0.6856945576278122	0.0002534213454055134
0.08	1	-0.0003838752530563346	-0.00038377959019674147	9.566285959314736e-08	-7.2037265475694e-14	-5.1831856948819643e-14	0.0	9.566287979855589e-08
0.08	4	-0.0003846839237060548	-0.0003847771423215711	-9.321861551626117e-08	1.45598431314925e-13	4.390764011055759e-14	0.0	-9.321871720705237e-08
0.08	7	-0.0003842801172854155	-0.0003842781585128388	1.9587725767007853e-09	-7.700437509861047e-15	-1.16840402370616e-13	0.0	1.9586634367359246e-09
0.08	10	-0.0003850894766947174	-0.0003852765784826389	-1.8710178792147878e-07	-7.979359360754668e-14	-1.0182360597049689e-13	0.0	-1.8710180995149114e-07
0.08	15	3450.802935320154	3450.20612226262	-0.5968130575342911	-4.092726157978177e-12	-9.094947017729282e-13	-0.5974432576031177	0.0006302000720950218
0.08	18	3451.054253076079	3450.2128014754976	-0.8414516005814221	-2.7284841053187847e-12	4.547473508864641e-13	-0.8420167216363552	0.0005651210582300337
0.08	21	3450.929866514531	3450.209479173011	-0.7203873415201087	-1.8189894035458565e-12	-4.547473508864641e-13	-0.720984810666323	0.0005974691476922089
0.08	24	3451.176102671517	3450.216088987221	-0.9600136842959728	-2.2737367544323206e-12	-4.547473508864641e-13	-0.9605464074043084	0.0005327231102683072
0.1	1	-0.0009095765546284886	-0.0009091739324038833	4.026222246053231e-07	-1.8843834912601887e-13	-9.367832030926504e-15	0.0	4.026224036758402e-07
0.1	4	-0.000912055763903405	-0.0009122155045307467	-1.5974062734169184e-07	8.758586304141724e-14	-4.305898086004456e-14	0.0	-1.5974075798653575e-07
0.1	7	-0.0009108172583819834	-0.0009106938380110175	1.2342037096588643e-07	-2.1543975371046686e-13	-5.485564259777309e-14	0.0	1.2342053154999755e-07
0.1	10	-0.0009132994462880635	-0.0009137391669680585	-4.397206799950379e-07	-2.41869783750015e-13	-3.270224802759403e-14	0.0	-4.397204708275022e-07
0.1	15	3532.542074223963	3531.827509743929	-0.7145644800339142	-2.7284841053187847e-12	-9.094947017729282e-13	-0.7157288000739754	0.0011643200417097432
0.1	18	3532.917698098079	3531.8398345402265	-1.0778635578526519	-4.092726157978177e-12	0.0	-1.0788914205299989	0.0010278626812407765
0.1	21	3532.732052389505	3531.8337089722772	-0.8983434172278066	-1.8189894035458565e-12	-9.094947017729282e-13	-0.8994390596462836	0.001095642419215892
0.1	24	3533.099023491181	3531.845886038174	-1.2531374530071844	-2.7284841053187847e-12	-4.547473508864641e-13	-1.2540973649201987	0.0009599119152312596
0.12	1	-0.001890240954718606	-0.0018889539670603433	1.2869876582627653e-06	3.5300104853086545e-14	-1.0705130358557025e-13	0.0	1.2869875159113569e-06
0.12	4	-0.001896556750688461	-0.0018966581867585531	-1.0143607009210909e-07	-3.3336614718715296e-14	-2.2430841906118104e-14	0.0	-1.0143605918633627e-07
0.12	7	-0.001893400478374377	-0.0018928032116953218	5.972666790551081e-07	-1.0685202722626741e-13	-9.440842205221678e-14	0.0	5.972666914987133e-07
0.12	10	-0.00189972621670332	-0.0019005199692656064	-7.937525622863772e-07	-2.1532363565779367e-13	-1.425452637870972e-13	0.0	-7.937524895080053e-07
0.12	15	3614.404583991641	3613.5806031956604	-0.8239807959807877	-1.8189894035458565e-12	-4.547473508864641e-13	-0.8259189379168674	0.0019381419373303288
0.12	18	3614.924028394872	3613.6008118004656	-1.3232165944064036	-4.092726157978177e-12	4.547473508864641e-13	-1.324904627927026	0.001688033524999355
0.12	21	3614.667597745657	3613.5907746926023	-1.0768230530547953	-3.183231456205249e-12	-4.547473508864641e-13	-1.0786352581285428	0.0018122050763054176
0.12	24	3615.173892232095	3613.6107138129296	-1.5631784191655242	-2.2737367544323206e-12	-9.094947017729282e-13	-1.5647418439439207	0.0015634247796469936
0.14	1	-0.003561005036513218	-0.0035575896294652316	3.415407047986565e-06	2.511103304458917e-13	-2.1065180849655363e-14	0.0	3.4154067758110536e-06
0.14	4	-0.0035750592780699	-0.003574634116734171	4.25161335728709e-07	9.515782259383876e-14	5.017037132959423e-14	0.0	4.2516129074125775e-07
0.14	7	-0.003568033408710878	-0.0035661041764875607	1.929232223317305e-06	8.234862444722602e-14	-3.54530640955808e-13	0.0	1.9292317864380397e-06
0.14	10	-0.003582115223985308	-0.0035831834028859392	-1.0681789006311906e-06	-2.406321669701228e-14	-1.9443995025181238e-13	0.0	-1.0681790710079242e-06
0.14	15	3696.393611668411	3695.467306830951	-0.926304837459611	9.094947017729282e-13	-4.547473508864641e-13	-0.92930061967445	0.0029957822135315837
0.14	18	3697.074961116398	3695.497874827425	-1.5770862889726232	1.3642420526593924e-12	0.0	-1.5796650197430608	0.0025787307688460714
0.14	21	3696.738918347668	3695.482701242842	-1.2562171048261916	0.0	-4.547473508864641e-13	-1.2590028228692063	0.0027857180426735795
0.14	24	3697.401758892351	3695.5128266180295	-1.8889322743216326	1.3642420526593924e-12	-4.547473508864641e-13	-1.891303086671087	0.0023708123476922083
0.16	1	-0.006214692515016402	-0.006206793890234137	7.898624782265093e-06	2.19225679276569e-14	-8.879529056482482e-14	0.0	7.898624671547234e-06
0.16	4	-0.006242883653021552	-0.006240786269568589	2.0973834529633417e-06	-3.086593480805533e-14	8.144093038842115e-14	0.0	2.097383565270207e-06
0.16	7	-0.006228780340813232	-0.006223766259321631	5.014081491601027e-06	2.3667959953010964e-13	5.732393726365359e-14	0.0	5.014081312245365e-06
0.16	10	-0.00625703905800724	-0.006257843354482423	-8.042964751830278e-07	-5.885830017815508e-14	2.30144028834367e-13	0.0	-8.042961861806988e-07
0.16	15	3778.518455219035	3777.4909274634547	-1.027527755580195	-4.547473508864641e-12	-3.183231456205249e-12	-1.031917249750677	0.004389494172016839
0.16	18	3779.380249201255	3777.5344290520143	-1.845820149240808	-4.092726157978177e-12	-1.8189894035458565e-12	-1.8495592310168831	0.0037390817782352315
0.16	21	3778.956107524006	3777.512778357771	-1.4433291662348893	-3.637978807091713e-12	-2.7284841053187847e-12	-1.4473900162465725	0.004060850012706396
0.16	24	3779.783033539195	3777.5553457516953	-2.22768778749969	0.0	-3.183231456205249e-12	-2.2311006632080534	0.003412875705123497
0.18	1	-0.0102020056674017	-0.010185862078704552	1.6143588697148034e-05	1.5931700403370996e-14	-3.694440586787806e-14	0.0	1.6143588644271928e-05
0.18	4	-0.01025293583548356	-0.010247045041616148	5.890793867412494e-06	1.1146639167236572e-13	2.7394753132625738e-14	0.0	5.890793783340856e-06
0.18	7	-0.0102273169192831	-0.010216284600724693	1.1032318558406445e-05	5.623279619726418e-14	-7.829847881168917e-14	0.0	1.103231842387517e-05
0.18	10	-0.01027842972889875	-0.010277684575235682	7.451536630682931e-07	4.8525419793499225e-14	8.774057869143093e-14	0.0	7.45153702283452e-07
0.18	15	3860.897052846318	3859.6833183627423	-1.2137344835755357	-9.094947017729282e-13	-3.183231456205249e-12	-1.2199872760184007	0.006252792440591293
0.18	18	3861.991727723453	3859.7402375837855	-2.251490139667567	-4.547473508864641e-12	-1.8189894035458565e-12	-2.256715954524225	0.005225814859329603
0.18	21	3861.507912729424	3859.7131501916524	-1.7947625377714758	-2.7284841053187847e-12	-3.183231456205249e-12	-1.8004793118989255	0.005716774126938162
0.18	24	3862.299836871104	3859.7614419426554	-2.5383949284487244	-3.637978807091713e-12	-3.637978807091713e-12	-2.543088831235764	0.004693902786982562
0.2	1	-0.01592802469363184	-0.015898040060512666	2.9984633119171933e-05	1.5398446406855726e-13	-9.734574257791451e-14	0.0	2.9984632867841726e-05
0.2	4	-0.01601300883141266	-0.015999813576156596	1.3195255256063382e-05	1.721192632864188e-13	6.266168139923423e-14	0.0	1.31952551466058e-05
0.2	7	-0.01597110052255307	-0.015949610528075007	2.1489994478061936e-05	6.411191022515084e-14	-1.571000274314116e-13	0.0	2.1489994256849998e-05
0.2	10	-0.01605645015687382	-0.01605181298553095	4.637171342868757e-06	2.665020981673649e-13	-7.955441860829637e-15	0.0	4.637171068411217e-06
0.2	15	3943.65203607084	3942.0785121410604	-1.5735239297796397	0.0	-3.637978807091713e-12	-1.5822625553673788	0.00873862558393057
0.2	18	3944.905305246484	3942.1476350503817	-2.757670196102481	-9.094947017729282e-13	-2.2737367544323206e-12	-2.7646740926188613	0.007003896515016095
0.2	21	3944.427630200369	3942.119102937789	-2.3085272625799007	-1.8189894035458565e-12	-3.183231456205249e-12	-2.3164239293155333	0.007896666734382052
0.2	24	3945.215239965375	3942.1736553050428	-3.041584660332319	9.094947017729282e-13	-4.092726157978177e-12	-3.0477583365932333	0.006173676255912142
0.22	1	-0.02385008771100655	-0.023798706247308354	5.1381463698197544e-05	-1.3565537582138631e-14	-9.502815201400949e-14	0.0	5.138146361673493e-05
0.22	4	-0.02398402946800475	-0.02395853136492553	2.549810307922104e-05	-7.027711745877241e-14	-1.149080830487037e-13	0.0	2.5498103034590075e-05
0.22	7	-0.02391829852100048	-0.02388019348736852	3.810503363195841e-05	-1.1744771821753375e-13	-7.20430659573168e-14	0.0	3.8105033677363065e-05
0.22	10	-0.02405283679172097	-0.024040721744208557	1.2115047512414184e-05	-8.196568423990414e-14	1.0198092370572454e-13	0.0	1.2115047696360792e-05
0.22	15	4026.691236685347	4024.660621040627	-2.030615644720001	-2.2737367544323206e-11	-4.092726157978177e-12	-2.042534364876701	0.011918720175458475
0.22	18	4028.076646100337	4024.7455741698795	-3.331071930457256	-2.319211489520967e-11	-2.2737367544323206e-12	-3.3401350340054705	0.009063103569246778
0.22	21	4027.537913900483	4024.710113197485	-2.827800702998047	-2.5920599000528455e-11	-3.637978807091713e-12	-2.838368797658859	0.010568094683094387
0.22	24	4028.459573037436	4024.7792047901144	-3.6803682473214394	-2.2737367544323206e-11	-3.637978807091713e-12	-3.6881031864891156	0.007734939187002965
0.24	1	-0.03447484788746841	-0.0343927910417581	8.205684571030436e-05	3.330252740241235e-13	1.0132866767875726e-13	0.0	8.205684547860775e-05
0.24	4	-0.03467515040860119	-0.034631033528517	4.411688008418985e-05	3.2556596307742325e-13	6.549621955898033e-14	0.0	4.41168798241201e-05
0.24	7	-0.0345759919566247	-0.03451352760910662	6.246434751808194e-05	1.9714785359781217e-13	6.66203203714133e-14	0.0	6.246434738755441e-05
0.24	10	-0.03477717423706395	-0.034752813592506974	2.4360644556978284e-05	2.918429387044341e-13	-6.8209327075408055e-15	0.0	2.4360644258314412e-05
0.24	15	4110.229199008229	4107.578734078943	-2.6504649292864997	-3.637978807091713e-12	-2.7284841053187847e-12	-2.666707945084454	0.016243015798977467
0.24	18	4112.010266385719	4107.719038389067	-4.2912279966521965	-6.366462912410498e-12	-9.094947017729282e-13	-4.302946373898976	0.011718377252577739
0.24	21	4111.230853145291	4107.650204682297	-3.5806484629938495	-5.4569682106375694e-12	-2.7284841053187847e-12	-3.5946979973432462	0.014049534352011506
0.24	24	4112.619652281644	4107.778288478972	-4.8413638026722765	-4.547473508864641e-12	-2.7284841053187847e-12	-4.850923901348324	0.00956009867809371
0.26	1	-0.04835454810634882	-0.04823113291039709	0.00012341519595173572	-1.8137574775423104e-13	-6.097899962753672e-14	0.0	0.00012341519607213247
0.26	4	-0.04864040171978209	-0.048570246175988305	7.015554379378314e-05	-2.541925003818335e-13	4.423544863740858e-14	0.0	7.015554409221109e-05
0.26	7	-0.04849905328374296	-0.04840327607274083	9.577721100213071e-05	-2.6825763832505345e-14	-8.243405957841787e-15	0.0	9.577721102071307e-05
0.26	10	-0.04878614853422165	-0.04874386913003969	4.227940418195797e-05	-5.1382509358433026e-14	1.921726666687107e-13	0.0	4.2279404425513145e-05
0.26	15	4194.032696155161	4190.965549525636	-3.0671466295252685	-9.094947017729282e-13	-3.637978807091713e-12	-3.089742659458807	0.02259602993046883
0.26	18	4197.903327316965	4191.501732661685	-6.4015946552799505	-5.4569682106375694e-12	-1.8189894035458565e-12	-6.417231785912463	0.015637130636264374
0.26	21	4195.957076038664	4191.208587051816	-4.748488986848315	-9.094947017729282e-13	-2.7284841053187847e-12	-4.767662659146481	0.019173672296574296
0.26	24	4199.452908519654	4191.728740714339	-7.7241678053142095	-9.094947017729282e-13	-2.7284841053187847e-12	-7.7364230317575675	0.01225522644119792
0.28	1	-0.0660862087950505	-0.06590989690415279	0.00017631189089771515	-2.2730428650419299e-13	-4.708733403191445e-14	0.0	0.0001763118910779321
0.28	4	-0.06647899480245996	-0.06637476795216479	0.00010422685029516654	-2.23862595127855e-13	1.6507628597395296e-13	0.0	0.00010422685068410542
0.28	7	-0.06628476292597023	-0.06614597744268089	0.00013878548328934148	-1.1099454688690003e-13	2.768618667658984e-14	0.0	0.00013878548342802222
0.28	10	-0.06667918872708864	-0.06661281680424463	6.637192284400517e-05	-1.928596171651975e-13	5.447031714567174e-14	0.0	6.63719230913351e-05
0.28	15	4279.436438006862	4275.172437060662	-4.264000946200213	-2.7284841053187847e-12	1.8189894035458565e-12	-4.296115712286792	0.03211476609078545
0.28	18	4285.088879785372	4276.007061184054	-9.081818601318446	-1.8189894035458565e-12	2.7284841053187847e-12	-9.103583434392021	0.021764833078236734
0.28	21	4282.237265843734	4275.560526344425	-6.676739499309406	-2.7284841053187847e-12	2.7284841053187847e-12	-6.703716842489939	0.02697734318599032
0.28	24	4287.601907358189	4276.393188274011	-11.208719084178483	-1.8189894035458565e-12	1.8189894035458565e-12	-11.225388837200171	0.016669753025098544
0.3	1	-0.08830356883072354	-0.088061899999907	0.000241668830816541	-1.5831780331154732e-13	4.296563105299356e-14	0.0	0.00024166883101782444
0.3	4	-0.08883032361424306	-0.08868345330617271	0.00014687030807035428	-1.741384814124558e-13	4.0148440128007223e-14	0.0	0.0001468703082846412
0.3	7	-0.08856969546538501	-0.08837746133563737	0.00019223412974764265	-7.824296766045791e-14	6.673828156777972e-14	0.0	0.0001922341298926239
0.3	10	-0.08909856768023915	-0.0890015747872316	9.699289300754699e-05	-2.304961776999903e-13	1.0255685189974884e-14	0.0	9.699289324829885e-05
0.3	15	4365.329074010814	4359.774649192101	-5.554424818713414	2.091837814077735e-11	1.8189894035458565e-12	-5.599694653184997	0.04526983445236965
0.3	18	4372.823537149377	4360.936840926644	-11.886696222733008	1.7280399333685637e-11	3.637978807091713e-12	-11.91725847784619	0.030562255099766844
0.3	21	4369.02725969703	4360.321707132172	-8.705552564857499	1.8189894035458565e-11	1.8189894035458565e-12	-8.743479701513024	0.03792713663881386
0.3	24	4376.380866953321	4361.505880069436	-14.874986883884958	2.091837814077735e-11	1.8189894035458565e-12	-14.898245484374002	0.023258600469830526
0.32	1	-0.1156780115927937	-0.11535743189034871	0.00032057970244499245	-1.6719958750854857e-13	-6.76819711387111e-14	0.0	0.00032057970254451007
0.32	4	-0.1163702925362435	-0.11617158888507458	0.00019870365116891886	-4.814204590530835e-14	-5.717648576819556e-15	0.0	0.00019870365121134326
0.32	7	-0.1160274683477685	-0.1157704732097685	0.0002569951379999963	-1.27675647831893e-13	1.0066947275788607e-13	0.0	0.0002569951382283414
0.32	10	-0.1167224490913872	-0.11658791588173367	0.0001345332096535229	-8.881784197001252e-14	1.1315948178491908e-13	0.0	0.0001345332098555002
0.32	15	4451.681646705525	4444.767587386126	-6.9140593193988025	-9.094947017729282e-13	2.7284841053187847e-12	-6.976569803410712	0.06251048401554726
0.32	18	4461.091213701457	4446.2885406965715	-14.802673004885037	-3.637978807091713e-12	3.637978807091713e-12	-14.845112709803743	0.042439704926096056
0.32	21	4456.308692941893	4445.488699041777	-10.81999390011606	-1.8189894035458565e-12	1.8189894035458565e-12	-10.872447059397473	0.05245315928505079
0.32	24	4465.750944485375	4447.061316762438	-18.689627722937075	-1.8189894035458565e-12	1.8189894035458565e-12	-18.722040465656846	0.032412742722954135
0.34	1	-0.1489148915397359	-0.14850051297484293	0.00041437856489295877	-1.0347278589506459e-13	2.3064883336587627e-14	0.0	0.00041437856501949644
0.34	4	-0.1498092487403975	-0.14954875889695685	0.0002604898434406533	-5.256906021600116e-14	-1.2406742300186124e-14	0.0	0.0002604898434808156
0.34	7	-0.1493659114222144	-0.14903177579843577	0.00033413562377862527	-4.5602410736478305e-14	4.030109579389318e-14	0.0	0.0003341356238645288
0.34	10	-0.1502636833022215	-0.15008420040173542	0.00017948290048608317	-6.725175971666886e-14	1.2290168882600483e-13	0.0	0.00017948290067623662
0.34	15	4538.470939000205	4530.147398705756	-8.32354029444923	0.0	1.8189894035458565e-12	-8.40782234947983	0.08428205503253139
0.34	18	4549.880409583408	4532.061141899013	-17.819267684395527	-2.7284841053187847e-12	2.7284841053187847e-12	-17.877070154780995	0.057802470390697636
0.34	21	4544.066309365089	4531.059131830934	-13.007177534154835	-9.094947017729282e-13	1.8189894035458565e-12	-13.078156832792047	0.07097929864005437
0.34	24	4555.692361942713	4533.057654530639	-22.63470741207402	-2.7284841053187847e-12	2.7284841053187847e-12	-22.679221131605573	0.044513719537008
0.36	1	-0.1887515974806294	-0.18822688355325007	0.0005247139273793222	-2.443045765687657e-13	9.270362255620057e-14	0.0	0.0005247139277163304
0.36	4	-0.1898900170592462	-0.18955680565535135	0.0003332114038948619	-1.3375411889171573e-13	-1.8735013540549517e-14	0.0	0.00033321140400988103
0.36	7	-0.1893251109519132	-0.1889001245203294	0.00042498643158381255	-1.913191827185301e-13	1.0619283230539622e-13	0.0	0.00042498643188132457
0.36	10	-0.1904678217475834	-0.1902353216857911	0.0002325000617922901	-1.1632361740510078e-13	-5.417888360170764e-14	0.0	0.00023250006185443484
0.36	15	4625.679444862167	4615.911304969662	-9.768139892505133	-2.7284841053187847e-12	1.8189894035458565e-12	-9.879165902817931	0.11102601031689119
0.36	18	4639.183350204094	4618.254890388773	-20.92845981532082	-4.547473508864641e-12	1.8189894035458565e-12	-21.00550780668027	0.07704799136547535
0.36	21	4632.288276199754	4617.031734935926	-15.256541263828694	-4.547473508864641e-12	9.094947017729282e-13	-15.350467083839703	0.09392582001680694
0.36	24	4646.196316812274	4619.495516095351	-26.70080071692246	-2.7284841053187847e-12	9.094947017729282e-13	-26.760737097143647	0.05993638022528103
0.38	1	-0.2359559586171974	-0.2353023883201019	0.0006535702970955071	-9.567346914707286e-14	-6.275535646693697e-14	0.0	0.0006535702971284252
0.38	4	-0.237386286757752	-0.23696819423479618	0.00041809252295582633	-1.3464229731141586e-13	1.6903145549918008e-14	0.0	0.00041809252310737177
0.38	7	-0.2366758082690038	-0.2361446431806789	0.0005311650883249031	-1.1435297153639112e-13	8.110179194886769e-14	0.0	0.0005311650885203578
0.38	10	-0.2381114960636767	-0.23781706175152917	0.0002944343121475401	-1.5754064719430971e-13	2.5368596112684827e-14	0.0	0.00029443431233044937
0.38	15	4713.294328216264	4702.057589547319	-11.236738668944781	-2.7284841053187847e-12	1.8189894035458565e-12	-11.379919195881484	0.1431805269414781
0.38	18	4728.995467230778	4704.871129629998	-24.124337600779654	0.0	3.637978807091713e-12	-24.22490480852366	0.10056720774730366
0.38	21	4720.966035436555	4703.406273227305	-17.55976220925004	-2.7284841053187847e-12	1.8189894035458565e-12	-17.681469928918887	0.1217077196736227
0.38	24	4737.260566938194	4706.377263133575	-30.883303804618663	-3.637978807091713e-12	1.8189894035458565e-12	-30.96235139585724	0.07904759124426164
0.4	1	-0.2913248972692092	-0.29052166754005304	0.0008032297291561408	-6.228351168147128e-14	5.190292640122607e-14	0.0	0.0008032297292703272
0.4	4	-0.2931012568754136	-0.2925846893547516	0.0005165675206619813	-9.670042544485113e-14	-9.559020242022598e-14	0.0	0.0005165675206630915
0.4	7	-0.2922180452373604	-0.29156350863389063	0.0006545366034697575	-3.3306690738754696e-16	1.965094753586527e-14	0.0	0.0006545366034897415
0.4	10	-0.2940010562229614	-0.2936347618731846	0.00036629434977680786	-1.833533325168446e-13	-2.4424906541753444e-15	0.0	0.0003662943499577187
0.4	15	4801.306239175041	4788.585413525203	-12.720825649837934	-1.2732925824820995e-11	-9.094947017729282e-12	-12.902006144723146	0.1811804948883946
0.4	18	4819.314759775923	4791.912090699248	-27.40266907667501	-1.2732925824820995e-11	-8.185452315956354e-12	-27.53141380001989	0.12874472334965503
0.4	21	4810.093749412301	4790.183373127118	-19.910376285182792	-1.2732925824820995e-11	-9.094947017729282e-12	-20.06511175741116	0.15473547223200512
0.4	24	4828.886850300811	4793.7064837785865	-35.180366522224176	-9.094947017729282e-12	-1.000444171950221e-11	-35.282572779341535	0.10220625711690445
