time	node	native_reaction_w	fuelsim_reaction_w	total_difference_w	native_reconstruction_error_w	fuelsim_reconstruction_error_w	capacity_rule_difference_w	state_history_difference_w
0.02	1	-5.227561952107799e-06	-5.2277186552986125e-06	-1.5670319081341553e-10	2.1238755180019893e-13	9.847488916561427e-14	0.0	-1.5681710347605012e-10
0.02	4	-5.229638588794468e-06	-5.230289566867038e-06	-6.509780725700738e-10	1.788211057026745e-13	1.6210525946618514e-13	0.0	-6.509947884163103e-10
0.02	7	-5.228603991832046e-06	-5.229003996731228e-06	-4.0000489918184576e-10	1.9470912207585674e-13	-1.5138006814871194e-14	0.0	-4.002147463107365e-10
0.02	10	-5.230680736009734e-06	-5.231575162475676e-06	-8.944264659419896e-10	-9.870517709518198e-14	5.4336077670124987e-14	0.0	-8.942734246872243e-10
0.02	15	3206.287584557328	3206.1133121691864	-0.17427238814161683	2.7284841053187847e-12	-9.094947017729282e-13	-0.17429259409345832	2.0205948402463036e-05
0.02	18	3206.306076277572	3206.1134399738917	-0.19263630368050144	-9.094947017729282e-13	0.0	-0.19265567871207168	1.9375032707102946e-05
0.02	21	3206.296862449474	3206.1133761816172	-0.18348626785655142	0.0	-9.094947017729282e-13	-0.18350605771956907	1.9789862051311502e-05
0.02	24	3206.315226197209	3206.113503545737	-0.2017226514722097	-1.3642420526593924e-12	-9.094947017729282e-13	-0.20174161177419592	1.8960302526238593e-05
0.04	1	-3.51708019245511e-05	-3.5170458922010294e-05	3.430025408057073e-10	8.994043167566759e-14	8.814223493875534e-14	0.0	3.430007426089704e-10
0.04	4	-3.520292818796191e-05	-3.521040803021949e-05	-7.479842257584275e-09	1.981864244113632e-13	-8.005047498352638e-14	0.0	-7.48012049448367e-09
0.04	7	-3.518690460170246e-05	-3.519043079257444e-05	-3.5261908719750787e-09	1.3115047513712758e-13	5.923436925420883e-14	0.0	-3.5262627880809617e-09
0.04	10	-3.52190392880171e-05	-3.523039095385136e-05	-1.1351665834260442e-08	1.4535643061376266e-13	5.945873134127755e-15	0.0	-1.1351805244817922e-08
0.04	15	3287.680136898124	3287.35089226107	-0.3292446370542166	-3.183231456205249e-12	-1.3642420526593924e-12	-0.32934736084416727	0.00010272379157072464
0.04	18	3287.74978502836	3287.3518422115158	-0.39794281684407906	0.0	0.0	-0.3980387036585853	9.58868146341274e-05
0.04	21	3287.715176824023	3287.3513687082627	-0.36380811576009364	-1.8189894035458565e-12	-9.094947017729282e-13	-0.3639074092739065	9.929351493553895e-05
0.04	24	3287.783962776004	3287.352312761753	-0.431650014250863	-4.547473508864641e-13	-9.094947017729282e-13	-0.43174249444609814	9.248019460983414e-05
