step,node,temperature,rfl,u1,u2,u3
REFERENCE,97,310,-1.9083333333333393e-19,0,0,0
REFERENCE,98,330,-1.095833333333328e-19,0,0,0
REFERENCE,99,350,-9.2500000000000399e-20,0,0,0
REFERENCE,100,370,-8.3333333333325111e-21,0,0,0
REFERENCE,101,391,325000.00000000081,0,0,0
REFERENCE,102,410,9.0000000000000532e-20,0,0,0
REFERENCE,103,430,1.0708333333333245e-19,0,0,0
REFERENCE,104,450,1.9250000000000066e-19,0,0,0
REFERENCE,105,310,-1.9291666666666735e-19,0,0,0
REFERENCE,106,330,-1.0749999999999956e-19,0,0,0
REFERENCE,107,350,-9.1666666666667383e-20,0,0,0
REFERENCE,108,370,-9.1666666666659784e-21,0,0,0
REFERENCE,109,390,6.6666666666663889e-21,0,0,0
REFERENCE,110,411,325000.00000000064,0,0,0
REFERENCE,111,430,1.0916666666666652e-19,0,0,0
REFERENCE,112,450,1.9041666666666686e-19,0,0,0
REFERENCE,113,310,-1.9250000000000023e-19,0,0,0
REFERENCE,114,330,-1.0833333333333194e-19,0,0,0
REFERENCE,115,350,-9.0833333333333729e-20,0,0,0
REFERENCE,116,370,-9.5833333333317341e-21,0,0,0
REFERENCE,117,390,7.0833333333312524e-21,0,0,0
REFERENCE,118,410,9.2500000000000242e-20,0,0,0
REFERENCE,119,431,324999.99999999994,0,0,0
REFERENCE,120,450,1.9000000000000034e-19,0,0,0
REFERENCE,121,310,-1.916666666666675e-19,0,0,0
REFERENCE,122,330,-1.0916666666666618e-19,0,0,0
REFERENCE,123,350,-9.2916666666666919e-20,0,0,0
REFERENCE,124,370,-7.499999999998797e-21,0,0,0
REFERENCE,125,390,9.1666666666654413e-21,0,0,0
REFERENCE,126,410,9.0416666666666872e-20,0,0,0
REFERENCE,127,430,1.0666666666666612e-19,0,0,0
REFERENCE,128,451,325000.00000000111,0,0,0
REFERENCE,129,311,329766.66666666843,0,0,0
REFERENCE,130,330,-1.0999999999999975e-19,0,0,0
REFERENCE,131,350,-9.2916666666666461e-20,0,0,0
REFERENCE,132,370,-7.4999999999982584e-21,0,0,0
REFERENCE,133,390,9.166666666665041e-21,0,0,0
REFERENCE,134,410,9.0416666666666474e-20,0,0,0
REFERENCE,135,430,1.0749999999999907e-19,0,0,0
REFERENCE,136,450,1.9166666666666829e-19,0,0,0
REFERENCE,137,310,-1.9333333333333399e-19,0,0,0
REFERENCE,138,331,338433.33333333489,0,0,0
REFERENCE,139,350,-9.0833333333333127e-20,0,0,0
REFERENCE,140,370,-9.5833333333314166e-21,0,0,0
REFERENCE,141,390,7.083333333331639e-21,0,0,0
REFERENCE,142,410,9.2499999999999905e-20,0,0,0
REFERENCE,143,430,1.0833333333333206e-19,0,0,0
REFERENCE,144,450,1.90833333333334e-19,0,0,0
REFERENCE,145,310,-1.9291666666666692e-19,0,0,0
REFERENCE,146,330,-1.0749999999999822e-19,0,0,0
REFERENCE,147,351,347100.00000000128,0,0,0
REFERENCE,148,370,-9.999999999998066e-21,0,0,0
REFERENCE,149,390,7.4999999999979093e-21,0,0,0
REFERENCE,150,410,9.1666666666666817e-20,0,0,0
REFERENCE,151,430,1.0916666666666515e-19,0,0,0
REFERENCE,152,450,1.9041666666666657e-19,0,0,0
REFERENCE,153,310,-1.9083333333333405e-19,0,0,0
REFERENCE,154,330,-1.0958333333333323e-19,0,0,0
REFERENCE,155,350,-9.3333333333333968e-20,0,0,0
REFERENCE,156,371,355766.6666666668,0,0,0
REFERENCE,157,390,8.3333333333331942e-21,0,0,0
REFERENCE,158,410,9.0833333333334162e-20,0,0,0
REFERENCE,159,430,1.070833333333327e-19,0,0,0
REFERENCE,160,450,1.9250000000000066e-19,0,0,0
REFERENCE,161,310,-1.9083333333333429e-19,0,0,0
REFERENCE,162,330,-1.0958333333333265e-19,0,0,0
REFERENCE,163,350,-9.2500000000000856e-20,0,0,0
REFERENCE,164,370,-8.3333333333320642e-21,0,0,0
REFERENCE,165,391,364433.33333333454,0,0,0
REFERENCE,166,410,9.0000000000000316e-20,0,0,0
REFERENCE,167,430,1.0708333333333312e-19,0,0,0
REFERENCE,168,450,1.9250000000000129e-19,0,0,0
REFERENCE,169,310,-1.9291666666666723e-19,0,0,0
REFERENCE,170,330,-1.0750000000000027e-19,0,0,0
REFERENCE,171,350,-9.1666666666667142e-20,0,0,0
REFERENCE,172,370,-9.16666666666488e-21,0,0,0
REFERENCE,173,390,6.6666666666657931e-21,0,0,0
REFERENCE,174,411,373099.99999999598,0,0,0
REFERENCE,175,430,1.0916666666666546e-19,0,0,0
REFERENCE,176,450,1.9041666666666729e-19,0,0,0
REFERENCE,177,310,-1.925000000000003e-19,0,0,0
REFERENCE,178,330,-1.0833333333333183e-19,0,0,0
REFERENCE,179,350,-9.0833333333333512e-20,0,0,0
