type	geometry	material	element	node	density_rule	capacity_rule	predicted	actual	relative_error
C3D8T	regular	CONSTANT	1	1	mean_temperature	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	mean_temperature	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	1	1	volume_mean_temperature	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	volume_mean_temperature	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	1	1	mean_density	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	mean_density	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	1	1	volume_mean_density	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	volume_mean_density	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	1	1	current_node	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	current_node	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	1	1	paired_node	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	paired_node	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	1	1	paired_gauss	paired_gauss	374999.9999999999	375000.0000000002	7.771561172376096e-16
C3D8T	regular	CONSTANT	1	1	paired_gauss	row_sum	374999.99999999977	375000.0000000002	1.1102230246251565e-15
C3D8T	regular	CONSTANT	2	2	mean_temperature	paired_gauss	374999.9999999999	375000.00000000006	4.440892098500626e-16
C3D8T	regular	CONSTANT	2	2	mean_temperature	row_sum	374999.99999999977	375000.00000000006	7.771561172376096e-16
C3D8T	regular	CONSTANT	2	2	volume_mean_temperature	paired_gauss	374999.9999999999	375000.00000000006	4.440892098500626e-16
