type	geometry	material	step	element	node	rule	prediction	measured_ratio	relative_error
C3D8T	regular	CONSTANT	DEFORM_A	1	1	global_volume_ratio	1.3838876458333345	1.0145550747152805	0.36403402863240464
C3D8T	regular	CONSTANT	DEFORM_A	1	1	local_volume_ratio	1.364034028632405	1.0145550747152805	0.34446523666071105
C3D8T	regular	CONSTANT	DEFORM_A	1	1	global_over_local	1.0145550747152803	1.0145550747152805	2.220446049250313e-16
C3D8T	regular	CONSTANT	DEFORM_A	1	1	current_rows_over_initial_rows	1.366663273148149	1.0145550747152805	0.3470567613411053
C3D8T	regular	CONSTANT	DEFORM_A	1	1	rows_over_local	1.001927550530671	1.0145550747152805	0.012446366391842378
C3D8T	regular	CONSTANT	DEFORM_A	1	1	rows_over_global	0.9875536336081578	1.0145550747152805	0.026614071310717358
C3D8T	regular	CONSTANT	DEFORM_A	1	1	integrated_density	1.0000000000000002	1.0145550747152805	0.01434626377416226
C3D8T	regular	CONSTANT	DEFORM_A	1	1	rows_over_mean_f_current_density	0.9876204534176176	1.0145550747152805	0.026548210115869386
C3D8T	regular	CONSTANT	DEFORM_A	1	1	rows_over_center_current_density	0.9876204534176176	1.0145550747152805	0.026548210115869386
C3D8T	regular	CONSTANT	DEFORM_A	1	1	fixed_initial_mass_current_density	1.0	1.0145550747152805	0.014346263774162482
C3D8T	regular	CONSTANT	DEFORM_A	1	1	global_volume_ratio_current_density	1.3838876458333345	1.0145550747152805	0.36403402863240464
C3D8T	regular	CONSTANT	DEFORM_A	1	1	local_volume_ratio_current_density	1.364034028632405	1.0145550747152805	0.34446523666071105
C3D8T	regular	CONSTANT	DEFORM_A	1	1	global_over_local_current_density	1.0145550747152803	1.0145550747152805	2.220446049250313e-16
C3D8T	regular	CONSTANT	DEFORM_A	1	1	current_rows_over_initial_rows_current_density	1.366663273148149	1.0145550747152805	0.3470567613411053
C3D8T	regular	CONSTANT	DEFORM_A	1	1	rows_over_local_current_density	1.001927550530671	1.0145550747152805	0.012446366391842378
C3D8T	regular	CONSTANT	DEFORM_A	1	1	rows_over_global_current_density	0.9875536336081578	1.0145550747152805	0.026614071310717358
C3D8T	regular	CONSTANT	DEFORM_A	1	1	integrated_density_current_density	1.0000000000000002	1.0145550747152805	0.01434626377416226
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_mean_f	0.9876204534176176	1.0145550747152805	0.026548210115869386
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_center	0.9876204534176176	1.0145550747152805	0.026548210115869386
C3D8T	regular	CONSTANT	HOLD_A	1	1	fixed_initial_mass	1.0	1.0145550747152805	0.014346263774162482
C3D8T	regular	CONSTANT	HOLD_A	1	1	global_volume_ratio	1.3838876458333345	1.0145550747152805	0.36403402863240464
C3D8T	regular	CONSTANT	HOLD_A	1	1	local_volume_ratio	1.364034028632405	1.0145550747152805	0.34446523666071105
C3D8T	regular	CONSTANT	HOLD_A	1	1	global_over_local	1.0145550747152803	1.0145550747152805	2.220446049250313e-16
C3D8T	regular	CONSTANT	HOLD_A	1	1	current_rows_over_initial_rows	1.366663273148149	1.0145550747152805	0.3470567613411053
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_local	1.001927550530671	1.0145550747152805	0.012446366391842378
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_global	0.9875536336081578	1.0145550747152805	0.026614071310717358
C3D8T	regular	CONSTANT	HOLD_A	1	1	integrated_density	1.0000000000000002	1.0145550747152805	0.01434626377416226
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_mean_f_current_density	0.9876204534176176	1.0145550747152805	0.026548210115869386
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_center_current_density	0.9876204534176176	1.0145550747152805	0.026548210115869386
C3D8T	regular	CONSTANT	HOLD_A	1	1	fixed_initial_mass_current_density	1.0	1.0145550747152805	0.014346263774162482
C3D8T	regular	CONSTANT	HOLD_A	1	1	global_volume_ratio_current_density	1.3838876458333345	1.0145550747152805	0.36403402863240464
C3D8T	regular	CONSTANT	HOLD_A	1	1	local_volume_ratio_current_density	1.364034028632405	1.0145550747152805	0.34446523666071105
C3D8T	regular	CONSTANT	HOLD_A	1	1	global_over_local_current_density	1.0145550747152803	1.0145550747152805	2.220446049250313e-16
C3D8T	regular	CONSTANT	HOLD_A	1	1	current_rows_over_initial_rows_current_density	1.366663273148149	1.0145550747152805	0.3470567613411053
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_local_current_density	1.001927550530671	1.0145550747152805	0.012446366391842378
C3D8T	regular	CONSTANT	HOLD_A	1	1	rows_over_global_current_density	0.9875536336081578	1.0145550747152805	0.026614071310717358
C3D8T	regular	CONSTANT	HOLD_A	1	1	integrated_density_current_density	1.0000000000000002	1.0145550747152805	0.01434626377416226
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_mean_f	0.947140155565401	1.100713041769179	0.13952127427957062
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_center	0.9471401555654013	1.100713041769179	0.13952127427957028
C3D8T	regular	CONSTANT	DEFORM_B	1	1	fixed_initial_mass	1.0	1.100713041769179	0.09149799988496798
C3D8T	regular	CONSTANT	DEFORM_B	1	1	global_volume_ratio	1.2098776666666675	1.100713041769179	0.09917628006117551
C3D8T	regular	CONSTANT	DEFORM_B	1	1	local_volume_ratio	1.0991762800611762	1.100713041769179	0.0013961510854207937
C3D8T	regular	CONSTANT	DEFORM_B	1	1	global_over_local	1.1007130417691784	1.100713041769179	5.551115123125783e-16
C3D8T	regular	CONSTANT	DEFORM_B	1	1	current_rows_over_initial_rows	1.1451237037037043	1.100713041769179	0.040347175193948814
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_local	1.0418016877510956	1.100713041769179	0.053521082954913535
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_global	0.946478917045087	1.100713041769179	0.14012201079782893
C3D8T	regular	CONSTANT	DEFORM_B	1	1	integrated_density	1.0000000000000002	1.100713041769179	0.09149799988496776
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_mean_f_current_density	0.947140155565401	1.100713041769179	0.13952127427957062
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_center_current_density	0.9471401555654013	1.100713041769179	0.13952127427957028
C3D8T	regular	CONSTANT	DEFORM_B	1	1	fixed_initial_mass_current_density	1.0	1.100713041769179	0.09149799988496798
C3D8T	regular	CONSTANT	DEFORM_B	1	1	global_volume_ratio_current_density	1.2098776666666675	1.100713041769179	0.09917628006117551
