type	samples	maximum_relative_error	maximum_absolute_error_w
C3D8T	240	5.67323965583455e-14	5.4016709327697754e-08
C3D8RT	240	8.459899447643693e-14	8.12578946352005e-08
CAX4T	120	6.228351168147128e-14	1.1883676052093506e-06
CAX4RT	120	4.6407322429331543e-14	7.562339305877686e-07
