step,element,point,temperature,ivol
REFERENCE,1,1,301,0.062500000000000028
REFERENCE,1,2,300,0.0625
REFERENCE,1,3,300,0.062500000000000042
REFERENCE,1,4,300,0.062500000000000056
REFERENCE,1,5,300,0.062500000000000014
REFERENCE,1,6,300,0.0625
REFERENCE,1,7,300,0.062500000000000014
REFERENCE,1,8,300,0.062500000000000042
REFERENCE,2,1,300,0.062500000000000042
REFERENCE,2,2,301,0.062500000000000014
REFERENCE,2,3,300,0.062500000000000028
REFERENCE,2,4,300,0.062500000000000028
REFERENCE,2,5,300,0.062500000000000028
REFERENCE,2,6,300,0.062500000000000014
REFERENCE,2,7,300,0.0625
REFERENCE,2,8,300,0.062500000000000014
REFERENCE,3,1,300,0.062500000000000056
REFERENCE,3,2,300,0.062499999999999931
REFERENCE,3,3,300,0.062500000000000083
REFERENCE,3,4,301,0.062500000000000069
REFERENCE,3,5,300,0.062500000000000042
REFERENCE,3,6,300,0.062499999999999931
REFERENCE,3,7,300,0.062500000000000056
REFERENCE,3,8,300,0.062500000000000056
REFERENCE,4,1,300,0.062500000000000097
REFERENCE,4,2,300,0.062500000000000028
REFERENCE,4,3,301,0.062500000000000083
REFERENCE,4,4,300,0.06250000000000018
REFERENCE,4,5,300,0.062500000000000083
REFERENCE,4,6,300,0.062500000000000028
REFERENCE,4,7,300,0.062500000000000056
REFERENCE,4,8,300,0.062500000000000167
REFERENCE,5,1,300,0.062499999999999958
REFERENCE,5,2,300,0.0625
REFERENCE,5,3,300,0.062500000000000139
REFERENCE,5,4,300,0.062499999999999958
REFERENCE,5,5,301,0.062499999999999944
REFERENCE,5,6,300,0.0625
REFERENCE,5,7,300,0.062500000000000111
REFERENCE,5,8,300,0.062499999999999944
REFERENCE,6,1,300,0.062500000000000069
REFERENCE,6,2,300,0.062499999999999771
REFERENCE,6,3,300,0.062499999999999917
REFERENCE,6,4,300,0.062499999999999958
REFERENCE,6,5,300,0.062500000000000056
REFERENCE,6,6,301,0.062499999999999771
REFERENCE,6,7,300,0.062499999999999889
REFERENCE,6,8,300,0.062499999999999944
REFERENCE,7,1,300,0.062499999999999931
REFERENCE,7,2,300,0.062500000000000083
REFERENCE,7,3,300,0.062500000000000028
REFERENCE,7,4,300,0.062499999999999847
REFERENCE,7,5,300,0.062499999999999917
REFERENCE,7,6,300,0.062500000000000083
REFERENCE,7,7,300,0.0625
REFERENCE,7,8,301,0.062499999999999833
REFERENCE,8,1,300,0.062500000000000125
REFERENCE,8,2,300,0.062500000000000069
REFERENCE,8,3,300,0.062500000000000028
REFERENCE,8,4,300,0.062500000000000069
REFERENCE,8,5,300,0.062500000000000111
REFERENCE,8,6,300,0.062500000000000069
REFERENCE,8,7,301,0.0625
REFERENCE,8,8,300,0.062500000000000056
REFERENCE,9,1,311,0.062500000000000125
REFERENCE,9,2,330,0.062500000000000056
REFERENCE,9,3,370,0.062500000000000028
REFERENCE,9,4,350,0.062500000000000069
REFERENCE,9,5,390,0.062500000000000111
REFERENCE,9,6,410,0.062500000000000056
REFERENCE,9,7,450,0.0625
REFERENCE,9,8,430,0.062500000000000056
REFERENCE,10,1,310,0.062499999999999903
REFERENCE,10,2,331,0.06249999999999982
REFERENCE,10,3,370,0.062499999999999806
REFERENCE,10,4,350,0.062499999999999847
REFERENCE,10,5,390,0.062499999999999889
REFERENCE,10,6,410,0.06249999999999982
REFERENCE,10,7,450,0.062499999999999778
REFERENCE,10,8,430,0.062499999999999833
REFERENCE,11,1,310,0.062500000000000069
REFERENCE,11,2,330,0.062499999999999584
REFERENCE,11,3,370,0.062500000000000028
REFERENCE,11,4,351,0.062500000000000069
REFERENCE,11,5,390,0.062500000000000056
REFERENCE,11,6,410,0.062499999999999584
REFERENCE,11,7,450,0.0625
REFERENCE,11,8,430,0.062500000000000056
REFERENCE,12,1,310,0.062500000000000291
REFERENCE,12,2,330,0.062499999999999778
REFERENCE,12,3,371,0.06250000000000025
REFERENCE,12,4,350,0.062500000000000291
REFERENCE,12,5,390,0.062500000000000278
REFERENCE,12,6,410,0.062499999999999778
REFERENCE,12,7,450,0.062500000000000222
REFERENCE,12,8,430,0.062500000000000278
REFERENCE,13,1,310,0.06250000000000018
REFERENCE,13,2,330,0.062499999999999931
REFERENCE,13,3,370,0.062500000000000028
REFERENCE,13,4,350,0.062500000000000236
REFERENCE,13,5,391,0.062500000000000167
REFERENCE,13,6,410,0.062499999999999931
REFERENCE,13,7,450,0.0625
REFERENCE,13,8,430,0.062500000000000222
REFERENCE,14,1,310,0.062499999999999681
REFERENCE,14,2,330,0.062500000000000139
REFERENCE,14,3,370,0.06250000000000025
REFERENCE,14,4,350,0.062499999999999792
REFERENCE,14,5,390,0.062499999999999667
REFERENCE,14,6,411,0.062500000000000139
REFERENCE,14,7,450,0.062500000000000222
REFERENCE,14,8,430,0.062499999999999778
REFERENCE,15,1,310,0.062500000000000569
REFERENCE,15,2,330,0.062500000000000333
REFERENCE,15,3,370,0.062500000000000472
REFERENCE,15,4,350,0.062500000000000014
REFERENCE,15,5,390,0.062500000000000555
REFERENCE,15,6,410,0.062500000000000333
REFERENCE,15,7,450,0.062500000000000444
REFERENCE,15,8,431,0.0625
REFERENCE,16,1,310,0.062500000000000125
REFERENCE,16,2,330,0.062500000000000111
REFERENCE,16,3,370,0.06250000000000025
REFERENCE,16,4,350,0.062500000000000236
REFERENCE,16,5,390,0.062500000000000111
REFERENCE,16,6,410,0.062500000000000111
REFERENCE,16,7,451,0.062500000000000222
REFERENCE,16,8,430,0.062500000000000222
REFERENCE,17,1,311,0.062500000000000347
REFERENCE,17,2,330,0.062500000000000083
REFERENCE,17,3,370,0.06250000000000025
REFERENCE,17,4,350,0.06250000000000068
REFERENCE,17,5,390,0.062500000000000333
REFERENCE,17,6,410,0.062500000000000083
REFERENCE,17,7,450,0.062500000000000222
REFERENCE,17,8,430,0.062500000000000666
REFERENCE,18,1,310,0.062500000000000347
REFERENCE,18,2,331,0.062500000000000305
REFERENCE,18,3,370,0.062500000000000472
REFERENCE,18,4,350,0.062500000000000458
REFERENCE,18,5,390,0.062500000000000333
REFERENCE,18,6,410,0.062500000000000305
REFERENCE,18,7,450,0.062500000000000444
REFERENCE,18,8,430,0.062500000000000444
REFERENCE,19,1,310,0.06250000000000068
REFERENCE,19,2,330,0.0625000000000005
REFERENCE,19,3,370,0.062500000000000472
REFERENCE,19,4,351,0.062500000000000236
REFERENCE,19,5,390,0.062500000000000666
REFERENCE,19,6,410,0.0625000000000005
REFERENCE,19,7,450,0.062500000000000444
REFERENCE,19,8,430,0.062500000000000222
REFERENCE,20,1,310,0.062499999999999792
REFERENCE,20,2,330,0.062499999999999833
REFERENCE,20,3,371,0.062500000000000028
REFERENCE,20,4,350,0.062500000000000014
REFERENCE,20,5,390,0.062499999999999778
REFERENCE,20,6,410,0.062499999999999833
REFERENCE,20,7,450,0.0625
REFERENCE,20,8,430,0.0625
REFERENCE,21,1,310,0.062500000000000236
REFERENCE,21,2,330,0.062500000000000028
REFERENCE,21,3,370,0.062500000000000472
REFERENCE,21,4,350,0.062499999999999792
REFERENCE,21,5,391,0.062500000000000222
REFERENCE,21,6,410,0.062500000000000028
REFERENCE,21,7,450,0.062500000000000444
REFERENCE,21,8,430,0.062499999999999778
REFERENCE,22,1,310,0.062500000000000236
REFERENCE,22,2,330,0.062499999999999334
REFERENCE,22,3,370,0.062500000000000472
REFERENCE,22,4,350,0.062500000000000458
REFERENCE,22,5,390,0.062500000000000222
REFERENCE,22,6,411,0.062499999999999334
REFERENCE,22,7,450,0.062500000000000444
REFERENCE,22,8,430,0.062500000000000444
REFERENCE,23,1,310,0.062500000000000236
REFERENCE,23,2,330,0.062500000000000444
REFERENCE,23,3,370,0.062500000000000472
REFERENCE,23,4,350,0.062500000000000236
REFERENCE,23,5,390,0.062500000000000222
REFERENCE,23,6,410,0.062500000000000444
REFERENCE,23,7,450,0.062500000000000444
REFERENCE,23,8,431,0.062500000000000222
REFERENCE,24,1,310,0.062500000000000236
REFERENCE,24,2,330,0.062499999999999306
REFERENCE,24,3,370,0.062500000000000028
REFERENCE,24,4,350,0.062500000000000458
REFERENCE,24,5,390,0.062500000000000222
REFERENCE,24,6,410,0.062499999999999306
REFERENCE,24,7,451,0.0625
REFERENCE,24,8,430,0.062500000000000444
REFERENCE,25,1,301,0.15233523564835968
REFERENCE,25,2,300,0.15730243156300525
REFERENCE,25,3,300,0.157782507199446
REFERENCE,25,4,300,0.13523398686603086
REFERENCE,25,5,300,0.17779552702285648
REFERENCE,25,6,300,0.18759422891166269
REFERENCE,25,7,300,0.18090763788143707
REFERENCE,25,8,300,0.16325677824052715
REFERENCE,26,1,300,0.15233523564835968
REFERENCE,26,2,301,0.15730243156300572
REFERENCE,26,3,300,0.15778250719944703
REFERENCE,26,4,300,0.13523398686603558
REFERENCE,26,5,300,0.17779552702285656
REFERENCE,26,6,300,0.18759422891166339
REFERENCE,26,7,300,0.18090763788143824
REFERENCE,26,8,300,0.16325677824053256
REFERENCE,27,1,300,0.15233523564835941
REFERENCE,27,2,300,0.15730243156300622
REFERENCE,27,3,300,0.15778250719944811
REFERENCE,27,4,301,0.13523398686603497
REFERENCE,27,5,300,0.17779552702285628
REFERENCE,27,6,300,0.18759422891166402
REFERENCE,27,7,300,0.18090763788143929
REFERENCE,27,8,300,0.16325677824053186
REFERENCE,28,1,300,0.15233523564836049
REFERENCE,28,2,300,0.15730243156300885
REFERENCE,28,3,301,0.15778250719944698
REFERENCE,28,4,300,0.13523398686603649
