step,element,point,temperature,ivol
REFERENCE,28,5,300,0.17779552702285747
REFERENCE,28,6,300,0.1875942289116671
REFERENCE,28,7,300,0.18090763788143824
REFERENCE,28,8,300,0.16325677824053381
REFERENCE,29,1,300,0.15233523564835838
REFERENCE,29,2,300,0.15730243156300511
REFERENCE,29,3,300,0.15778250719944706
REFERENCE,29,4,300,0.13523398686603397
REFERENCE,29,5,301,0.17779552702285506
REFERENCE,29,6,300,0.18759422891166264
REFERENCE,29,7,300,0.18090763788143815
REFERENCE,29,8,300,0.16325677824053073
REFERENCE,30,1,300,0.15233523564836043
REFERENCE,30,2,300,0.15730243156300869
REFERENCE,30,3,300,0.15778250719944706
REFERENCE,30,4,300,0.13523398686603558
REFERENCE,30,5,300,0.17779552702285745
REFERENCE,30,6,301,0.18759422891166694
REFERENCE,30,7,300,0.18090763788143815
REFERENCE,30,8,300,0.16325677824053267
REFERENCE,31,1,300,0.15233523564835832
REFERENCE,31,2,300,0.15730243156300702
REFERENCE,31,3,300,0.1577825071994492
REFERENCE,31,4,300,0.13523398686603508
REFERENCE,31,5,300,0.17779552702285506
REFERENCE,31,6,300,0.18759422891166488
REFERENCE,31,7,300,0.18090763788144054
REFERENCE,31,8,301,0.16325677824053211
REFERENCE,32,1,300,0.15233523564836021
REFERENCE,32,2,300,0.15730243156300758
REFERENCE,32,3,300,0.15778250719944598
REFERENCE,32,4,300,0.13523398686603416
REFERENCE,32,5,300,0.17779552702285706
REFERENCE,32,6,300,0.18759422891166558
REFERENCE,32,7,301,0.18090763788143707
REFERENCE,32,8,300,0.16325677824053103
REFERENCE,33,1,311,0.15233523564835602
REFERENCE,33,2,330,0.15730243156300816
REFERENCE,33,3,370,0.15778250719944714
REFERENCE,33,4,350,0.13523398686603164
REFERENCE,33,5,390,0.17779552702285234
REFERENCE,33,6,410,0.18759422891166613
REFERENCE,33,7,450,0.18090763788143815
REFERENCE,33,8,430,0.16325677824052795
REFERENCE,34,1,310,0.15233523564836021
REFERENCE,34,2,331,0.15730243156300761
REFERENCE,34,3,370,0.15778250719944595
REFERENCE,34,4,350,0.13523398686603633
REFERENCE,34,5,390,0.17779552702285709
REFERENCE,34,6,410,0.18759422891166561
REFERENCE,34,7,450,0.18090763788143724
REFERENCE,34,8,430,0.16325677824053358
REFERENCE,35,1,310,0.15233523564836007
REFERENCE,35,2,330,0.15730243156300586
REFERENCE,35,3,370,0.15778250719945025
REFERENCE,35,4,351,0.13523398686603583
REFERENCE,35,5,390,0.1777955270228572
REFERENCE,35,6,410,0.18759422891166358
REFERENCE,35,7,450,0.18090763788144162
REFERENCE,35,8,430,0.16325677824053297
REFERENCE,36,1,310,0.15233523564836024
REFERENCE,36,2,330,0.15730243156300633
REFERENCE,36,3,371,0.157782507199448
REFERENCE,36,4,350,0.13523398686603327
REFERENCE,36,5,390,0.17779552702285714
REFERENCE,36,6,410,0.18759422891166408
REFERENCE,36,7,450,0.18090763788143929
REFERENCE,36,8,430,0.16325677824052992
REFERENCE,37,1,310,0.15233523564835957
REFERENCE,37,2,330,0.15730243156300475
REFERENCE,37,3,370,0.1577825071994482
REFERENCE,37,4,350,0.1352339868660328
REFERENCE,37,5,391,0.17779552702285656
REFERENCE,37,6,410,0.18759422891166219
REFERENCE,37,7,450,0.18090763788143929
REFERENCE,37,8,430,0.16325677824052939
REFERENCE,38,1,310,0.1523352356483601
REFERENCE,38,2,330,0.15730243156300941
REFERENCE,38,3,370,0.15778250719944817
REFERENCE,38,4,350,0.13523398686603627
REFERENCE,38,5,390,0.17779552702285714
REFERENCE,38,6,411,0.18759422891166763
REFERENCE,38,7,450,0.18090763788143929
REFERENCE,38,8,430,0.16325677824053378
REFERENCE,39,1,310,0.15233523564835755
REFERENCE,39,2,330,0.15730243156300788
REFERENCE,39,3,370,0.15778250719945017
REFERENCE,39,4,350,0.13523398686603574
REFERENCE,39,5,390,0.17779552702285417
REFERENCE,39,6,410,0.1875942289116658
REFERENCE,39,7,450,0.18090763788144162
REFERENCE,39,8,431,0.16325677824053297
REFERENCE,40,1,310,0.15233523564835766
REFERENCE,40,2,330,0.15730243156300838
REFERENCE,40,3,370,0.15778250719944795
REFERENCE,40,4,350,0.13523398686603114
REFERENCE,40,5,390,0.17779552702285417
REFERENCE,40,6,410,0.18759422891166641
REFERENCE,40,7,451,0.18090763788143929
REFERENCE,40,8,430,0.16325677824052748
REFERENCE,41,1,311,0.15233523564835971
REFERENCE,41,2,330,0.15730243156300897
REFERENCE,41,3,370,0.15778250719944589
REFERENCE,41,4,350,0.1352339868660325
REFERENCE,41,5,390,0.17779552702285656
REFERENCE,41,6,410,0.18759422891166702
REFERENCE,41,7,450,0.18090763788143693
REFERENCE,41,8,430,0.16325677824052939
REFERENCE,42,1,310,0.15233523564835755
REFERENCE,42,2,331,0.15730243156300935
REFERENCE,42,3,370,0.15778250719944811
REFERENCE,42,4,350,0.13523398686603408
REFERENCE,42,5,390,0.17779552702285417
REFERENCE,42,6,410,0.18759422891166758
REFERENCE,42,7,450,0.18090763788143929
REFERENCE,42,8,430,0.16325677824053106
REFERENCE,43,1,310,0.15233523564835974
REFERENCE,43,2,330,0.15730243156300985
REFERENCE,43,3,370,0.15778250719944797
REFERENCE,43,4,351,0.13523398686603755
REFERENCE,43,5,390,0.17779552702285645
REFERENCE,43,6,410,0.18759422891166802
REFERENCE,43,7,450,0.1809076378814396
REFERENCE,43,8,430,0.1632567782405355
REFERENCE,44,1,310,0.15233523564835974
REFERENCE,44,2,330,0.15730243156301038
REFERENCE,44,3,371,0.15778250719944589
REFERENCE,44,4,350,0.1352339868660371
REFERENCE,44,5,390,0.17779552702285645
REFERENCE,44,6,410,0.1875942289116686
REFERENCE,44,7,450,0.18090763788143724
REFERENCE,44,8,430,0.16325677824053497
REFERENCE,45,1,310,0.15233523564835974
REFERENCE,45,2,330,0.15730243156300891
REFERENCE,45,3,370,0.15778250719944384
REFERENCE,45,4,350,0.13523398686603216
REFERENCE,45,5,391,0.17779552702285645
REFERENCE,45,6,410,0.18759422891166672
REFERENCE,45,7,450,0.18090763788143485
REFERENCE,45,8,430,0.16325677824052945
REFERENCE,46,1,310,0.15233523564835549
REFERENCE,46,2,330,0.15730243156300924
REFERENCE,46,3,370,0.15778250719944606
REFERENCE,46,4,350,0.13523398686603177
REFERENCE,46,5,390,0.1777955270228517
REFERENCE,46,6,411,0.18759422891166713
REFERENCE,46,7,450,0.18090763788143724
REFERENCE,46,8,430,0.16325677824052889
REFERENCE,47,1,310,0.15233523564835755
REFERENCE,47,2,330,0.15730243156300963
REFERENCE,47,3,370,0.15778250719944609
REFERENCE,47,4,350,0.13523398686603574
REFERENCE,47,5,390,0.17779552702285403
REFERENCE,47,6,410,0.18759422891166794
REFERENCE,47,7,450,0.18090763788143741
REFERENCE,47,8,431,0.16325677824053303
REFERENCE,48,1,310,0.15233523564836177
REFERENCE,48,2,330,0.15730243156300383
REFERENCE,48,3,370,0.15778250719944589
REFERENCE,48,4,350,0.13523398686603527
REFERENCE,48,5,390,0.17779552702285889
REFERENCE,48,6,410,0.18759422891166103
REFERENCE,48,7,451,0.18090763788143724
REFERENCE,48,8,430,0.16325677824053247
REFERENCE,49,1,300.125,0.5
REFERENCE,50,1,300.125,0.5
REFERENCE,51,1,300.125,0.5
REFERENCE,52,1,300.125,0.5
REFERENCE,53,1,300.125,0.5
REFERENCE,54,1,300.125,0.5
REFERENCE,55,1,300.125,0.5
REFERENCE,56,1,300.125,0.5
REFERENCE,57,1,380.125,0.5
REFERENCE,58,1,380.125,0.5
REFERENCE,59,1,380.125,0.5
REFERENCE,60,1,380.125,0.5
REFERENCE,61,1,380.125,0.5
REFERENCE,62,1,380.125,0.5
REFERENCE,63,1,380.125,0.5
REFERENCE,64,1,380.125,0.5
REFERENCE,65,1,380.125,0.5
REFERENCE,66,1,380.125,0.5
REFERENCE,67,1,380.125,0.5
REFERENCE,68,1,380.125,0.5
REFERENCE,69,1,380.125,0.5
REFERENCE,70,1,380.125,0.5
REFERENCE,71,1,380.125,0.5
REFERENCE,72,1,380.125,0.5
REFERENCE,73,1,300.121017192529,1.3122083333333534
REFERENCE,74,1,300.12109481118853,1.3122083333333534
REFERENCE,75,1,300.11373118188112,1.3122083333333534
REFERENCE,76,1,300.12063968359405,1.3122083333333534
REFERENCE,77,1,300.13245271435574,1.3122083333333534
REFERENCE,78,1,300.13376120618989,1.3122083333333534
REFERENCE,79,1,300.12581764201161,1.3122083333333534
REFERENCE,80,1,300.13148556821739,1.3122083333333534
REFERENCE,81,1,381.80897606875078,1.3122083333333534
REFERENCE,82,1,381.80905368741031,1.3122083333333534
REFERENCE,83,1,381.80169005810291,1.3122083333333534
REFERENCE,84,1,381.80859855981578,1.3122083333333534
REFERENCE,85,1,381.82041159057997,1.3122083333333541
REFERENCE,86,1,381.82172008243242,1.3122083333332728
REFERENCE,87,1,381.81377651825409,1.3122083333332728
REFERENCE,88,1,381.81944444445992,1.3122083333332728
REFERENCE,89,1,381.80897606877147,1.3122083333332728
REFERENCE,90,1,381.80905368743106,1.3122083333332728
REFERENCE,91,1,381.80169005812365,1.3122083333332728
REFERENCE,92,1,381.80859855983647,1.3122083333332728
REFERENCE,93,1,381.82041159059816,1.3122083333332728
REFERENCE,94,1,381.82172008243242,1.3122083333332728
REFERENCE,95,1,381.81377651825409,1.3122083333332728
REFERENCE,96,1,381.81944444445992,1.3122083333332728
REFERENCE,97,1,301,1.9027446491337854
REFERENCE,97,2,300,2.8096443312509196
REFERENCE,97,3,300,1.9027446491337852
REFERENCE,97,4,300,2.8096443312509196
REFERENCE,98,1,300,1.9027446491338396
REFERENCE,98,2,301,2.8096443312509396
REFERENCE,98,3,300,1.9027446491338391
REFERENCE,98,4,300,2.8096443312509396
REFERENCE,99,1,300,1.9027446491337312
REFERENCE,99,2,300,2.8096443312508597
REFERENCE,99,3,300,1.902744649133731
REFERENCE,99,4,301,2.8096443312508597
REFERENCE,100,1,300,1.9027446491337854
REFERENCE,100,2,300,2.8096443312508796
REFERENCE,100,3,301,1.9027446491337852
REFERENCE,100,4,300,2.8096443312508796
REFERENCE,101,1,311,1.9027446491337854
REFERENCE,101,2,330,2.8096443312508996
REFERENCE,101,3,450,1.9027446491337852
REFERENCE,101,4,390,2.8096443312508996
REFERENCE,102,1,310,1.9027446491337854
REFERENCE,102,2,331,2.8096443312508996
REFERENCE,102,3,450,1.9027446491337852
REFERENCE,102,4,390,2.8096443312508996
REFERENCE,103,1,310,1.9027446491337854
REFERENCE,103,2,330,2.8096443312508996
REFERENCE,103,3,450,1.9027446491337852
REFERENCE,103,4,391,2.8096443312508996
REFERENCE,104,1,310,1.9027446491337854
REFERENCE,104,2,330,2.8096443312508996
REFERENCE,104,3,451,1.9027446491337852
REFERENCE,104,4,390,2.8096443312508996
REFERENCE,105,1,311,1.9027446491338396
REFERENCE,105,2,330,2.8096443312509396
REFERENCE,105,3,450,1.9027446491338391
REFERENCE,105,4,390,2.8096443312509396
REFERENCE,106,1,310,1.9027446491337854
REFERENCE,106,2,331,2.8096443312509396
REFERENCE,106,3,450,1.9027446491337852
REFERENCE,106,4,390,2.8096443312509396
REFERENCE,107,1,310,1.9027446491338396
REFERENCE,107,2,330,2.8096443312509396
REFERENCE,107,3,450,1.9027446491338391
REFERENCE,107,4,391,2.8096443312509396
REFERENCE,108,1,310,1.9027446491337854
REFERENCE,108,2,330,2.8096443312509396
REFERENCE,108,3,451,1.9027446491337852
REFERENCE,108,4,390,2.8096443312509396
REFERENCE,109,1,301,2.1506647596738402
REFERENCE,109,2,300,3.7814517428836605
REFERENCE,109,3,300,1.8592778666365921
REFERENCE,109,4,300,3.3062816796114203
REFERENCE,110,1,300,2.1506647596738353
REFERENCE,110,2,301,3.7814517428837977
REFERENCE,110,3,300,1.8592778666365921
REFERENCE,110,4,300,3.306281679611546
REFERENCE,111,1,300,2.1506647596738353
REFERENCE,111,2,300,3.7814517428836991
REFERENCE,111,3,300,1.8592778666365921
REFERENCE,111,4,301,3.306281679611462
REFERENCE,112,1,300,2.1506647596737083
REFERENCE,112,2,300,3.7814517428837977
REFERENCE,112,3,301,1.8592778666365026
REFERENCE,112,4,300,3.3062816796115873
REFERENCE,113,1,311,2.1506647596738402
REFERENCE,113,2,330,3.7814517428837102
REFERENCE,113,3,450,1.8592778666365921
REFERENCE,113,4,390,3.306281679611462
REFERENCE,114,1,310,2.1506647596737083
REFERENCE,114,2,331,3.7814517428838466
REFERENCE,114,3,450,1.8592778666365026
REFERENCE,114,4,390,3.3062816796116294
REFERENCE,115,1,310,2.1506647596738353
REFERENCE,115,2,330,3.7814517428837484
REFERENCE,115,3,450,1.8592778666365921
REFERENCE,115,4,391,3.3062816796115038
REFERENCE,116,1,310,2.1506647596738353
REFERENCE,116,2,330,3.7814517428836494
REFERENCE,116,3,451,1.8592778666365921
REFERENCE,116,4,390,3.3062816796114203
REFERENCE,117,1,311,2.1506647596738353
REFERENCE,117,2,330,3.7814517428837484
REFERENCE,117,3,450,1.8592778666365921
REFERENCE,117,4,390,3.3062816796115038
REFERENCE,118,1,310,2.1506647596738402
REFERENCE,118,2,331,3.7814517428836605
REFERENCE,118,3,450,1.8592778666365921
REFERENCE,118,4,390,3.3062816796114203
REFERENCE,119,1,310,2.1506647596738353
REFERENCE,119,2,330,3.7814517428837977
REFERENCE,119,3,450,1.8592778666365921
REFERENCE,119,4,391,3.306281679611546
REFERENCE,120,1,310,2.1506647596738353
REFERENCE,120,2,330,3.7814517428836991
REFERENCE,120,3,451,1.8592778666365921
REFERENCE,120,4,390,3.306281679611462
REFERENCE,121,1,300.22222222222223,9.4247779607693705
REFERENCE,122,1,300.27777777777777,9.4247779607693705
REFERENCE,123,1,300.27777777777777,9.4247779607693705
REFERENCE,124,1,300.22222222222223,9.4247779607693705
REFERENCE,125,1,369.11111111111109,9.4247779607693705
REFERENCE,126,1,369.16666666666663,9.4247779607693705
REFERENCE,127,1,369.16666666666663,9.4247779607693705
REFERENCE,128,1,369.11111111111114,9.4247779607693705
REFERENCE,129,1,369.11111111111109,9.4247779607693705
REFERENCE,130,1,369.16666666666663,9.4247779607693705
REFERENCE,131,1,369.16666666666663,9.4247779607693705
REFERENCE,132,1,369.11111111111114,9.4247779607693705
REFERENCE,133,1,300.21855980184,11.097676048805663
REFERENCE,134,1,300.30138004246282,11.097676048805663
REFERENCE,135,1,300.27868011323426,11.097676048805663
REFERENCE,136,1,300.2013800424628,11.097676048805663
REFERENCE,137,1,366.73377565463551,11.097676048805663
REFERENCE,138,1,366.81659589525827,11.097676048805663
REFERENCE,139,1,366.79389596602971,11.097676048805663
REFERENCE,140,1,366.71659589525831,11.097676048805663
REFERENCE,141,1,366.73377565463551,11.097676048805663
REFERENCE,142,1,366.81659589525827,11.097676048805663
REFERENCE,143,1,366.79389596602971,11.097676048805663
REFERENCE,144,1,366.71659589525831,11.097676048805663
DEFORM_A,1,1,302,0.086492977864583417
DEFORM_A,1,2,300,0.086492977864583376
DEFORM_A,1,3,300,0.086492977864583431
DEFORM_A,1,4,300,0.086492977864583459
DEFORM_A,1,5,300,0.08649297786458339
DEFORM_A,1,6,300,0.086492977864583376
DEFORM_A,1,7,300,0.08649297786458339
DEFORM_A,1,8,300,0.086492977864583431
DEFORM_A,2,1,300,0.086492977864583362
DEFORM_A,2,2,302,0.08649297786458332
DEFORM_A,2,3,300,0.086492977864583348
DEFORM_A,2,4,300,0.086492977864583348
DEFORM_A,2,5,300,0.086492977864583348
DEFORM_A,2,6,300,0.08649297786458332
DEFORM_A,2,7,300,0.086492977864583306
DEFORM_A,2,8,300,0.08649297786458332
DEFORM_A,3,1,300,0.08649297786458339
DEFORM_A,3,2,300,0.086492977864583209
DEFORM_A,3,3,300,0.086492977864583417
DEFORM_A,3,4,302,0.086492977864583404
DEFORM_A,3,5,300,0.086492977864583362
DEFORM_A,3,6,300,0.086492977864583209
DEFORM_A,3,7,300,0.08649297786458339
DEFORM_A,3,8,300,0.08649297786458339
DEFORM_A,4,1,300,0.086492977864583584
DEFORM_A,4,2,300,0.086492977864583487
DEFORM_A,4,3,302,0.086492977864583556
DEFORM_A,4,4,300,0.086492977864583695
DEFORM_A,4,5,300,0.086492977864583556
DEFORM_A,4,6,300,0.086492977864583487
DEFORM_A,4,7,300,0.086492977864583528
DEFORM_A,4,8,300,0.086492977864583681
DEFORM_A,5,1,300,0.08649297786458332
DEFORM_A,5,2,300,0.086492977864583376
DEFORM_A,5,3,300,0.08649297786458357
DEFORM_A,5,4,300,0.08649297786458332
DEFORM_A,5,5,302,0.086492977864583293
DEFORM_A,5,6,300,0.086492977864583376
DEFORM_A,5,7,300,0.086492977864583528
DEFORM_A,5,8,300,0.086492977864583293
DEFORM_A,6,1,300,0.086492977864583251
DEFORM_A,6,2,300,0.086492977864582835
DEFORM_A,6,3,300,0.086492977864583043
DEFORM_A,6,4,300,0.086492977864583098
DEFORM_A,6,5,300,0.086492977864583237
DEFORM_A,6,6,302,0.086492977864582835
DEFORM_A,6,7,300,0.086492977864583001
DEFORM_A,6,8,300,0.08649297786458307
DEFORM_A,7,1,300,0.086492977864583057
DEFORM_A,7,2,300,0.086492977864583265
DEFORM_A,7,3,300,0.086492977864583195
DEFORM_A,7,4,300,0.086492977864582946
DEFORM_A,7,5,300,0.086492977864583043
DEFORM_A,7,6,300,0.086492977864583265
DEFORM_A,7,7,300,0.086492977864583154
DEFORM_A,7,8,302,0.086492977864582918
DEFORM_A,8,1,300,0.08649297786458332
DEFORM_A,8,2,300,0.086492977864583251
DEFORM_A,8,3,300,0.086492977864583195
DEFORM_A,8,4,300,0.086492977864583251
DEFORM_A,8,5,300,0.086492977864583306
DEFORM_A,8,6,300,0.086492977864583251
DEFORM_A,8,7,302,0.086492977864583154
DEFORM_A,8,8,300,0.086492977864583237
DEFORM_A,9,1,312,0.08649297786458332
DEFORM_A,9,2,330,0.086492977864583237
DEFORM_A,9,3,370,0.086492977864583195
DEFORM_A,9,4,350,0.086492977864583251
DEFORM_A,9,5,390,0.086492977864583306
DEFORM_A,9,6,410,0.086492977864583237
DEFORM_A,9,7,450,0.086492977864583154
DEFORM_A,9,8,430,0.086492977864583237
DEFORM_A,10,1,310,0.086492977864583015
