type	geometry	step	initial_mass_kg	inferred_capacity_mass_kg	relative_mass_change
C3D8T	regular	REFERENCE	999.9999999999995	999.9999999999995	0.0
C3D8T	regular	DEFORM_A	999.9999999999995	1001.0643435111584	0.001064343511158805
C3D8T	regular	HOLD_A	999.9999999999995	1001.0643435111584	0.001064343511158805
C3D8T	regular	DEFORM_B	999.9999999999995	1007.3308232050792	0.007330823205079717
C3D8T	regular	RETURN	999.9999999999995	999.9999999999995	0.0
C3D8T	warped	REFERENCE	2624.416666666677	2624.4166666666774	2.220446049250313e-16
C3D8T	warped	DEFORM_A	2624.416666666677	2627.0976370290914	0.0010215490537253125
C3D8T	warped	HOLD_A	2624.416666666677	2627.0976370290914	0.0010215490537253125
C3D8T	warped	DEFORM_B	2624.416666666677	2631.1601205321717	0.002569505807193284
C3D8T	warped	RETURN	2624.416666666677	2624.4166666666774	2.220446049250313e-16
C3D8RT	regular	REFERENCE	999.999999999998	1000.0	1.9984014443252818e-15
C3D8RT	regular	DEFORM_A	999.999999999998	1000.0676619549528	6.766195495488958e-05
C3D8RT	regular	HOLD_A	999.999999999998	1000.0676619549528	6.766195495488958e-05
C3D8RT	regular	DEFORM_B	999.999999999998	1000.6986299519228	0.0006986299519249339
C3D8RT	regular	RETURN	999.999999999998	1000.0	1.9984014443252818e-15
C3D8RT	warped	REFERENCE	2624.41666666668	2624.416666666671	-3.4416913763379853e-15
C3D8RT	warped	DEFORM_A	2624.41666666668	2624.761975865107	0.00013157560032772686
C3D8RT	warped	HOLD_A	2624.41666666668	2624.761975865107	0.00013157560032772686
C3D8RT	warped	DEFORM_B	2624.41666666668	2624.991507305897	0.00021903558475222518
C3D8RT	warped	RETURN	2624.41666666668	2624.416666666671	-3.4416913763379853e-15
CAX4T	regular	REFERENCE	18849.55592153836	18849.55592153874	2.020605904817785e-14
CAX4T	regular	DEFORM_A	18849.55592153836	18849.55592153922	4.574118861455645e-14
CAX4T	regular	HOLD_A	18849.55592153836	18849.55592153922	4.574118861455645e-14
CAX4T	regular	DEFORM_B	18849.55592153836	18849.55592153828	-4.218847493575595e-15
CAX4T	regular	RETURN	18849.55592153836	18849.55592153874	2.020605904817785e-14
CAX4T	warped	REFERENCE	22195.35209761173	22195.35209761141	-1.4432899320127035e-14
CAX4T	warped	DEFORM_A	22195.35209761173	22195.352097610885	-3.808064974464287e-14
CAX4T	warped	HOLD_A	22195.35209761173	22195.352097610885	-3.808064974464287e-14
CAX4T	warped	DEFORM_B	22195.35209761173	22195.352097611943	9.769962616701378e-15
CAX4T	warped	RETURN	22195.35209761173	22195.35209761141	-1.4432899320127035e-14
CAX4RT	regular	REFERENCE	18849.55592153897	18849.55592153874	-1.2212453270876722e-14
CAX4RT	regular	DEFORM_A	18849.55592153897	18849.555921538744	-1.199040866595169e-14
CAX4RT	regular	HOLD_A	18849.55592153897	18849.555921538744	-1.199040866595169e-14
CAX4RT	regular	DEFORM_B	18849.55592153897	18849.55592153874	-1.2212453270876722e-14
CAX4RT	regular	RETURN	18849.55592153897	18849.55592153874	-1.2212453270876722e-14
CAX4RT	warped	REFERENCE	22195.352097611227	22195.35209761133	4.6629367034256575e-15
CAX4RT	warped	DEFORM_A	22195.352097611227	22195.35209761133	4.6629367034256575e-15
CAX4RT	warped	HOLD_A	22195.352097611227	22195.35209761133	4.6629367034256575e-15
CAX4RT	warped	DEFORM_B	22195.352097611227	22195.35209761133	4.6629367034256575e-15
CAX4RT	warped	RETURN	22195.352097611227	22195.35209761133	4.6629367034256575e-15
