id,x,y,z,temperature
1,0,-0.10000000000000001,-0.10000000000000001,300
2,0.25,-0.10000000000000001,-0.10000000000000001,299.9998824817286
3,0.5,-0.10000000000000001,-0.10000000000000001,299.9996577232036
4,0.75,-0.10000000000000001,-0.10000000000000001,300.0047495513693
5,1,-0.10000000000000001,-0.10000000000000001,300.0078000805735
6,0,1.1000000000000001,-0.10000000000000001,300
7,0.25,1.1000000000000001,-0.10000000000000001,299.9998796599855
8,0.5,1.1000000000000001,-0.10000000000000001,299.9996590182624
9,0.75,1.1000000000000001,-0.10000000000000001,300.0048009773155
10,1,1.1000000000000001,-0.10000000000000001,300.0077383310276
11,0,-0.10000000000000001,1.1000000000000001,300
12,0.25,-0.10000000000000001,1.1000000000000001,299.9998787944925
13,0.5,-0.10000000000000001,1.1000000000000001,299.9996592612648
14,0.75,-0.10000000000000001,1.1000000000000001,300.0048164460943
15,1,-0.10000000000000001,1.1000000000000001,300.0077169414856
16,0,1.1000000000000001,1.1000000000000001,300
17,0.25,1.1000000000000001,1.1000000000000001,299.9998765438943
18,0.5,1.1000000000000001,1.1000000000000001,299.999658581413
19,0.75,1.1000000000000001,1.1000000000000001,300.0048549520015
20,1,1.1000000000000001,1.1000000000000001,300.0076495696205
21,1,0,0,299.9996750738219
22,1.25,0,0,299.7204907135438
23,1.5,0,0,300.4406351725981
24,1.75,0,0,316.9466870520796
25,2,0,0,400
26,1,1,0,299.9996398280144
27,1.25,1,0,299.7203863879409
28,1.5,1,0,300.4419091621239
29,1.75,1,0,316.9482725439946
30,2,1,0,400
31,1,0,1,299.9996310353172
32,1.25,0,1,299.7203553191582
33,1.5,0,1,300.4423332116219
34,1.75,0,1,316.9488016422634
35,2,0,1,400
36,1,1,1,299.9996156713584
37,1.25,1,1,299.7202795187698
38,1.5,1,1,300.4435946834
39,1.75,1,1,316.9503715160471
40,2,1,1,400
