state,copy,local_node,node,temperature_k,reaction_heat_flux_w
D02_MINUS,transient,8,112,455,6286967.9275282
D03_PLUS,steady,1,113,360,-150.4017539811418
D03_PLUS,steady,2,114,410,-83.7646834367482
D03_PLUS,steady,3,115,445,3.724687866574595
D03_PLUS,steady,4,116,385.001,-104.9923056424601
D03_PLUS,steady,5,117,470,56.8028962630824
D03_PLUS,steady,6,118,430,38.25024253875951
D03_PLUS,steady,7,119,515,174.6853522817765
D03_PLUS,steady,8,120,455,65.69556411015711
D03_PLUS,transient,1,121,360,47382201.29431167
D03_PLUS,transient,2,122,410,83116004.23430464
D03_PLUS,transient,3,123,445,88306715.27631243
D03_PLUS,transient,4,124,385.001,15178339.94564225
D03_PLUS,transient,5,125,470,100498622.8615116
D03_PLUS,transient,6,126,430,25356774.9837745
D03_PLUS,transient,7,127,515,102844108.6515305
D03_PLUS,transient,8,128,455,6286967.927219828
D03_MINUS,steady,1,129,360,-150.4014002177611
D03_MINUS,steady,2,130,410,-83.76403977148836
D03_MINUS,steady,3,131,445,3.724170228065258
D03_MINUS,steady,4,132,384.999,-104.9954750559859
D03_MINUS,steady,5,133,470,56.80391483191278
D03_MINUS,steady,6,134,430,38.25102174760119
D03_MINUS,steady,7,135,515,174.6861810583638
D03_MINUS,steady,8,136,455,65.69562717929237
D03_MINUS,transient,1,137,360,47382201.29466543
D03_MINUS,transient,2,138,410,83116004.23494829
D03_MINUS,transient,3,139,445,88306715.27579486
D03_MINUS,transient,4,140,384.999,15176279.93405892
D03_MINUS,transient,5,141,470,100498622.8625301
D03_MINUS,transient,6,142,430,25356774.98455371
D03_MINUS,transient,7,143,515,102844108.6523591
D03_MINUS,transient,8,144,455,6286967.927282886
D04_PLUS,steady,1,145,360,-150.4016035407543
D04_PLUS,steady,2,146,410,-83.76470172687979
D04_PLUS,steady,3,147,445,3.724018998353358
D04_PLUS,steady,4,148,385,-104.9943996336382
D04_PLUS,steady,5,149,470.001,56.80502488031008
D04_PLUS,steady,6,150,430,38.25073799702552
D04_PLUS,steady,7,151,515,174.6853932019482
D04_PLUS,steady,8,152,455,65.69552982363524
D04_PLUS,transient,1,153,360,47382201.29446208
D04_PLUS,transient,2,154,410,83116004.23428635
D04_PLUS,transient,3,155,445,88306715.2756435
D04_PLUS,transient,4,156,385,15177309.93812952
D04_PLUS,transient,5,157,470.001,100499988.334653
D04_PLUS,transient,6,158,430,25356774.98426996
D04_PLUS,transient,7,159,515,102844108.6515714
D04_PLUS,transient,8,160,455,6286967.927185533
D04_MINUS,steady,1,161,360,-150.4015506581482
D04_MINUS,steady,2,162,410,-83.76402148135672
D04_MINUS,steady,3,163,445,3.724839096286402
D04_MINUS,steady,4,164,385,-104.9933810648078
D04_MINUS,steady,5,165,469.999,56.80178621468524
D04_MINUS,steady,6,166,430,38.25052628933521
D04_MINUS,steady,7,167,515,174.6861401381917
D04_MINUS,steady,8,168,455,65.6956614658142
D04_MINUS,transient,1,169,360,47382201.29451498
D04_MINUS,transient,2,170,410,83116004.23496658
D04_MINUS,transient,3,171,445,88306715.27646357
D04_MINUS,transient,4,172,385,15177309.93914808
D04_MINUS,transient,5,173,469.999,100497257.3921193
D04_MINUS,transient,6,174,430,25356774.98405822
D04_MINUS,transient,7,175,515,102844108.6523183
D04_MINUS,transient,8,176,455,6286967.927317174
