stage,time_s,internal_energy_j,plastic_dissipation_j,creep_dissipation_j,external_work_j
1,0.001,136266.09375,18718.46875,8.064794540405273,136184.421875
2,0.002,239157.296875,117165.890625,24.45763969421387,239069.671875
3,0.003,343269.9375,217849.734375,41.18636322021484,343178.15625
4,0.004,448206.5,320053,58.25492095947266,448111.71875
5,0.005,553781.0625,423357.75,75.66819763183594,553684.0625
6,0.006,574889.0625,451108.15625,92.27870941162109,574780.1875
7,0.007,629380.1875,516026.75,109.5614013671875,629270.75
8,0.008,702775.3125,597155.1875,127.349723815918,702669.5625
9,0.009000000000000001,786369.375,685407.75,145.5460205078125,786268.3125
10,0.01,875575.375,777097.25,164.1090240478516,875478.8125
11,0.011,904745.3125,803164.625,179.2537841796875,904732.75
12,0.012,1076491.625,953900.6875,197.2106475830078,1076545
13,0.013,1302354.5,1167224.25,216.8530426025391,1302437.5
14,0.014,1544286.875,1402261.625,237.6085662841797,1544382.5
15,0.015,1792041.25,1645310.875,259.3231201171875,1792143.375
16,0.016,1853442.125,1723258.625,278.5103149414062,1853605.375
17,0.017,2007999.25,1892123.625,300.5853881835938,2008181.625
18,0.018,2194568,2084120.875,323.9067993164062,2194753.75
19,0.019,2393317.5,2284013.25,348.15380859375,2393501.25
20,0.02,2597561.5,2487623.25,373.2542114257812,2597742.5
