node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,300,1.493456538048831e-31,7.449764883882271e-32,7.449764883882283e-32,-500000.6677516986,-149345.6538048837,-74497.64883882248,-74497.64883882244
2,300.6667324450362,0.0004002000369702867,-7.432247077520711e-32,-7.432247077521087e-32,0,0,74322.47077519774,74322.47077520165
3,400,0.001005884289254616,-1.751780636178337e-34,-1.751780636239076e-34,74500099.33224829,0,175.1780636080589,175.1780636143837
4,300,6.155426221337359e-45,-0.0001952047476507276,7.44976488388225e-32,-499900.6677976243,-3.972672857344151e-09,0,-74497.64883882107
5,300.6665946680446,3.254741223273699e-06,0.000205465430538228,-7.432247077520365e-32,0,0,0,74322.47077520192
6,400,0.0006080099626229561,0.00100029381182013,-1.751780636222175e-34,74500699.33220236,0,0,175.1780636133286
7,300,5.827562043522316e-45,7.449764883882193e-32,-0.0001952047476507247,-501250.6671961443,-4.336470738053322e-09,-74497.64883882173,0
8,300.6683991079992,3.254741223278528e-06,-7.43224707752044e-32,0.0002054654305382282,0,0,74322.47077519742,0
9,400,0.0006080099626229467,-1.751780636155236e-34,0.00100029381182013,74498849.33280386,0,175.1780636069456,0
10,300,-1.493456538048738e-31,-0.0001952047476507278,-0.0001952047476507259,-501150.6672420737,149345.6538048753,0,0
11,300.6682613198966,-0.000393690554523741,0.0002054654305382314,0.0002054654305382264,0,0,0,0
12,400,0.000210135635991203,0.001000293811820127,0.001000293811820131,74499449.33275793,0,0,0
