step,id,x,y,z,ux,uy,uz,rf_x,rf_y,rf_z
1,0,0,0,-0.25,-0.0007500000000000001,-0.0025,-0.003,-2812.483167082297,-21580.67955112221,-10029.94011976048
1,1,1,0,-0.25,-0.0007500000000000001,-0.0025,-0.003,97948.2639194916,-16125.83196144609,-10029.94011976048
1,2,1,1,-0.25,0.0007500000000000001,0.0025,-0.003,103579.2859558178,21430.28133800469,-10029.94011976048
1,3,0,1,-0.25,0.0007500000000000001,0.0025,-0.003,2820.933291770575,15975.4301745636,-10029.94011976048
1,4,0,0,1.25,-0.0007500000000000001,-0.0025,0.003,-2812.483167082298,-21580.6795511222,10029.94011976048
1,5,1,0,1.25,-0.0007500000000000001,-0.0025,0.003,98216.2671035641,-16126.23196619843,10029.94011976048
1,6,1,1,1.25,0.0007500000000000001,0.0025,0.003,103847.2827717453,21429.88134275703,10029.94011976048
1,7,0,1,1.25,0.0007500000000000001,0.0025,0.003,2820.933291770572,15975.4301745636,10029.94011976048
1,8,1,0,0,-0.004750000000000001,-0.0025,-0.001,-102776.9887780537,-14236.51970074813,-10029.94011976048
1,9,2,0,0,-0.004750000000000001,-0.0025,-0.001,-1880.622194513716,-10650.2867830424,-10029.94011976048
1,10,2,1,0,-0.00325,0.0025,-0.001,1874.988778054864,14387.11970074814,-10029.94011976048
1,11,1,1,0,-0.00325,0.0025,-0.001,-99021.3778054851,10800.88678304241,-10029.94011976048
1,12,1,0,1,-0.004750000000000001,-0.0025,0.003,-102776.9887780537,-14236.51970074813,10029.94011976048
1,13,2,0,1,-0.004750000000000001,-0.0025,0.003,-1880.622194513716,-10650.2867830424,10029.94011976048
1,14,2,1,1,-0.00325,0.0025,0.003,1874.988778054867,14387.11970074814,10029.94011976048
1,15,1,1,1,-0.00325,0.0025,0.003,-99021.37780548511,10800.88678304241,10029.94011976048
2,0,0,0,-0.25,-0.0015,-0.005,-0.005999999999999999,-5643.152608635784,-43207.54420209891,-20119.6017507728
2,1,1,0,-0.25,-0.0015,-0.005,-0.005999999999999999,197417.4312052945,-32611.58607528354,-20119.6017507728
2,2,1,1,-0.25,0.0015,0.005,-0.005999999999999999,208710.0345892075,42604.37524572097,-20119.6017507728
2,3,0,1,-0.25,0.0015,0.005,-0.005999999999999999,5668.561809491101,32008.36035345742,-20119.6017507728
2,4,0,0,1.25,-0.0015,-0.005,0.005999999999999999,-5643.152608635788,-43207.54420209892,20119.6017507728
2,5,1,0,1.25,-0.0015,-0.005,0.005999999999999999,198494.8104785818,-32614.78621173886,20119.6017507728
2,6,1,1,1.25,0.0015,0.005,0.005999999999999999,209787.3124776985,42601.17541040862,20119.6017507728
2,7,0,1,1.25,0.0015,0.005,0.005999999999999999,5668.5618094911,32008.36035345744,20119.60175077281
2,8,1,0,0,-0.0095,-0.005,-0.002,-207377.2035272145,-28200.23213602199,-20119.60175077281
2,9,2,0,0,-0.0095,-0.005,-0.002,-3779.041206327403,-21338.90690230495,-20119.60175077281
2,10,2,1,0,-0.0065,0.005,-0.002,3762.101739090522,28805.02946806594,-20119.60175077281
2,11,1,1,0,-0.0065,0.005,-0.002,-199836.0605817956,21943.7042343489,-20119.60175077281
2,12,1,0,1,-0.0095,-0.005,0.005999999999999999,-207377.2035272136,-28200.23213602199,20119.6017507728
2,13,2,0,1,-0.0095,-0.005,0.005999999999999999,-3779.041206327404,-21338.90690230496,20119.60175077281
2,14,2,1,1,-0.0065,0.005,0.005999999999999999,3762.101739090523,28805.02946806594,20119.60175077281
2,15,1,1,1,-0.0065,0.005,0.005999999999999999,-199836.0605817954,21943.70423434891,20119.60175077281
3,0,0,0,-0.25,-0.002249999999999999,-0.0075,-0.008999999999999998,-8491.903515123351,-64880.42684625632,-30268.70869013307
3,1,1,0,-0.25,-0.002249999999999999,-0.0075,-0.008999999999999998,298422.3204003745,-49459.49826055942,-30268.70869013308
3,2,1,1,-0.25,0.002249999999999999,0.0075,-0.008999999999999998,315392.7114048104,63519.78287039069,-30268.70869013307
3,3,0,1,-0.25,0.002249999999999999,0.0075,-0.008999999999999998,8542.838695429878,48098.56898377997,-30268.70869013307
3,4,0,0,1.25,-0.002249999999999999,-0.0075,0.008999999999999998,-8491.903515123349,-64880.42684625632,30268.70869013307
3,5,1,0,1.25,-0.002249999999999999,-0.0075,0.008999999999999998,300858.5518217693,-49470.29928656559,30268.70869013307
3,6,1,1,1.25,0.002249999999999999,0.0075,0.008999999999999998,317828.4321023472,63508.98410867746,30268.70869013308
3,7,0,1,1.25,0.002249999999999999,0.0075,0.008999999999999998,8542.838695429877,48098.56898377997,30268.70869013307
3,8,1,0,0,-0.01425,-0.0075,-0.003,-313812.240532561,-41887.43132425183,-30268.70869013307
3,9,2,0,0,-0.01425,-0.0075,-0.003,-5695.225796953248,-32065.7126558533,-30268.70869013307
3,10,2,1,0,-0.009749999999999998,0.0075,-0.003,5661.26901008224,43253.61789750421,-30268.70869013308
3,11,1,1,0,-0.009749999999999998,0.0075,-0.003,-302455.745725526,33431.89922910569,-30268.70869013308
3,12,1,0,1,-0.01425,-0.0075,0.008999999999999998,-313812.2405325603,-41887.43132425182,30268.70869013308
3,13,2,0,1,-0.01425,-0.0075,0.008999999999999998,-5695.225796953248,-32065.71265585331,30268.70869013307
3,14,2,1,1,-0.009749999999999998,0.0075,0.008999999999999998,5661.269010082241,43253.61789750421,30268.70869013308
3,15,1,1,1,-0.009749999999999998,0.0075,0.008999999999999998,-302455.7457255253,33431.8992291057,30268.70869013308
4,0,0,0,-0.25,-0.002999999999999999,-0.009999999999999998,-0.012,-11358.63220964788,-86599.16179365973,-40476.98722712645
4,1,1,0,-0.25,-0.002999999999999999,-0.009999999999999998,-0.012,400977.2420700692,-66671.84091672578,-40476.98722712645
4,2,1,1,-0.25,0.002999999999999999,0.009999999999999998,-0.012,423627.4049717481,84174.05136564741,-40476.98722712646
4,3,0,1,-0.25,0.002999999999999999,0.009999999999999998,-0.012,11443.71730280887,64245.83527335592,-40476.98722712645
4,4,0,0,1.25,-0.002999999999999999,-0.009999999999999998,0.012,-11358.63220964788,-86599.16179365975,40476.98722712645
4,5,1,0,1.25,-0.002999999999999999,-0.009999999999999998,0.012,405329.9698734764,-66697.44519792229,40476.98722712645
4,6,1,1,1.25,0.002999999999999999,0.009999999999999998,0.012,427978.5265840128,84148.45653263404,40476.98722712645
4,7,0,1,1.25,0.002999999999999999,0.009999999999999998,0.012,11443.71730280887,64245.83527335593,40476.98722712645
4,8,1,0,0,-0.019,-0.009999999999999998,-0.004,-422093.2498945065,-55294.4167148629,-40476.98722712646
4,9,2,0,0,-0.019,-0.009999999999999998,-0.004,-7629.144868539244,-42830.55684890394,-40476.98722712645
4,10,2,1,0,-0.013,0.009999999999999998,-0.004,7572.421473098587,57732.77452910648,-40476.98722712647
4,11,1,1,0,-0.013,0.009999999999999998,-0.004,-406891.6835528674,45268.91466314749,-40476.98722712646
4,12,1,0,1,-0.019,-0.009999999999999998,0.012,-422093.2498945059,-55294.41671486291,40476.98722712648
4,13,2,0,1,-0.019,-0.009999999999999998,0.012,-7629.14486853925,-42830.55684890395,40476.98722712647
4,14,2,1,1,-0.013,0.009999999999999998,0.012,7572.42147309859,57732.77452910649,40476.98722712645
4,15,1,1,1,-0.013,0.009999999999999998,0.012,-406891.6835528672,45268.91466314749,40476.98722712645
5,0,0,0,-0.25,-0.003749999999999999,-0.0125,-0.015,-14243.23613121315,-108363.5847653531,-50744.16611015941
5,1,1,0,-0.25,-0.003749999999999999,-0.0125,-0.015,505096.5610359666,-84250.92244994371,-50744.1661101594
5,2,1,1,-0.25,0.003749999999999999,0.0125,-0.015,533414.3868093095,104564.7714677085,-50744.1661101594
5,3,0,1,-0.25,0.003749999999999999,0.0125,-0.015,14371.15119100153,80449.93918974635,-50744.1661101594
5,4,0,0,1.25,-0.003749999999999999,-0.0125,0.015,-14243.23613121315,-108363.5847653531,50744.1661101594
5,5,1,0,1.25,-0.003749999999999999,-0.0125,0.015,511931.6625126367,-84300.93538757785,50744.16611015939
5,6,1,1,1.25,0.003749999999999999,0.0125,0.015,540245.5861603364,104514.7870822132,50744.16611015941
5,7,0,1,1.25,0.003749999999999999,0.0125,0.015,14371.15119100153,80449.93918974636,50744.16611015941
5,8,1,0,0,-0.02374999999999999,-0.0125,-0.005,-532231.4974135985,-68417.49223386536,-50744.1661101594
5,9,2,0,0,-0.02374999999999999,-0.0125,-0.005,-9580.767460667677,-53633.29279316421,-50744.16611015941
5,10,2,1,0,-0.01625,0.0125,-0.005,9495.4907541421,72242.38984356873,-50744.16611015942
5,11,1,1,0,-0.01625,0.0125,-0.005,-513155.2391987898,57458.19040286756,-50744.16611015939
5,12,1,0,1,-0.02374999999999999,-0.0125,0.015,-532231.4974135978,-68417.4922338654,50744.16611015942
5,13,2,0,1,-0.02374999999999999,-0.0125,0.015,-9580.76746066767,-53633.29279316423,50744.16611015939
5,14,2,1,1,-0.01625,0.0125,0.015,9495.490754142103,72242.38984356874,50744.16611015939
5,15,1,1,1,-0.01625,0.0125,0.015,-513155.2391987887,57458.19040286759,50744.16611015941
6,0,0,0,-0.25,-0.004499999999999999,-0.015,-0.018,-17145.61381834853,-130173.5328873857,-61069.97651426699
6,1,1,0,-0.25,-0.004499999999999999,-0.015,-0.018,610794.5851573761,-102199.0858411534,-61069.97651426698
6,2,1,1,-0.25,0.004499999999999999,0.015,-0.018,644753.9978675947,124689.5761335574,-61069.97651426698
6,3,0,1,-0.25,0.004499999999999999,0.015,-0.018,17325.09412086858,96710.66145911052,-61069.97651426698
6,4,0,0,1.25,-0.004499999999999999,-0.015,0.018,-17145.61381834853,-130173.5328873857,61069.97651426697
6,5,1,0,1.25,-0.004499999999999999,-0.015,0.018,620686.2336499465,-102285.5177211856,61069.97651426698
6,6,1,1,1.25,0.004499999999999999,0.015,0.018,654637.5944667945,124603.214609875,61069.97651426698
6,7,0,1,1.25,0.004499999999999999,0.015,0.018,17325.09412086858,96710.66145911052,61069.97651426698
