time,element,point,heat_r,heat_z
0.10000000149011612,1,1,-114.33788618624591,-30.228292692773135
0.10000000149011612,1,2,-165.21331745785807,232.2433214267267
0.10000000149011612,1,3,136.05386971880213,-2.040402289102368
0.10000000149011612,1,4,75.89248789638984,212.3010949729649
0.20000000298023224,1,1,-114.33788618624591,-30.228292692773135
0.20000000298023224,1,2,-165.21331745785807,232.2433214267267
0.20000000298023224,1,3,136.05386971880213,-2.040402289102368
0.20000000298023224,1,4,75.89248789638984,212.3010949729649
0.30000000447034836,1,1,-114.33788618624591,-30.228292692773135
0.30000000447034836,1,2,-165.21331745785807,232.2433214267267
0.30000000447034836,1,3,136.05386971880213,-2.040402289102368
0.30000000447034836,1,4,75.89248789638984,212.3010949729649
