case	family	through_thickness_elements	tangential_elements	time_step_s	distortion_m	penalty_pa_m	friction_coefficient	slip_tolerance	pressure_conductance_w_m2_k_pa	primary_poisson	secondary_poisson	traction_controlled	elastic_only	initial_gap_m	path	end_time_s	expected_frames
b526_contact_cycle	b526	2	1	0.02	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	1	0.0001	contact_cycle	0.3	15
b526_friction_reversal	b526	2	1	0.02	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	1	0	friction_reversal	0.4	20
