step,node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
1,1,300,0,0,-0,0,0,0,0
1,2,300,-280.3200073242188,-1.401600000436733e-34,3.283397077009989e-35,2.626717604210806e-35,140.1600036621094,-32.8339729309082,-26.26717758178711
1,3,300,-342.6133422851562,-1.713066628935662e-34,4.013040999450398e-35,3.210432914354689e-35,171.3066711425781,-40.13040924072266,-32.10432815551758
1,4,300,0,-0,-0,-0,0,0,0
1,5,300,0,-0,-0,-0,0,0,0
1,6,300,-295.6799926757812,-1.478399959574998e-34,3.46330941465978e-35,2.770647359536269e-35,147.8399963378906,-34.63309478759766,-27.70647430419922
1,7,300,-361.3866577148438,-1.806933296679927e-34,4.232933633366645e-35,3.386346964090501e-35,180.6933288574219,-42.32933807373047,-33.86346817016602
1,8,300,0,-0,-0,0,0,0,0
1,9,300,0,0,0,-0,0,0,0
1,10,300,0,-0,0,-0,0,0,0
1,11,300,0,0,0,0,0,0,0
1,12,300,0,-0,0,0,0,0,0
1,13,400,320,-0.009999999776482582,0.05000000074505806,0.03999999910593033,-158.3133239746094,37.48170471191406,29.9853630065918
1,14,400,0,-0.009999999776482582,0.05000000074505806,0.03999999910593033,0,-4.843019874023469e-10,0
1,15,400,0,-0.009999999776482582,0.05000000074505806,0.03999999910593033,-1.223292855900837e-10,0,0
1,16,400,320,-0.009999999776482582,0.05000000074505806,0.03999999910593033,-160.1874084472656,37.48170471191406,29.9853630065918
1,17,400,320,-0.009999999776482582,0.05000000074505806,0.03999999910593033,-159.8125915527344,37.48170471191406,29.9853630065918
1,18,400,0,-0.009999999776482582,0.05000000074505806,0.03999999910593033,2.548419530956636e-10,-2.572311808002326e-10,-4.422159860517638e-10
1,19,400,0,-0.009999999776482582,0.05000000074505806,0.03999999910593033,0,6.602777213871036e-10,3.27840893321607e-10
1,20,400,320,-0.009999999776482582,0.05000000074505806,0.03999999910593033,-161.6866760253906,37.48170471191406,29.9853630065918
2,1,300,0,0,0,0,0,0,0
2,2,300,0,0,0,0,0,0,0
2,3,300,-305.0666809082031,-1.525333293447131e-34,4.505357893000816e-35,8.009526067844989e-36,152.5333404541016,-45.05358123779297,-8.009526252746582
2,4,300,0,-0,-0,-0,0,0,0
2,5,300,0,0,0,-0,0,0,0
2,6,300,0,0,0,0,0,0,0
2,7,300,-398.9333190917969,-1.994666746962829e-34,5.891621882153831e-35,1.047399546161311e-35,199.4666595458984,-58.91622161865234,-10.47399616241455
2,8,300,0,-0,-0,0,0,0,0
2,9,300,-249.6000061035156,-1.247999967365834e-34,3.686201912455213e-35,6.553248992308526e-36,124.8000030517578,-36.86201858520508,-6.553248882293701
2,10,300,0,0,-0,0,0,0,0
2,11,300,-326.3999938964844,-1.631999992645897e-34,4.820418216655962e-35,8.569632911307019e-36,163.1999969482422,-48.20418167114258,-8.569632530212402
2,12,300,0,0,-0,-0,0,0,0
2,13,400,320,-0.009999999776482582,0.949999988079071,0.2000000029802322,-158.6084899902344,47.25899887084961,8.40160083770752
2,14,400,0,-0.009999999776482582,0.949999988079071,0.2000000029802322,-1.687310402509468e-09,-5.97105209720894e-09,1.563368323687087e-09
2,15,400,0,-0.009999999776482582,0.949999988079071,0.2000000029802322,-1.982603192729471e-09,1.798004301001299e-09,4.782654272617037e-09
2,16,400,320,-0.009999999776482582,0.949999988079071,0.2000000029802322,-160.971435546875,47.25899887084961,8.40160083770752
2,17,400,320,-0.009999999776482582,0.949999988079071,0.2000000029802322,-159.028564453125,47.25899887084961,8.40160083770752
