step,node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
2,18,400,0,-0.009999999776482582,0.949999988079071,0.2000000029802322,-1.210156308495414e-09,-5.986063200680292e-09,-5.603272068555043e-09
2,19,400,0,-0.009999999776482582,0.949999988079071,0.2000000029802322,-1.628612578130628e-09,1.007280836518021e-08,-7.084896003206609e-10
2,20,400,320,-0.009999999776482582,0.949999988079071,0.2000000029802322,-161.3915100097656,47.25899887084961,8.40160083770752
3,1,300,0,-0,0,-0,0,0,0
3,2,300,0,0,-0,-0,0,0,0
3,3,300,0,0,0,0,0,0,0
3,4,300,0,-0,-0,-0,0,0,0
3,5,300,0,-0,-0,0,0,0,0
3,6,300,0,0,-0,0,0,0,0
3,7,300,0,0,-0,0,0,0,0
3,8,300,0,-0,-0,-0,0,0,0
3,9,300,0,0,0,-0,0,0,0
3,10,300,0,-0,-0,-0,0,0,0
3,11,300,0,0,0,0,0,0,0
3,12,300,0,-0,0,0,0,0,0
3,13,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,1.746903843802272e-09,-1.753663658732307e-09,1.183740550025902e-09
3,14,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,-1.756090606264138e-09,-5.914293943476423e-09,1.498331125837638e-09
3,15,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,-2.060178028173709e-09,1.818408978948582e-09,4.890531091206185e-09
3,16,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,1.941971028429634e-09,3.049388241915807e-10,1.179077280255569e-09
3,17,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,1.218485423670757e-09,-1.56560286956875e-09,-2.59157229010043e-09
3,18,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,-1.347534417384111e-09,-5.910575584522348e-09,-5.635109268098404e-09
3,19,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,-1.337940425116813e-09,1.011704942044389e-08,-6.518377504427519e-10
3,20,400,0,0.01999999955296516,0.949999988079071,0.2000000029802322,1.594383181036108e-09,2.903739027004804e-09,1.268394417275331e-10
4,1,300,0,-0,-0,0,0,0,0
4,2,300,0,-0,0,-0,0,0,0
4,3,300,0,0,0,0,0,0,0
4,4,300,0,-0,-0,-0,0,0,0
4,5,300,0,-0,0,0,0,0,0
4,6,300,0,0,0,-0,0,0,0
4,7,300,0,0,-0,0,0,0,0
4,8,300,0,-0,-0,-0,0,0,0
4,9,300,0,-0,0,-0,0,0,0
4,10,300,0,-0,0,0,0,0,0
4,11,300,0,0,0,-0,0,0,0
4,12,300,0,0,-0,0,0,0,0
4,13,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,9.942789924721751e-10,8.241073934378562e-10,4.719303836608901e-10
4,14,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,-1.003465754934041e-09,-1.423987150417361e-09,-5.80325010268723e-10
4,15,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,-1.241137526086789e-09,-1.980393626865862e-09,1.330560439605222e-09
4,16,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,1.122930526342714e-09,-9.954252977451006e-10,7.525277068154423e-10
4,17,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,2.765889461908699e-10,1.233326107907828e-09,-6.023551657463599e-10
4,18,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,-4.056379121486486e-10,3.53567242150632e-09,-2.864948944747425e-09
4,19,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,-4.838258682582364e-10,0,2.216628436357837e-09
4,20,400,0,0.01999999955296516,0.05000000074505806,0.4000000059604645,7.402686241775314e-10,-1.17259679743853e-09,-7.240179011880343e-10
5,1,300,0,0,0,0,0,0,0
5,2,300,-211.1999969482422,-1.055999954725803e-34,0,-0,105.5999984741211,0,0
5,3,300,-258.1333312988281,-1.290666624086467e-34,-0,-0,129.0666656494141,0,0
5,4,300,0,-0,-0,-0,0,0,0
5,5,300,0,0,0,-0,0,0,0
5,6,300,-364.7999877929688,-1.824000005285928e-34,0,-0,182.3999938964844,0,0
5,7,300,-445.8666687011719,-2.229333301529122e-34,-0,-0,222.9333343505859,0,0
5,8,300,0,-0,0,0,0,0,0
5,9,300,0,-0,-0,0,0,0,0
5,10,300,0,0,-0,0,0,0,0
5,11,300,0,-0,0,-0,0,0,0
5,12,300,0,0,-0,-0,0,0,0
5,13,400,320,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-160,8.851659960562586e-10,4.596091007780245e-10
5,14,400,0,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-8.968924491981056e-10,-1.485006784207599e-09,-5.681702885951267e-10
5,15,400,0,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-1.159601303868385e-09,-1.995172249635857e-09,1.201469812528444e-09
5,16,400,320,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-160,-9.806966350112134e-10,8.816220531393526e-10
5,17,400,320,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-160,1.338252397786732e-09,-6.344526015666929e-10
5,18,400,0,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-2.597205506216227e-10,3.430755013411613e-09,-2.833292045423264e-09
5,19,400,0,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-8.178527299840255e-10,0,2.182211522594457e-09
5,20,400,320,-0.009999999776482582,0.05000000074505806,0.4000000059604645,-160,-1.12261477891451e-09,-6.89767465367197e-10
