normal_displacement,normal_x,normal_y,normal_z,id,x,y,z
0,0.9063077870366499,0.4226182617406994,0,0,0,0,0
-4.963611006551859e-06,0.9063077870366499,0.4226182617406994,0,1,0.9063077870366499,0.4226182617406994,0
-4.989471480384304e-06,0.9063077870366499,0.4226182617406994,0,2,0.8133317694536961,0.6220059748887624,0
0,0.9063077870366499,0.4226182617406994,0,3,-0.09297601758295387,0.199387713148063,0
0,0.9063077870366499,0.4226182617406994,0,4,0,0,0.45
-4.985970267118668e-06,0.9063077870366499,0.4226182617406994,0,5,0.9063077870366499,0.4226182617406994,0.45
-5.01079035659397e-06,0.9063077870366499,0.4226182617406994,0,6,0.8133317694536961,0.6220059748887624,0.45
0,0.9063077870366499,0.4226182617406994,0,7,-0.09297601758295387,0.199387713148063,0.45
-2.546785169313525e-06,0.9063077870366499,0.4226182617406994,0,8,0.453153893518325,0.2113091308703497,0
-4.986700581598503e-06,0.9063077870366499,0.4226182617406994,0,9,0.859819778245173,0.5223121183147309,0
-2.444865508081407e-06,0.9063077870366499,0.4226182617406994,0,10,0.3601778759353711,0.4106968440184127,0
0,0.9063077870366499,0.4226182617406994,0,11,-0.04648800879147694,0.0996938565740315,0
0,0.9063077870366499,0.4226182617406994,0,12,0,0,0.225
-4.95512179430934e-06,0.9063077870366499,0.4226182617406994,0,13,0.9063077870366499,0.4226182617406994,0.225
-4.977642498946233e-06,0.9063077870366499,0.4226182617406994,0,14,0.8133317694536961,0.6220059748887624,0.225
0,0.9063077870366499,0.4226182617406994,0,15,-0.09297601758295387,0.199387713148063,0.225
-2.42897535786689e-06,0.9063077870366499,0.4226182617406994,0,16,0.453153893518325,0.2113091308703497,0.45
-5.003827530385569e-06,0.9063077870366499,0.4226182617406994,0,17,0.859819778245173,0.5223121183147309,0.45
-2.32273283818946e-06,0.9063077870366499,0.4226182617406994,0,18,0.3601778759353711,0.4106968440184127,0.45
0,0.9063077870366499,0.4226182617406994,0,19,-0.04648800879147694,0.0996938565740315,0.45
-4.984427820071441e-06,0.9063077870366499,0.4226182617406994,0,20,0.6611891952270443,0.9482767782219563,0
0,0.9063077870366499,0.4226182617406994,0,21,-0.2451185918096057,0.5256585164812569,0
-5.0014359359207e-06,0.9063077870366499,0.4226182617406994,0,22,0.6611891952270443,0.9482767782219563,0.45
0,0.9063077870366499,0.4226182617406994,0,23,-0.2451185918096057,0.5256585164812569,0.45
-4.965032632290305e-06,0.9063077870366499,0.4226182617406994,0,24,0.7372604823403701,0.7851413765553594,0
-2.409639717279986e-06,0.9063077870366499,0.4226182617406994,0,25,0.2080353017087193,0.7369676473516067,0
0,0.9063077870366499,0.4226182617406994,0,26,-0.1690473046962798,0.3625231148146599,0
-4.976069655033441e-06,0.9063077870366499,0.4226182617406994,0,27,0.6611891952270443,0.9482767782219563,0.225
0,0.9063077870366499,0.4226182617406994,0,28,-0.2451185918096057,0.5256585164812569,0.225
-4.984485657430499e-06,0.9063077870366499,0.4226182617406994,0,29,0.7372604823403701,0.7851413765553594,0.45
-2.287769588731568e-06,0.9063077870366499,0.4226182617406994,0,30,0.2080353017087193,0.7369676473516067,0.45
0,0.9063077870366499,0.4226182617406994,0,31,-0.1690473046962798,0.3625231148146599,0.45
-4.968317509216151e-06,0.9063077870366499,0.4226182617406994,0,32,0.4836895252959505,1.328926048777349,0
0,0.9063077870366499,0.4226182617406994,0,33,-0.4226182617406994,0.9063077870366499,0
-4.994065284910896e-06,0.9063077870366499,0.4226182617406994,0,34,0.4836895252959505,1.328926048777349,0.45
0,0.9063077870366499,0.4226182617406994,0,35,-0.4226182617406994,0.9063077870366499,0.45
-4.985721706833694e-06,0.9063077870366499,0.4226182617406994,0,36,0.5724393602614974,1.138601413499653,0
-2.522146246748009e-06,0.9063077870366499,0.4226182617406994,0,37,0.03053563177762553,1.117616917907,0
0,0.9063077870366499,0.4226182617406994,0,38,-0.3338684267751525,0.7159831517589534,0
-4.957594386054281e-06,0.9063077870366499,0.4226182617406994,0,39,0.4836895252959505,1.328926048777349,0.225
0,0.9063077870366499,0.4226182617406994,0,40,-0.4226182617406994,0.9063077870366499,0.225
-5.001071871186596e-06,0.9063077870366499,0.4226182617406994,0,41,0.5724393602614974,1.138601413499653,0.45
-2.40436610164295e-06,0.9063077870366499,0.4226182617406994,0,42,0.03053563177762553,1.117616917907,0.45
0,0.9063077870366499,0.4226182617406994,0,43,-0.3338684267751525,0.7159831517589534,0.45
0,0.9063077870366499,0.4226182617406994,0,44,0,0,1
-4.968860997211467e-06,0.9063077870366499,0.4226182617406994,0,45,0.9063077870366499,0.4226182617406994,1
-4.996542878677445e-06,0.9063077870366499,0.4226182617406994,0,46,0.8133317694536961,0.6220059748887624,1
0,0.9063077870366499,0.4226182617406994,0,47,-0.09297601758295387,0.199387713148063,1
0,0.9063077870366499,0.4226182617406994,0,48,0,0,0.725
-4.949641956146268e-06,0.9063077870366499,0.4226182617406994,0,49,0.9063077870366499,0.4226182617406994,0.725
-4.974944706918037e-06,0.9063077870366499,0.4226182617406994,0,50,0.8133317694536961,0.6220059748887624,0.725
0,0.9063077870366499,0.4226182617406994,0,51,-0.09297601758295387,0.199387713148063,0.725
-2.537041866280819e-06,0.9063077870366499,0.4226182617406994,0,52,0.453153893518325,0.2113091308703497,1
-4.992944265010799e-06,0.9063077870366499,0.4226182617406994,0,53,0.859819778245173,0.5223121183147309,1
-2.434486322998642e-06,0.9063077870366499,0.4226182617406994,0,54,0.3601778759353711,0.4106968440184127,1
0,0.9063077870366499,0.4226182617406994,0,55,-0.04648800879147694,0.0996938565740315,1
-4.992192448521224e-06,0.9063077870366499,0.4226182617406994,0,56,0.6611891952270443,0.9482767782219563,1
0,0.9063077870366499,0.4226182617406994,0,57,-0.2451185918096057,0.5256585164812569,1
-4.972520912467567e-06,0.9063077870366499,0.4226182617406994,0,58,0.6611891952270443,0.9482767782219563,0.725
0,0.9063077870366499,0.4226182617406994,0,59,-0.2451185918096057,0.5256585164812569,0.725
-4.972036457570568e-06,0.9063077870366499,0.4226182617406994,0,60,0.7372604823403701,0.7851413765553594,1
-2.399988533215397e-06,0.9063077870366499,0.4226182617406994,0,61,0.2080353017087193,0.7369676473516067,1
0,0.9063077870366499,0.4226182617406994,0,62,-0.1690473046962798,0.3625231148146599,1
-4.973091576460178e-06,0.9063077870366499,0.4226182617406994,0,63,0.4836895252959505,1.328926048777349,1
0,0.9063077870366499,0.4226182617406994,0,64,-0.4226182617406994,0.9063077870366499,1
-4.953039065003351e-06,0.9063077870366499,0.4226182617406994,0,65,0.4836895252959505,1.328926048777349,0.725
0,0.9063077870366499,0.4226182617406994,0,66,-0.4226182617406994,0.9063077870366499,0.725
-4.992736981000351e-06,0.9063077870366499,0.4226182617406994,0,67,0.5724393602614974,1.138601413499653,1
-2.511502988962798e-06,0.9063077870366499,0.4226182617406994,0,68,0.03053563177762553,1.117616917907,1
0,0.9063077870366499,0.4226182617406994,0,69,-0.3338684267751525,0.7159831517589534,1
-5.036066218470521e-06,0.9063077870366499,0.4226182617406994,0,70,0.9063077870366499,0.4226182617406994,0
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,71,1.8126155740733,0.8452365234813989,0
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,72,1.64356826937702,1.207759638296059,0
-5.012984903337416e-06,0.9063077870366499,0.4226182617406994,0,73,0.7372604823403701,0.7851413765553594,0
-5.011799615206463e-06,0.9063077870366499,0.4226182617406994,0,74,0.9063077870366499,0.4226182617406994,0.25
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,75,1.8126155740733,0.8452365234813989,0.25
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,76,1.64356826937702,1.207759638296059,0.25
-4.994450533880095e-06,0.9063077870366499,0.4226182617406994,0,77,0.7372604823403701,0.7851413765553594,0.25
-7.451696619624182e-06,0.9063077870366499,0.4226182617406994,0,78,1.359461680554975,0.6339273926110491,0
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,79,1.72809192172516,1.026498080888729,0
-7.573586622973517e-06,0.9063077870366499,0.4226182617406994,0,80,1.190414375858695,0.9964505074257091,0
-5.039591581239647e-06,0.9063077870366499,0.4226182617406994,0,81,0.8217841346885101,0.6038798191480295,0
-5.019957917291072e-06,0.9063077870366499,0.4226182617406994,0,82,0.9063077870366499,0.4226182617406994,0.125
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,83,1.8126155740733,0.8452365234813989,0.125
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,84,1.64356826937702,1.207759638296059,0.125
-5.000397168620261e-06,0.9063077870366499,0.4226182617406994,0,85,0.7372604823403701,0.7851413765553594,0.125
-7.559729409550793e-06,0.9063077870366499,0.4226182617406994,0,86,1.359461680554975,0.6339273926110491,0.25
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,87,1.72809192172516,1.026498080888729,0.25
-7.685300990153052e-06,0.9063077870366499,0.4226182617406994,0,88,1.190414375858695,0.9964505074257091,0.25
-5.016074552029921e-06,0.9063077870366499,0.4226182617406994,0,89,0.8217841346885101,0.6038798191480295,0.25
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,90,1.3899973123326,1.751544310518049,0
-5.025843725886627e-06,0.9063077870366499,0.4226182617406994,0,91,0.4836895252959505,1.328926048777349,0
-9.999999999999999e-06,0.9063077870366499,0.4226182617406994,0,92,1.3899973123326,1.751544310518049,0.25
