side,id,x,y,z,force_x,force_y,force_z,gap,pressure
secondary,8,0.9921875,-8.103399205759314e-34,-8.103399205759295e-34,19466.76538639411,-810.3400016099234,-810.3400016099215,-0.007802357137313112,77872.46747839497
secondary,11,0.9921875,1,-1.618312649835987e-33,19429.22250621739,-808.8127834844614,-1618.312811667252,-0.007772158659366609,77721.90196976345
secondary,12,0.9921875,-1.618312649836e-33,1,19429.22250621751,-1618.312811667265,-808.8127834844646,-0.007772158659366707,77721.90196976395
secondary,15,1.1171875,1,1,19392.97358209032,-1615.308914276829,-1615.308914276826,-0.007742336698269579,77572.28326490655
primary,1,1,8.119026381068481e-34,8.119026381068459e-34,19491.83564499935,-811.9027192971117,-811.9027192971098,0,0
primary,2,1,1,1.619862559720212e-33,19441.57943241039,-809.5810843119634,-1619.862721706468,0,0
primary,5,1,1.619862559720225e-33,1,19441.57943241052,-1619.862721706481,-809.5810843119666,0,0
primary,6,1.125,1,1,19343.18947109906,-1611.427985722923,-1611.427985722921,0,0
