pressure,normal_force_x,id,x,y,z
4856.51171875,-520.8963012695312,56,1,2.777936478323686e-32,1.551477688300735e-32
5152.57421875,-845.8826904296875,59,1,1.200000047683716,0
4869.01513671875,-520.5333862304688,60,1,6.449304205380386e-33,1
5147.0654296875,-846.1187744140625,63,1,1.200000047683716,1
5018.93408203125,2044.252807617188,67,1,0.6000000238418579,0
4862.76318359375,2019.0556640625,68,1,1.110010572742252e-32,0.5
5149.81982421875,3430.431396484375,71,1,1.200000047683716,0.5
5022.21142578125,2044.702392578125,75,1,0.6000000238418579,1
4900.30908203125,-340.7429809570312,77,1,2,4.125053004366027e-32
4905.91064453125,-340.6383972167969,79,1,2,1
5012.05078125,1344.38427734375,82,1,1.600000023841858,-4.123017048150403e-34
4903.10986328125,1338.42431640625,84,1,2,0.5
5012.31689453125,1344.516967773438,87,1,1.600000023841858,1
