stage,time_s,internal_energy_j,plastic_dissipation_j,external_work_j
1,0.1,25000,0,25000
2,0.2,251485.15625,149495.140625,251485.15625
3,0.3,659405.9375,553377.125,659405.9375
4,0.4,647524.75,553377.125,647524.75
5,0.5,1051367.5,941344.875,1051367.5
6,0.6000000000000001,1474894.625,1360678.625,1474894.625
7,0.7000000000000001,1906342.5,1787854.75,1906342.5
8,0.8,1908787,1788518.75,1908787
9,0.9,2801963.5,2672852,2801963.5
10,1,2804124.25,2673370.75,2804124.25
