node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,300,1.191555956320779e-33,4.386645815727708e-34,4.38664581572946e-34,-500011.4096415316,-501190.7184941907,-221184.2575692284,-221184.2575692283
2,300.6674750451687,1.181231024403729e-05,-4.834924012129971e-06,-4.834924012130202e-06,0,0,0,0
3,400,0.0006273329006276391,-0.0005953757607542583,-0.0005953757607542584,74528708.90698381,0,0,0
4,300,1.191555956328398e-33,-4.386645815723767e-34,4.386645815789015e-34,-499911.4081839287,-501190.7184941905,221184.2575692282,-221184.2575692282
5,300.6673371649174,1.181231024403653e-05,4.834924012130979e-06,-4.83492401212998e-06,0,0,0,0
6,400,0.0006273329006276387,0.0005953757607542607,-0.000595375760754258,74529309.75488374,0,0,0
7,300,1.19155595630011e-33,4.386645815704499e-34,-4.386645815728584e-34,-501261.4278801199,-501190.7184941906,-221184.2575692282,221184.2575692282
8,300.6691428973232,1.181231024403656e-05,-4.834924012130177e-06,4.834924012130726e-06,0,0,0,0
9,400,0.0006273329006276379,-0.0005953757607542587,0.0005953757607542606,74527457.1409861,0,0,0
10,300,1.191555956307466e-33,-4.386645815745225e-34,-4.386645815669029e-34,-501161.4264225207,-501190.7184941904,221184.2575692283,221184.2575692283
11,300.6690050059451,1.181231024403576e-05,4.834924012130737e-06,4.834924012130952e-06,0,0,0,0
12,400,0.0006273329006276374,0.0005953757607542604,0.000595375760754261,74528057.98888603,0,0,0
