stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ivol_m3
1,0.001,1,1,0.2125928145976161,0.211324865405185,0.211324865405185,600,1610552956.515071,690236981.3636019,690236981.3636019,5.177514792899377e-18,-4.170008350535963e-09,3.018181307776529e-33,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,6.73076923076919e-29,-5.421010855696753e-20,3.923635700109488e-44,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,6.73076923076919e-29,-5.421010855696753e-20,3.923635700109488e-44,0.005982071677547469,0,0,0,0,0,0.1257500000000001
1,0.001,1,2,0.793407185402384,0.2113248654051851,0.2113248654051851,600,1610552956.515071,690236981.3636019,690236981.3636019,1.387310907557564e-18,1.668003342424122e-08,2.694804739086187e-33,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,1.803504179824833e-29,2.168404345151359e-19,3.503246160812043e-44,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,1.803504179824833e-29,2.168404345151359e-19,3.503246160812043e-44,0.005982071677547469,0,0,0,0,0,0.12575
1,0.001,1,3,0.2125928145976161,0.7886751345948151,0.2113248654051851,600,1610552956.515071,690236981.3636022,690236981.3636022,5.177514792899374e-18,1.932274826404017e-17,-1.29350627476137e-33,0.00598205383848455,5.782411583127818e-19,5.782411583127818e-19,6.730769230769187e-29,2.511957274325222e-28,-1.68155815718978e-44,0.00598205383848455,5.782411583127818e-19,5.782411583127818e-19,6.730769230769187e-29,2.511957274325222e-28,-1.68155815718978e-44,0.005982071677547469,0,0,0,0,0,0.1257500000000001
1,0.001,1,4,0.793407185402384,0.7886751345948151,0.211324865405185,600,1610552956.515071,690236981.3636022,690236981.3636022,1.387310907557561e-18,1.00080200542301e-07,-3.772726634720661e-33,0.00598205383848455,5.782411583127818e-19,5.782411583127818e-19,1.80350417982483e-29,1.301042607049913e-18,-4.90454462513686e-44,0.00598205383848455,5.782411583127818e-19,5.782411583127818e-19,1.80350417982483e-29,1.301042607049913e-18,-4.90454462513686e-44,0.005982071677547469,0,0,0,0,0,0.12575
1,0.001,1,5,0.2125928145976161,0.211324865405185,0.7886751345948151,600,1610552956.515071,690236981.3636019,690236981.3636019,1.932274826404017e-17,-4.170008350535963e-09,-8.623375165075797e-34,0.005982053838484551,-3.461538461538465e-28,-3.461538461538465e-28,2.511957274325222e-28,-5.421010855696753e-20,-1.121038771459854e-44,0.005982053838484551,-3.461538461538465e-28,-3.461538461538465e-28,2.511957274325222e-28,-5.421010855696753e-20,-1.121038771459854e-44,0.005982071677547469,0,0,0,0,0,0.12575
1,0.001,1,6,0.7934071854023839,0.211324865405185,0.788675134594815,600,1610552956.515071,690236981.3636019,690236981.3636019,5.17751479289938e-18,1.668003342424122e-08,3.125973497339976e-33,0.005982053838484551,-3.461538461538466e-28,-3.461538461538465e-28,6.730769230769194e-29,2.168404345151359e-19,4.06376554654197e-44,0.005982053838484551,-3.461538461538466e-28,-3.461538461538465e-28,6.730769230769194e-29,2.168404345151359e-19,4.06376554654197e-44,0.005982071677547469,0,0,0,0,0,0.12575
1,0.001,1,7,0.2125928145976161,0.7886751345948151,0.7886751345948151,600,1610552956.515071,690236981.3636019,690236981.3636019,-1.668003340353117e-08,-1.668003340353117e-08,-8.623375165075797e-33,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,-2.168404342459052e-19,-2.168404342459052e-19,-1.121038771459854e-43,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,-2.168404342459052e-19,-2.168404342459052e-19,-1.121038771459854e-43,0.005982071677547469,0,0,0,0,0,0.12575
1,0.001,1,8,0.7934071854023839,0.7886751345948151,0.7886751345948151,600,1610552956.515071,690236981.3636019,690236981.3636019,-3.336006684053031e-08,3.336006685088534e-08,-1.29350627476137e-33,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,-4.336808689268941e-19,4.336808690615095e-19,-1.68155815718978e-44,0.005982053838484552,-2.891205796756217e-19,-2.891205796756217e-19,-4.336808689268941e-19,4.336808690615095e-19,-1.68155815718978e-44,0.005982071677547469,0,0,0,0,0,0.12575
2,0.002,1,1,0.2138607637900472,0.211324865405185,0.211324865405185,600,3211528789.403691,1376369481.17301,1376369481.17301,5.146819707686699e-18,-8.315071491789327e-09,1.659128672327648e-33,0.01192853550349942,-5.782411590071603e-19,-5.782411590071603e-19,6.690865619992709e-29,-1.080959293932613e-19,2.156867274025942e-44,0.01192853550349942,-5.782411590071603e-19,-5.782411590071603e-19,6.690865619992709e-29,-1.080959293932613e-19,2.156867274025942e-44,0.01192857086527381,0,0,0,0,0,0.1265000000000001
2,0.002,1,2,0.7981392362099529,0.2113248654051851,0.2113248654051851,600,3211528789.403691,1376369481.17301,1376369481.17301,1.379086184263221e-18,3.326028598912368e-08,5.421799329173927e-34,0.01192853550349942,-5.782411590071603e-19,-5.782411590071603e-19,1.792812039542188e-29,4.323837178586078e-19,7.048339127926107e-45,0.01192853550349942,-5.782411590071603e-19,-5.782411590071603e-19,1.792812039542188e-29,4.323837178586078e-19,7.048339127926107e-45,0.01192857086527381,0,0,0,0,0,0.1265
