step,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D01_PLUS,7,515,0.00023,0.00016,0.00018,147.6047719255952,-118556374.9238363,-191421227.8009425,-167604957.949404
D01_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62759734559503,182435044.5407864,-152332670.1159636,-161489557.1929886
D01_MINUS,1,360,2.629077257781864e-34,4.108427650575871e-34,3.549386147416638e-34,-141.0589220785635,120918906.8770238,191553807.0962405,165894509.9711206
D01_MINUS,2,409.999,0.00012,-2e-05,3e-05,-80.07195019823337,-180352722.1260528,165633687.8199683,165189890.8964801
D01_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31905273306759,-145057900.429668,-201519696.7087575,167915385.6397361
D01_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27847006920506,137560925.9001412,-156320493.4665963,170855652.9497533
D01_MINUS,5,470,3e-05,-5e-05,0.00014,51.75993579581319,161375046.8925097,182106830.879345,-168396167.0115392
D01_MINUS,6,430,0.0001,4e-05,0.0001,9.096372684988314,-158322793.8266977,162299028.9502815,-172365461.6427126
D01_MINUS,7,515,0.00023,0.00016,0.00018,147.6055767336487,-118556117.0263881,-191420817.2218762,-167604599.3190058
D01_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62840439848414,182434653.7391318,-152332347.3486052,-161489211.4838326
D02_PLUS,1,360,-2.542917091027183e-34,-3.973786186379489e-34,-3.433065601326568e-34,-141.0591450186247,120919161.168733,191554204.4748591,165894853.2776808
D02_PLUS,2,410,0.00012,-2e-05,3e-05,-80.07070150093611,-180353095.5293247,165634027.5557322,165190232.9277559
D02_PLUS,3,445.001,0.00017,9.000000000000001e-05,-4e-05,14.32043322916337,-145058205.4776962,-201520114.2368696,167915732.5170926
D02_PLUS,4,385,-4e-05,0.00011,2e-05,-84.2785863144795,137561210.0335052,-156320813.8180373,170856005.693418
D02_PLUS,5,470,3e-05,-5e-05,0.00014,51.75916680062991,161375385.608046,182107208.6185839,-168396514.9091232
D02_PLUS,6,430,0.0001,4e-05,0.0001,9.095998549895212,-158323121.0646744,162299361.2893958,-172365817.4470598
D02_PLUS,7,515,0.00023,0.00016,0.00018,147.6051952297481,-118556366.4720165,-191421214.345438,-167604946.1963622
D02_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62763902460375,182435031.7334276,-152332659.538226,-161489545.863402
D02_MINUS,1,360,2.456756924272503e-34,3.839144722183109e-34,3.316745055236499e-34,-141.0584619872091,120918915.4930405,191553820.5603869,165894521.6031752
D02_MINUS,2,410,0.00012,-2e-05,3e-05,-80.07044102717128,-180352734.7778566,165633699.3310357,165189902.485325
D02_MINUS,3,444.999,0.00017,9.000000000000001e-05,-4e-05,14.31741176320708,-145057910.7654312,-201519710.8556174,167915397.3927779
D02_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27899125819719,137560935.5272651,-156320504.3208762,170855664.9015597
D02_MINUS,5,470,3e-05,-5e-05,0.00014,51.76009040065765,161375058.3690093,182106843.6780618,-168396178.7991487
D02_MINUS,6,430,0.0001,4e-05,0.0001,9.09687595974184,-158322804.9143099,162299040.2107326,-172365473.6982224
D02_MINUS,7,515,0.00023,0.00016,0.00018,147.6051534294957,-118556125.4782079,-191420830.6773807,-167604611.0720475
D02_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62836271947528,182434666.5464906,-152332357.9263428,-161489222.8134192
D03_PLUS,1,360,-2.387316598555287e-34,-3.73063115401117e-34,-3.222997133054579e-34,-141.058935340084,120919154.2247004,191554193.6235023,165894843.9028885
D03_PLUS,2,410,0.00012,-2e-05,3e-05,-80.07088998118698,-180353085.332671,165634018.2784489,165190223.5877883
D03_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31912496804406,-145058197.147643,-201520102.8352835,167915723.0447914
D03_PLUS,4,385.001,-4e-05,0.00011,2e-05,-84.27743122951631,137561202.2745762,-156320805.0700885,170855996.0609234
D03_PLUS,5,470,3e-05,-5e-05,0.00014,51.75917673911042,161375376.3586225,182107198.3035265,-168396505.4089622
D03_PLUS,6,430,0.0001,4e-05,0.0001,9.096122672101069,-158323112.1286726,162299352.2140954,-172365807.7309862
D03_PLUS,7,515,0.00023,0.00016,0.00018,147.6049213539641,-118556359.6603175,-191421203.5010461,-167604936.724061
D03_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62791081756777,182435021.4114052,-152332651.0131549,-161489536.7323822
D03_MINUS,1,360,2.317876272838071e-34,3.62211758583923e-34,3.129249210872661e-34,-141.0586716657497,120918922.4370731,191553831.4117437,165894530.9779674
D03_MINUS,2,410,0.00012,-2e-05,3e-05,-80.07025254692049,-180352744.9745103,165633708.608319,165189911.8252926
D03_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31872002432637,-145057919.0954843,-201519722.2572035,167915406.8650791
D03_MINUS,4,384.999,-4e-05,0.00011,2e-05,-84.28014634316031,137560943.2861942,-156320513.0688249,170855674.5340543
D03_MINUS,5,470,3e-05,-5e-05,0.00014,51.76008046217717,161375067.6184329,182106853.9931193,-168396188.2993096
D03_MINUS,6,430,0.0001,4e-05,0.0001,9.096751837535937,-158322813.8503117,162299049.2860329,-172365483.414296
D03_MINUS,7,515,0.00023,0.00016,0.00018,147.6054273052797,-118556132.2899068,-191420841.5217727,-167604620.5443487
D03_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62809092651135,182434676.868513,-152332366.4514139,-161489231.944439
D04_PLUS,1,360,-2.4084224542311e-34,-3.763613022760333e-34,-3.251491096685116e-34,-141.0587954166052,120919163.2793185,191554207.773046,165894856.1270771
D04_PLUS,2,410,0.00012,-2e-05,3e-05,-80.07087845922314,-180353098.6285196,165634030.3754914,165190235.7665675
D04_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31846069617129,-145058208.009552,-201520117.7022944,167915735.3961261
D04_PLUS,4,385,-4e-05,0.00011,2e-05,-84.2792406478717,137561212.3917723,-156320816.4769094,170856008.621141
D04_PLUS,5,470.001,3e-05,-5e-05,0.00014,51.76108366977978,161375388.4193375,182107211.7537666,-168396517.7966244
D04_PLUS,6,430,0.0001,4e-05,0.0001,9.096424352978213,-158323123.7807038,162299364.0477639,-172365820.4001861
D04_PLUS,7,515,0.00023,0.00016,0.00018,147.6048461155396,-118556368.5423803,-191421217.6415079,-167604949.0753957
D04_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62809968923112,182435034.8707273,-152332662.1293561,-161489548.6387056
D04_MINUS,1,360,2.49896863562413e-34,3.905108459681436e-34,3.373732982497571e-34,-141.0588115892286,120918913.3824549,191553817.2622001,165894518.7537788
D04_MINUS,2,410,0.00012,-2e-05,3e-05,-80.07026406888436,-180352731.6786617,165633696.5112765,165189899.6465133
D04_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31938429619913,-145057908.2335753,-201519707.3901925,167915394.5137445
D04_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27833692480488,137560933.168998,-156320501.6620041,170855661.9738367
D04_MINUS,5,469.999,3e-05,-5e-05,0.00014,51.75817353150774,161375055.5577178,182106840.5428791,-168396175.9116475
D04_MINUS,6,430,0.0001,4e-05,0.0001,9.096450156658804,-158322802.1982805,162299037.4523645,-172365470.7450961
D04_MINUS,7,515,0.00023,0.00016,0.00018,147.6055025437042,-118556123.4078441,-191420827.3813108,-167604608.1930141
D04_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62790205484795,182434663.4091909,-152332355.3352127,-161489220.0381157
D05_PLUS,1,360,-2.600980271390561e-34,-4.064520825302399e-34,-3.511453806711829e-34,-141.0590413309508,120919173.4804821,191554223.7142825,165894869.8991595
D05_PLUS,2,410,0.00012,-2e-05,3e-05,-80.07050669422348,-180353113.6079614,165634044.0043278,165190249.4874906
D05_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31848379126187,-145058220.2468556,-201520134.4518479,167915749.3114545
D05_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27910336905575,137561223.7900635,-156320829.3281245,170856022.7718022
D05_PLUS,5,470,3e-05,-5e-05,0.00014,51.75961569880351,161375402.0072465,182107226.9071501,-168396531.7528802
D05_PLUS,6,430.001,0.0001,4e-05,0.0001,9.097740778886381,-158323136.9081791,162299377.3798764,-172365834.6736296
D05_PLUS,7,515,0.00023,0.00016,0.00018,147.6051040330591,-118556378.5491385,-191421233.5725127,-167604962.9907241
D05_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.6277070922192,182435050.0343426,-152332674.6531517,-161489562.0526729
D05_MINUS,1,360,2.702991907156992e-34,4.223933190923362e-34,3.649174630926089e-34,-141.0585656748829,120918903.1812914,191553801.3209635,165894504.9816964
D05_MINUS,2,410,0.00012,-2e-05,3e-05,-80.07063583388394,-180352716.6992199,165633682.8824401,165189885.9255902
D05_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31936120110852,-145057895.9962718,-201519690.6406391,167915380.598416
D05_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27847420362087,137560921.770707,-156320488.8107889,170855647.8231755
D05_MINUS,5,470,3e-05,-5e-05,0.00014,51.75964150248407,161375041.9698089,182106825.3894956,-168396161.9553916
D05_MINUS,6,429.999,0.0001,4e-05,0.0001,9.095133730750671,-158322789.0708053,162299024.120252,-172365456.4716526
D05_MINUS,7,515,0.00023,0.00016,0.00018,147.6052446261846,-118556113.4010859,-191420811.4503061,-167604594.2776856
D05_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62829465185987,182434648.2455756,-152332342.811417,-161489206.6241483
D06_PLUS,1,360,-2.613601102103259e-34,-4.084243246817329e-34,-3.52849256111433e-34,-141.0591637147606,120919164.5414016,191554209.7452882,165894857.8309526
D06_PLUS,2,410,0.00012,-2e-05,3e-05,-80.07097366808047,-180353100.4817689,165634032.0616445,165190237.4641136
D06_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31894339631138,-145058209.5235454,-201520119.7745412,167915737.1177238
D06_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27904176199611,137561213.8019635,-156320818.0668556,170856010.371854
D06_PLUS,5,470,3e-05,-5e-05,0.00014,51.75930038656146,161375390.1004271,182107213.628536,-168396519.5232857
D06_PLUS,6,430,0.0001,4e-05,0.0001,9.096366958255773,-158323125.4048287,162299365.6972065,-172365822.1660897
D06_PLUS,7,515.001,0.00023,0.00016,0.00018,147.6065233857945,-118556369.7804116,-191421219.6124842,-167604950.7969935
D06_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62804501791413,182435036.7467625,-152332663.6787941,-161489550.2982752
D06_MINUS,1,360,2.524210297049527e-34,3.944553302711295e-34,3.407810491302571e-34,-141.0584432910732,120918912.1203719,191553815.2899579,165894517.0499034
D06_MINUS,2,410,0.00012,-2e-05,3e-05,-80.0701688600269,-180352729.8254124,165633694.8251234,165189897.9489673
D06_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31890159605905,-145057906.719582,-201519705.3179458,167915392.7921467
D06_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27853581068051,137560931.7588069,-156320500.0720579,170855660.2231237
D06_MINUS,5,470,3e-05,-5e-05,0.00014,51.75995681472603,161375053.8766282,182106838.6681097,-168396174.1849862
D06_MINUS,6,430,0.0001,4e-05,0.0001,9.09650755138124,-158322800.5741556,162299035.8029219,-172365468.9791925
D06_MINUS,7,514.999,0.00023,0.00016,0.00018,147.6038252734494,-118556122.1698128,-191420825.4103346,-167604606.4714163
D06_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62795672616497,182434661.5331557,-152332353.7857747,-161489218.378546
D07_PLUS,1,360,-2.443297157873945e-34,-3.818111305885261e-34,-3.298573695585086e-34,-141.059256887313,120919156.4500877,191554197.1010884,165894846.907273
D07_PLUS,2,410,0.00012,-2e-05,3e-05,-80.0709747904983,-180353088.6004414,165634021.2515842,165190226.5810123
D07_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31856064874944,-145058199.8172149,-201520106.4892043,167915726.080425
D07_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27887884081008,137561204.7611172,-156320807.8735855,170855999.147895
D07_PLUS,5,470,3e-05,-5e-05,0.00014,51.75972741783534,161375379.3228294,182107201.6092422,-168396508.4535242
D07_PLUS,6,430,0.0001,4e-05,0.0001,9.096143474998215,-158323114.9924358,162299355.1225003,-172365810.8447427
D07_PLUS,7,515,0.00023,0.00016,0.00018,147.6052184754965,-118556361.8432952,-191421206.9764002,-167604939.7596946
D07_PLUS,8,455.001,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62946050154189,182435024.719353,-152332653.7452251,-161489539.6586437
D07_MINUS,1,360,2.362384018698363e-34,3.691669309059226e-34,3.189336899867599e-34,-141.0583501185209,120918920.2116858,191553827.9341576,165894527.973583
D07_MINUS,2,410,0.00012,-2e-05,3e-05,-80.07016773760911,-180352741.7067399,165633705.6351837,165189908.8320686
D07_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31928434362097,-145057916.4259124,-201519718.6032827,167915403.8294455
D07_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27869873186651,137560940.7996531,-156320510.265328,170855671.4470827
D07_MINUS,5,470,3e-05,-5e-05,0.00014,51.75952978345217,161375064.6542259,182106850.6874035,-168396185.2547477
D07_MINUS,6,430,0.0001,4e-05,0.0001,9.096731034638861,-158322810.9865485,162299046.3776281,-172365480.3005395
D07_MINUS,7,515,0.00023,0.00016,0.00018,147.6051301837473,-118556130.1069291,-191420838.0464186,-167604617.5087151
D07_MINUS,8,454.999,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62654124253723,182434673.5605651,-152332363.7193436,-161489229.0181774
D08_PLUS,1,360,9.999999999999998e-08,-1.101819815346819e-33,-9.518931139003974e-34,-141.0588035029169,120921188.4614682,191554929.7539729,165895479.8666969
D08_PLUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180353070.3941497,165633582.0981107,165189880.6464248
D08_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145059326.4289784,-201520944.5769376,167915489.9923581
D08_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137562019.357523,-156320516.3519245,170856685.1116295
D08_PLUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161376524.9317354,182108072.9780851,-168396220.6115061
D08_PLUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158324050.6878213,162298994.1279211,-172366566.0806468
D08_PLUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118558358.0034667,-191421930.7134306,-167605567.6308597
D08_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182435072.7636894,-152332187.3157971,-161489181.2940966
D08_MINUS,1,360,-9.999999999999998e-08,1.834472699787716e-33,1.584852537814035e-33,-141.0588035029169,120916888.2003052,191553095.2812731,165893895.0141591
D08_MINUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180352759.9130316,165634144.7886571,165190254.7666561
D08_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145056789.8141488,-201518880.5155494,167915639.9175124
D08_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137560126.2032474,-156320801.7869889,170854985.4833482
D08_MINUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161373919.0453199,182105979.3185605,-168396473.0967658
D08_MINUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158321875.2911631,162299407.3722073,-172364725.0646354
D08_MINUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118554133.9467577,-191420114.3093881,-167603989.6375501
D08_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182434625.5162288,-152332830.1487717,-161489587.3827245
D09_PLUS,1,360,0,-6.358910766850542e-34,-6.053661532283974e-34,-141.0588035029169,120918883.0903277,191553731.1723498,165894500.3803123
D09_PLUS,2,410,0.0001201,-2e-05,3e-05,-80.0705712640537,-180349946.3197448,165632711.9433706,165188908.4261216
D09_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145056623.1207756,-201519675.3147357,167914503.5708663
D09_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137559680.8225229,-156319678.0651962,170855678.5680226
D09_PLUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161373543.4879671,182106908.2588818,-168395231.4784461
D09_PLUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158321346.2124461,162298132.9673557,-172365550.5682566
D09_PLUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118556127.3193769,-191420734.1262155,-167604578.0000097
D09_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182431935.5715257,-152331396.8358105,-161488230.8986104
D09_MINUS,1,360,-3.104811180406933e-34,-5.626905464176077e-34,-3.741202313572399e-34,-141.0588035029169,120919193.5714457,191554293.8628962,165894874.5005437
D09_MINUS,2,410,0.0001199,-2e-05,3e-05,-80.0705712640537,-180355883.9874365,165635014.9433972,165191226.9869592
D09_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145059493.1223517,-201520149.7777513,167916626.3390042
D09_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137562464.7382475,-156321640.0737171,170855992.026955
D09_MINUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161376900.4890881,182107144.0377638,-168397462.2298257
D09_MINUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158324579.7665382,162300268.5327726,-172365740.5770255
D09_MINUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118556364.6308474,-191421310.8966032,-167604979.2684
D09_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182437762.7083925,-152333620.6287582,-161490537.7782108
D10_PLUS,1,360,1.423547973837462e-33,1.313375967310047e-33,2.620226928493672e-34,-141.0588035029169,120917770.0234719,191552980.4869289,165894612.4778508
D10_PLUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180351480.1528026,165634100.6748917,165189006.3224715
D10_PLUS,3,445,0.0001701,9.000000000000001e-05,-4e-05,14.3189224961852,-145055435.5568999,-201518756.4379815,167914604.4740335
D10_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137561048.5618427,-156320753.9749327,170855794.2495906
D10_PLUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161372559.7579852,182105861.3278491,-168395331.9576355
D10_PLUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158322793.3981454,162299360.7405571,-172365668.1473908
D10_PLUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118555012.4346043,-191420000.0169674,-167604691.0987381
D10_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182433343.1991524,-152332792.8003452,-161488326.3201819
D10_MINUS,1,360,-2.53661482963423e-33,-2.064061388202485e-33,-1.499251543414949e-34,-141.0588035029169,120920306.6383015,191555044.5483171,165894762.4030051
D10_MINUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180354350.1543787,165633626.2118761,165191129.0906094
D10_MINUS,3,445,0.0001699,9.000000000000001e-05,-4e-05,14.3189224961852,-145060680.6862274,-201521068.6545055,167916525.4358371
D10_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137561096.9989277,-156320564.1639807,170855876.3453871
D10_MINUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161377884.21907,182108190.9687966,-168397361.7506363
D10_MINUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158323132.5808389,162299040.7595712,-172365622.9978914
D10_MINUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118557479.5156201,-191422045.0058513,-167604866.1696717
D10_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182436355.0807658,-152332224.6642236,-161490442.3566392
D11_PLUS,1,360,3.217302769713826e-34,8.893131619117014e-34,-7.748515634918718e-34,-141.0588035029169,120919984.9080246,191554155.2351552,165895537.2545686
D11_PLUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180354307.111453,165634844.4476444,165189910.9770743
D11_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145058082.3401062,-201520007.4517195,167915523.907037
D11_PLUS,4,385,-3.99e-05,0.00011,2e-05,-84.27878878633828,137563221.1184728,-156321485.2852189,170856745.0557683
D11_PLUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161375425.3155479,182107020.7942748,-168396253.2223647
D11_PLUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158325272.8133846,162300105.0952459,-172366628.2855083
D11_PLUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118557189.4582853,-191421171.9458596,-167605625.2947894
D11_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182436220.3811838,-152333460.8895223,-161489210.3917857
D11_MINUS,1,360,1.893154275691465e-33,2.854350643790831e-34,1.699628281325239e-33,-141.0588035029169,120918091.7537489,191553869.8000908,165893837.6262873
D11_MINUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180351523.1957283,165632882.4391235,165190224.4360066
D11_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145058033.9030211,-201519817.6407675,167915606.0028335
D11_MINUS,4,385,-4.010000000000001e-05,0.00011,2e-05,-84.27878878633828,137558924.4422975,-156319832.8536946,170854925.5392093
D11_MINUS,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161375018.6615074,182107031.5023709,-168396440.485907
D11_MINUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158320653.1655997,162298296.4048825,-172364662.8597738
D11_MINUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118555302.4919391,-191420873.0769591,-167603931.9736203
D11_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182433477.8987344,-152331556.5750465,-161489558.2850354
D12_PLUS,1,360,-2.24952034561069e-33,-1.189547294484445e-33,-9.760567705058113e-34,-141.0588035029169,120920341.2740945,191555059.3473853,165894813.6830578
D12_PLUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180354593.6541511,165633745.5539429,165191183.0822302
D12_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145060720.3521061,-201521077.3667172,167916579.8514357
D12_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137561276.1074055,-156320664.4235047,170855928.92926
D12_PLUS,5,470,3.01e-05,-5e-05,0.00014,51.75962860064374,161377998.3814053,182108187.5214676,-168397416.478018
D12_PLUS,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158323350.8294499,162299150.6347694,-172365675.8498505
D12_PLUS,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118557529.3287536,-191422060.6410651,-167604918.0177837
D12_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182436578.4015555,-152332340.6262781,-161490495.2003314
D12_MINUS,1,360,2.605886415529915e-33,2.093659524589806e-33,2.524852596863839e-34,-141.0588035029169,120917735.387679,191552965.6878607,165894561.1977981
D12_MINUS,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180351236.6530302,165633981.3328249,165188952.3308506
