step,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
BASE,1,360,-1.209190383308867e-28,-1.91554012517623e-28,-1.65894687440428e-28,-141.0588035029169,120919038.3308867,191554012.517623,165894687.440428
BASE,2,410,0.00012,-2e-05,3e-05,-80.0705712640537,-180352915.1535906,165633863.4433839,165190067.7065404
BASE,3,445,0.00017,9.000000000000001e-05,-4e-05,14.3189224961852,-145058058.1215636,-201519912.5462435,167915564.9549353
BASE,4,385,-4e-05,0.00011,2e-05,-84.27878878633828,137561072.7803852,-156320659.0694567,170855835.2974888
BASE,5,470,3e-05,-5e-05,0.00014,51.75962860064374,161375221.9885276,182107026.1483229,-168396346.8541359
BASE,6,430,0.0001,4e-05,0.0001,9.096437254818547,-158322962.9894921,162299200.7500642,-172365645.5726411
BASE,7,515,0.00023,0.00016,0.00018,147.6051743296219,-118556245.9751122,-191421022.5114094,-167604778.6342049
BASE,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62800087203955,182434849.1399591,-152332508.7322844,-161489384.3384106
D00_PLUS,1,360.001,-1.223867343087635e-34,-1.912522888823025e-34,-1.652282290433408e-34,-141.0574053877265,120919160.717621,191554203.7699119,165894852.668657
D00_PLUS,2,410,0.00012,-2e-05,3e-05,-80.07045268840717,-180353094.8669096,165634026.953043,165190232.3209945
D00_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31858098047729,-145058204.9365428,-201520113.4961773,167915731.9017343
D00_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27892062350551,137561209.5294544,-156320813.2497358,170856005.0676529
D00_PLUS,5,470,3e-05,-5e-05,0.00014,51.75963668695552,161375385.0071667,182107207.9484768,-168396514.291955
D00_PLUS,6,430,0.0001,4e-05,0.0001,9.096199426784654,-158323120.4841563,162299360.6998283,-172365816.8158652
D00_PLUS,7,515,0.00023,0.00016,0.00018,147.6048141177782,-118556366.0295015,-191421213.6409433,-167604945.5810039
D00_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62754748764355,182435031.062868,-152332658.9844035,-161489545.2702147
D00_MINUS,1,359.999,2.447734686107039e-34,3.825045778289635e-34,3.304564581243806e-34,-141.0602016181073,120918915.9441524,191553821.2653341,165894522.2121989
D00_MINUS,2,410,0.00012,-2e-05,3e-05,-80.07068983970031,-180352735.4402717,165633699.9337249,165189903.0920864
D00_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31926401189299,-145057911.3065845,-201519711.5963096,167915398.0081362
D00_MINUS,4,385,-4e-05,0.00011,2e-05,-84.27865694917116,137560936.031316,-156320504.8891776,170855665.5273248
D00_MINUS,5,470,3e-05,-5e-05,0.00014,51.75962051433211,161375058.9698886,182106844.3481689,-168396179.4163169
D00_MINUS,6,430,0.0001,4e-05,0.0001,9.096675082852521,-158322805.4948281,162299040.8003001,-172365474.3294171
D00_MINUS,7,515,0.00023,0.00016,0.00018,147.6055345414656,-118556125.9207229,-191420831.3818755,-167604611.6874058
D00_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,82.62845425643562,182434667.2170501,-152332358.4801652,-161489223.4066065
D01_PLUS,1,360,-2.538405971944452e-34,-3.966736714432751e-34,-3.426975364330223e-34,-141.0586849272703,120919169.7847496,191554217.9390056,165894864.9097353
D01_PLUS,2,410.001,0.00012,-2e-05,3e-05,-80.06919232987413,-180353108.1811285,165634039.0667996,165190244.5166007
D01_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,14.31879225930276,-145058215.8134594,-201520128.3837295,167915744.2701344
D01_PLUS,4,385,-4e-05,0.00011,2e-05,-84.27910750347164,137561219.6606292,-156320824.6723171,170856017.6452244
D01_PLUS,5,470,3e-05,-5e-05,0.00014,51.75932140547442,161375397.0845456,182107221.4173007,-168396526.6967327
D01_PLUS,6,430,0.0001,4e-05,0.0001,9.096501824648739,-158323132.1522866,162299372.5498469,-172365829.5025696
