step,node,temperature_k,reaction_heat_flux_w,u1_m,reaction_force_x_n
BASE,1,400,-1.651606165741816e-14,0.05000000074505806,7.047128036674621e-08
BASE,2,400,1250,0.05000000074505806,1.188572582577763e-07
BASE,3,400,1250,0.05000000074505806,-6.80433984712181e-08
BASE,4,400,2.203448850855998e-15,0.05000000074505806,-8.225386238791543e-08
BASE,5,400,-1.902300897778072e-15,0.05000000074505806,-5.214176823642447e-08
BASE,6,400,1250,0.05000000074505806,-5.045059481290082e-08
BASE,7,400,1250,0.05000000074505806,-3.632636691452973e-10
BASE,8,400,3.00927021474294e-14,0.05000000074505806,6.392434670488001e-08
BASE,9,300,-1250,0,-0
BASE,10,300,-3.076355901791838e-15,0,-0
BASE,11,300,1.131569356038796e-14,0,-0
BASE,12,300,-1250,0,-0
BASE,13,300,-1250,0,-0
BASE,14,300,8.441626067059397e-15,0,-0
BASE,15,300,-1.765240887220253e-14,0,-0
BASE,16,300,-1250,0,-0
GAP_PLUS,1,400,-1.651606165741816e-14,0.04998999834060669,7.046455152703857e-08
GAP_PLUS,2,400,1249.75,0.04998999834060669,1.188588854006412e-07
GAP_PLUS,3,400,1249.75,0.04998999834060669,-6.804699381746104e-08
GAP_PLUS,4,400,2.203448850855998e-15,0.04998999834060669,-8.224146341717642e-08
GAP_PLUS,5,400,-1.902300897778072e-15,0.04998999834060669,-5.214306497691723e-08
GAP_PLUS,6,400,1249.75,0.04998999834060669,-5.045902184974693e-08
GAP_PLUS,7,400,1249.75,0.04998999834060669,-3.528712322342642e-10
GAP_PLUS,8,400,3.00927021474294e-14,0.04998999834060669,6.391997686705508e-08
GAP_PLUS,9,300,-1249.75,0,-0
GAP_PLUS,10,300,-3.076355901791838e-15,0,-0
GAP_PLUS,11,300,1.131569356038796e-14,0,-0
GAP_PLUS,12,300,-1249.75,0,-0
GAP_PLUS,13,300,-1249.75,0,-0
GAP_PLUS,14,300,8.441626067059397e-15,0,-0
GAP_PLUS,15,300,-1.765240887220253e-14,0,-0
GAP_PLUS,16,300,-1249.75,0,-0
GAP_MINUS,1,400,-1.651606165741816e-14,0.05000999942421913,7.04780021010265e-08
GAP_MINUS,2,400,1250.25,0.05000999942421913,1.188556382203387e-07
GAP_MINUS,3,400,1250.25,0.05000999942421913,-6.803981023040251e-08
GAP_MINUS,4,400,2.203448850855998e-15,0.05000999942421913,-8.226626135865445e-08
GAP_MINUS,5,400,-1.902300897778072e-15,0.05000999942421913,-5.214047149593171e-08
