stage,time_s,internal_energy_j,plastic_dissipation_j,external_work_j
1,0.1,24992.501953125,0,24986.255859375
2,0.2,251269.703125,149242.484375,251185.921875
3,0.3,658119,552062.8125,658029.3125
4,0.4,645032.5,552062.8125,645260.0625
5,0.5,1047089.3125,937145.625,1047343.6875
6,0.6000000000000001,1470799.625,1356661.625,1471061
7,0.7000000000000001,1903313.625,1784894.25,1903582
8,0.8,1905891.75,1785570.875,1905354.375
9,0.9,2798567,2669406,2797992.75
10,1,2800592.75,2669918.25,2800848.5
