stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.2116998154153679,0.2112010646313973,0.2112010646313974,600,300351808.0511637,-1.387298107147217e-05,-1.387298107147217e-05,-4.374069944765877e-09,3.239546544875121e-09,4.314350251219295e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767943,-0.0004505277120767943,-5.686290928195642e-20,4.211410508337658e-20,5.608655326585085e-20,0.000270950996092761,-0.0001354754980463805,-0.0001354754980463805,-1.183770408645365e-20,8.767302273804326e-21,1.167608251449318e-20,0.000270950996092761,0.1250751105426907
1,0.1,1,2,0.7900744670831162,0.2112010646313973,0.2112010646313974,600,300351808.0511638,-1.388788223266602e-05,-1.391768455505371e-05,-4.163836849836716e-09,1.859290807280047e-08,2.480751394451095e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767942,-0.0004505277120767943,-5.412987904787735e-20,2.41707804946406e-19,3.224976812786423e-20,0.0002709509960927613,-0.0001354754980463806,-0.0001354754980463806,-1.126874263901985e-20,5.031866125868001e-20,6.71374744583358e-21,0.0002709509960927612,0.1250751105426906
1,0.1,1,3,0.2116998154153679,0.7882131038170231,0.2112010646313974,600,300351808.0511636,-1.385807991027832e-05,-1.379847526550293e-05,-1.771828487187106e-08,3.669299856018727e-09,-6.471525376828941e-10,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.00150175904025586,-0.0004505277120767942,-0.0004505277120767941,-2.303377033343238e-19,4.770089812824346e-20,-8.412982989877628e-21,0.0002709509960927608,-0.0001354754980463805,-0.0001354754980463804,-4.795163677793553e-20,9.930359241738555e-21,-1.751412377173977e-21,0.0002709509960927608,0.1250751105426907
1,0.1,1,4,0.7900744670831161,0.7882131038170231,0.2112010646313974,600,300351808.0511637,-1.393258571624756e-05,-1.393258571624756e-05,-1.75080517769419e-08,6.922051625083764e-08,2.157175125609649e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.00150175904025586,-0.0004505277120767944,-0.0004505277120767943,-2.276046731002447e-19,8.998667112608892e-19,2.804327663292542e-20,0.0002709509960927611,-0.0001354754980463806,-0.0001354754980463806,-4.738267533050176e-20,1.873339929256279e-19,5.838041257246593e-21,0.0002709509960927611,0.1250751105426907
1,0.1,1,5,0.2116998154153679,0.2112010646313973,0.7882131038170231,600,300351808.0511638,-1.384317874908447e-05,-1.384317874908447e-05,3.258886255670853e-09,-1.51204064470493e-08,1.617881344207236e-08,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767944,-0.0004505277120767943,4.236552132372109e-20,-1.96565283811641e-19,2.103245747469407e-19,0.0002709509960927611,-0.0001354754980463805,-0.0001354754980463805,8.819642034349631e-21,-4.092090420302052e-20,4.378530942934942e-20,0.0002709509960927611,0.1250751105426907
1,0.1,1,6,0.7900744670831161,0.2112010646313974,0.7882131038170231,600,300351808.0511637,-1.390278339385986e-05,-1.390278339385986e-05,3.134168316716788e-08,2.329550808760442e-10,8.790488636859312e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767943,-0.0004505277120767944,4.074418811731825e-19,3.028416051388575e-21,1.142763522791711e-19,0.0002709509960927612,-0.0001354754980463806,-0.0001354754980463806,8.482113354137907e-20,6.304547818551307e-22,2.379001812327985e-20,0.0002709509960927612,0.1250751105426906
1,0.1,1,7,0.2116998154153679,0.7882131038170231,0.788213103817023,600,300351808.0511637,-1.393258571624756e-05,-1.384317874908447e-05,-7.286466578583036e-09,-2.369276953108982e-08,8.628700502438584e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767945,-0.0004505277120767943,-9.472406552157952e-20,-3.080060039041678e-19,1.121731065317017e-19,0.0002709509960927612,-0.0001354754980463807,-0.0001354754980463806,-1.97196286941674e-20,-6.412060123391533e-20,2.335216502898636e-20,0.0002709509960927613,0.1250751105426906
1,0.1,1,8,0.7900744670831162,0.7882131038170231,0.7882131038170231,600,300351808.0511638,-1.387298107147217e-05,-1.391768455505371e-05,2.079633033291399e-08,2.675401669950673e-08,8.412982989877626e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767945,-0.0004505277120767945,2.703522943278819e-19,3.478022170935875e-19,1.093687788684091e-19,0.0002709509960927613,-0.0001354754980463806,-0.0001354754980463807,5.628186281286204e-20,7.240536544043583e-20,2.276836090326171e-20,0.0002709509960927614,0.1250751105426906
2,0.2,1,1,0.2117573165225726,0.2111724048712328,0.2111724048712328,600,300433338.4861705,0.4860707819461823,0.4860707372426987,2.422496299853394e-08,2.819903552726973e-08,-8.07703925189763e-09,0.002044289674514469,-0.0007217113638159495,-0.0007217113638159495,0,0,0,0.001502166690972641,-0.0004506500060280083,-0.0004506500060280086,3.149245189809414e-19,3.665874618545066e-19,-1.050015102746693e-19,0.0005421226995431622,-0.0002710613497715811,-0.0002710613497715811,5.347167919574987e-20,8.481050559704267e-20,-1.019497055191559e-20,0.0005421226995431622,0.1250751309379486
2,0.2,1,2,0.7902890641366953,0.2111724048712328,0.2111724048712328,600,300433338.4861706,0.4860707968473434,0.4860707521438599,1.240718489821372e-07,1.41762605942656e-07,1.607343119436452e-08,0.002044289674514469,-0.0007217113638159495,-0.0007217113638159495,0,0,0,0.001502166690972641,-0.0004506500060280083,-0.0004506500060280089,1.612934036767784e-18,1.842913877254528e-18,2.089546055267388e-19,0.0005421226995431625,-0.0002710613497715811,-0.0002710613497715812,3.237690460988769e-19,4.33224812920654e-19,5.023747633307706e-20,0.0005421226995431625,0.1250751309379485
