step,time,id,x,y,z,cnormf_x,cnormf_y,cnormf_z,cshearf_x,cshearf_y,cshearf_z,cslip1,cslip2,ctandir1_x,ctandir1_y,ctandir1_z,ctandir2_x,ctandir2_y,ctandir2_z,copen,cpress
1,1,89,1,0,0,-180.592774450839,-48.76013033149047,-5.556499169258452e-14,-0.402625917449335,1.985585523259331,6.95413804293157,-3.874405525236904e-07,-1.137495437812976e-06,0.04965299949387467,-0.9987665290953945,-2.13752611747898e-15,-9.992007221630941e-16,2.16263313242632e-15,-1,-7.473790927402827e-08,8733.099604748291
1,1,92,0.9238795325112867,0.3826834323650898,0,-333.2806340923264,-145.007808792819,4.647566686465054e-14,-0.4974771186365958,3.187738186613849,13.88420839385479,-2.563013338591742e-08,-1.137731254241972e-06,0.3826834323650908,-0.9238795325112864,-3.761430299152708e-16,7.216449660052669e-16,9.146281735520986e-16,-1,-7.482694784046824e-08,8723.27012141126
1,1,93,1,0,0.5,-341.0399819667045,-96.1327761936315,-1.976572684859517e-14,-0.7471138675139134,3.065179143691987,5.604450420936283,-4.747630361397735e-07,-1.722950342854247e-07,0.04965299949387608,-0.9987665290953943,1.851533030523474e-15,8.881784196993138e-16,-1.920711102338505e-15,-1,-9.450575007631651e-08,10592.286362142
1,1,96,0.9238795325112867,0.3826834323650898,0.5,-627.2655016311509,-273.8355900004035,-9.383199169083741e-14,-0.9742687681052961,6.411542676727237,10.9436449258863,-2.267314844090873e-08,-1.665662093556747e-07,0.3826834323650883,-0.9238795325112874,-8.653924094021523e-17,1.387778780784675e-16,-7.806466071472688e-17,-1,-9.586623879562663e-08,10693.63509564182
1,1,100,0.9807852804032304,0.1950903220161282,0,652.0749624507112,146.02287738403,1.677652139623719e-13,1.403529468490801,-8.877450881289336,-35.64532155217626,-1.840279752643316e-07,-1.012627029888365e-06,0.195090322016128,-0.9807852804032305,-2.127383312527481e-16,6.661338147750961e-16,1.90805455651286e-16,-1,-9.20703734416883e-08,8737.275314385306
1,1,101,1,0,0.25,692.4065507500421,121.5325854046959,8.997547397135004e-14,1.569473485159519,-12.29929465878947,-32.02050209838832,-3.643550174766158e-07,-7.543273773317435e-07,0.09801714032955952,-0.995184726672197,-2.947252485965876e-16,2.95761209699659e-29,2.854075091270947e-16,-1,-1.174270447562126e-07,9693.84915071373
1,1,104,0.9238795325112867,0.3826834323650898,0.25,1282.792543155635,541.2812215092172,1.092735922796366e-13,1.759926943255109,-7.897222471506805,-64.08753146037718,-4.941341331293756e-08,-7.547387501313333e-07,0.3826834323650893,-0.9238795325112871,-8.56981614309865e-17,0,8.361164973096914e-17,-1,-1.181352352779872e-07,9737.157564767178
1,1,108,0.9807852804032304,0.1950903220161282,0.5,1383.978409257191,308.3660281140621,1.610725468778781e-13,3.072234188914568,-19.57562204167441,-19.72881269232518,-1.9814049803892e-07,-1.76177252531093e-07,0.1950903220161281,-0.9807852804032304,-2.911208986271526e-16,-1.11022302462521e-16,2.67933954667649e-16,-1,-1.108153896714741e-07,10662.27222739836
1,1,110,0.7071067811865476,0.7071067811865475,0,-254.5774566177569,-254.5774566179026,1.741910704547212e-14,0.1300788355237802,0.1300788355846395,13.80282711391647,6.050008926380195e-18,-1.139072813915776e-06,0.7071067811865478,-0.7071067811865474,-1.197643223414965e-18,-2.498001805409882e-16,2.148909849954042e-16,-1,-7.564431175604405e-08,8794.277090574105
1,1,112,0.7071067811865476,0.7071067811865475,0.5,-478.9428522439351,-478.9428522442976,3.257769175455736e-14,0.2548286045607399,0.2548286047000498,10.6923544336226,6.439912956501746e-18,-1.604103842764386e-07,0.7071067811865468,-0.7071067811865482,-2.056723978915722e-16,3.191891195801334e-16,-3.911895277318728e-16,-1,-9.693692447895394e-08,10769.25012263242
